Analyzed: Oh No It's Zombies Arctic Updated (519)

ID : 0 PlayerName: Casual Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: SilverWolf Race: Terran
ID : 3 PlayerName: BarcodesOP Race: Terran
ID : 4 PlayerName: Thejosh Race: Terran
ID : 5 PlayerName: Baal Race: Terran
ID : 6 PlayerName: GreyWanderer Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Public Lobby

Game Length:[32:453]
Players ammount: 8
Marine rank avg: 8,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:588] Casual Unlocked AssaultRifle
[01:327] Casual Placed MiningDroid
[01:357] Casual Unlocked BeamRifle
[01:501] Casual Unlocked OverloadWeapon
[05:210] Casual Unlocked SpecOpsPlasmaRifle
[06:962] Casual Unlocked AdvancedDroidEngines
[08:463] Casual Unlocked AutoTurret
[08:792] Casual Placed AutoTurret
[09:524] Casual Placed AutoTurret
[10:529] Casual Placed AutoTurret
[10:837] Casual Placed AutoTurret
[11:118] Casual Placed AutoTurret
[12:219] Casual Unlocked BioMechanicalRepairDrone
[12:362] Casual Placed HealingDrone
[13:260] Casual Unlocked CombatSuit
[13:684] Casual Placed HealingDrone
[14:361] Casual Unlocked ForceFieldGrenade
[17:459] Casual Placed MiningDroid
[21:095] Casual Placed HealingDrone
[21:529] Casual Placed HealingDrone
[22:015] Casual Placed HealingDrone
[22:110] Casual Unlocked FlameTurret
[22:744] Casual Placed AutoTurret
[22:959] Casual Placed AutoTurret
[23:216] Casual Placed AutoTurret
[24:928] Casual Placed AutoTurret
[25:250] Casual Placed AutoTurret
[25:603] Casual Unlocked MiningCharge
[25:628] Casual Unlocked AdvancedMiningCharge
[26:647] Casual Placed NukePack
[27:861] Casual Placed HealingDrone
[28:126] Casual Placed HealingDrone
[28:449] Casual Unlocked LongRangeScope
[28:598] Casual Placed NukePack
[00:552] Frosky Bought PlayerNumber
[00:637] Frosky Bought StrainDamage
[02:374] Frosky Bought PureStrainDamage
[04:133] Frosky Bought DefilerStrain
[05:124] Frosky Bought StrainHealth
[06:854] Frosky Bought StrainDamage
[10:313] Frosky Bought PureStrainHealth
[13:089] Frosky Bought BuildExtractorScienceLabs
[13:089] Frosky Placed/Upgraded AutomatedExtractor
[13:261] Frosky Bought ShieldSuit
[13:261] Frosky Bought CombatSuit
[13:261] Frosky Bought HazmatSuit
[13:261] Frosky Bought CombatSuit
[14:044] Frosky Bought BuildExtractorScienceLabs
[14:584] Frosky Bought TankStrain
[16:455] Frosky Bought StrainVolatile
[17:569] Frosky Bought PureStrainVolatile
[18:546] Frosky Placed/Upgraded Virophage
[19:456] Frosky Bought KaboomerStrain
[21:846] Frosky Bought StrainSpeed
[23:375] Frosky Bought DropshipsFueled
[23:430] Frosky Bought UltimateInfestationResearched
[23:560] Frosky Bought GreaterNydus
[23:832] Frosky Bought GreaterNydus
[24:095] Frosky Bought GreaterNydus
[24:139] Frosky Bought PureStrainDamage
[24:290] Frosky Bought GreaterNydus
[24:306] Frosky Bought GreaterNydus
[25:103] Frosky Bought GreaterNydus
[25:301] Frosky Bought GreaterNydus
[25:660] Frosky Bought GreaterNydus
[25:757] Frosky Bought SpawnNydusWorm
[25:900] Frosky Bought GreaterNydus
[26:120] Frosky Bought GreaterNydus
[26:389] Frosky Bought GreaterNydus
[26:701] Frosky Bought GreaterNydus
[26:855] Frosky Bought UnlockDropPods
[26:966] Frosky Bought GreaterNydus
[27:434] Frosky Bought GreaterNydus
[27:928] Frosky Placed/Upgraded NydusCanalCreeper
[28:169] Frosky Spawned MassiveCocoon
[28:261] Frosky Spawned MassiveCocoon
[28:277] Frosky Spawned MassiveCocoon
[29:039] Frosky Placed/Upgraded NydusCanalCreeper
[29:249] Frosky Spawned Underseer
[29:554] Frosky Bought VirulentCreep
[29:554] Frosky Bought VirulentCreep
[29:701] Frosky Spawned Anubalisk
[29:717] Frosky Spawned Anubalisk
[29:965] Frosky Placed/Upgraded GreaterNydusWorm
[30:380] Frosky Bought EvolveDropPods
[30:383] Frosky Bought EvolveDropPods
[00:588] SilverWolf Unlocked AssaultRifle
[00:679] SilverWolf Placed/Upgraded MiningDroid
[00:729] SilverWolf Unlocked AdvancedDroidEngines
[03:263] SilverWolf Unlocked TurboDroidEngines
[05:634] SilverWolf Unlocked SpecOpsAssaultRifle
[07:751] SilverWolf Unlocked AutoTargetingSystem
[08:687] SilverWolf Unlocked CombatSuit
[08:692] SilverWolf Unlocked AdvancedCombatSuit
[10:417] SilverWolf Unlocked Stimpack
[12:206] SilverWolf Placed/Upgraded MiningDroid
[12:245] SilverWolf Unlocked MedicShield
[12:255] SilverWolf Unlocked AIAssistant
[15:132] SilverWolf Unlocked AutoTurret
[15:143] SilverWolf Unlocked SpecOpsTurret
[15:399] SilverWolf Placed/Upgraded AutoTurret
[15:621] SilverWolf Placed/Upgraded AutoTurret
[15:825] SilverWolf Placed/Upgraded AutoTurret
[16:229] SilverWolf Placed/Upgraded MiningDroid
[18:211] SilverWolf Placed/Upgraded AutoTurret
[18:864] SilverWolf Placed/Upgraded AutoTurret
[19:080] SilverWolf Placed/Upgraded AutoTurret
[19:284] SilverWolf Placed/Upgraded AutoTurret
[19:829] SilverWolf Unlocked TitaniumBulletCasings
[20:348] SilverWolf Placed/Upgraded AutoTurret
[20:563] SilverWolf Placed/Upgraded AutoTurret
[20:918] SilverWolf Placed/Upgraded AutoTurret
[21:201] SilverWolf Placed/Upgraded AutoTurret
[21:525] SilverWolf Placed/Upgraded AutoTurret
[21:855] SilverWolf Placed/Upgraded AutoTurret
[23:231] SilverWolf Unlocked BioMechanicalRepairDrone
[23:242] SilverWolf Unlocked SpecOpsBioMechanicalRepairDrone
