Analyzed: Oh No It's Zombies Arctic Updated (520)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: dwarfplanet Race: Terran
ID : 2 PlayerName: GustavAldogg Race: Terran
ID : 3 PlayerName: BarcodesOP Race: Terran
ID : 4 PlayerName: Casual Race: Terran
ID : 5 PlayerName: Atalus Race: Terran
ID : 6 PlayerName: Unknown Race: Zerg
ID : 7 PlayerName: Security Race: Primal Zerg
Unknown Zombie Win
Public Lobby

Game Length:[28:778]
Players ammount: 8
Marine rank avg: 7,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:750] Frosky Placed/Upgraded MiningDroid
[01:049] Frosky Unlocked Shotgun
[03:687] Frosky Unlocked SpecOpsShotgun
[08:178] Frosky Unlocked MedicShield
[08:210] Frosky Unlocked Stimpack
[08:901] Frosky Unlocked AdvancedDroidEngines
[11:409] Frosky Unlocked HighPrecisionBeams
[11:436] Frosky Unlocked HazmatSuit
[12:347] Frosky Unlocked ExplorationDroid
[12:431] Frosky Placed/Upgraded ExplorationDroid
[12:475] Frosky Placed/Upgraded ExplorationDroid
[12:576] Frosky Placed/Upgraded ExplorationDroid
[13:644] Frosky Unlocked AdvancedHazmatSuit
[14:649] Frosky Unlocked BioMechanicalRepairDrone
[15:749] Frosky Placed/Upgraded HealingDrone
[17:450] Frosky Unlocked AIAssistant
[17:605] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[18:317] Frosky Unlocked SuperStimpack
[19:115] Frosky Placed/Upgraded HealingDrone
[21:948] Frosky Unlocked QuantumBackpack
[21:976] Frosky Unlocked AutoTurret
[22:339] Frosky Placed/Upgraded HealingDrone
[22:515] Frosky Placed/Upgraded AutoTurret
[26:894] Frosky Placed/Upgraded HealingDrone
[00:588] dwarfplanet Unlocked AssaultRifle
[01:541] dwarfplanet Unlocked SpecOpsAssaultRifle
[04:303] dwarfplanet Placed/Upgraded MiningDroid
[06:677] dwarfplanet Unlocked TitaniumBulletCasings
[09:295] dwarfplanet Unlocked OverloadWeapon
[10:056] dwarfplanet Unlocked MedicShield
[10:066] dwarfplanet Unlocked AIAssistant
[11:437] dwarfplanet Bought ShieldSuit
[11:437] dwarfplanet Bought CombatSuit
[11:437] dwarfplanet Bought HazmatSuit
[11:437] dwarfplanet Bought HazmatSuit
[12:726] dwarfplanet Unlocked AdvancedDroidEngines
[13:645] dwarfplanet Bought HazmatSuit
