Analyzed: Oh No It's Zombies Arctic Updated (521)

ID : 0 PlayerName: kronos Race: Zerg
ID : 1 PlayerName: garbageguy Race: Terran
ID : 2 PlayerName: BarcodesOP Race: Terran
ID : 3 PlayerName: GustavAldogg Race: Terran
ID : 4 PlayerName: dwarfplanet Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Unknown Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
kronos Zombie Loss
Public Lobby

Game Length:[38:599]
Players ammount: 8
Marine rank avg: 6,5
GrandMaster ammount: 1
PURCHASES: 
[00:773] kronos Bought StrainDamage
[02:275] kronos Bought StrainSpeed
[03:886] kronos Bought PureStrainSpeed
[06:141] kronos Bought StrainVolatile
[07:216] kronos Bought PureStrainVolatile
[10:379] kronos Spawned MassiveCocoon
[11:819] kronos Spawned Hunter
[13:046] kronos Bought BuildExtractorScienceLabs
[13:046] kronos Placed/Upgraded AutomatedExtractor
[13:154] kronos Placed/Upgraded Virophage
[15:451] kronos Bought BuildExtractorScienceLabs
[18:700] kronos Bought CreepSpeed
[18:716] kronos Bought CreepSpeed
[20:799] kronos Bought SpawnNydusWorm
[21:281] kronos Placed/Upgraded Virophage
[22:047] kronos Bought AdvancedInfestationSecurity
[22:773] kronos Bought TrackHumans
[23:592] kronos Bought VirulentCreep
[24:857] kronos Bought SiphonFuel
[25:593] kronos Bought UnlockDropPods
[25:778] kronos Bought TrackHumans
[26:217] kronos Bought EvolveDropPods
[26:222] kronos Bought EvolveDropPods
[28:726] kronos Bought SiphonFuel
[29:325] kronos Bought DropshipsFueled
[29:388] kronos Bought EvolveDropPods
[29:391] kronos Bought EvolveDropPods
[29:394] kronos Bought EvolveDropPods
[29:398] kronos Bought EvolveDropPods
[32:374] kronos Placed/Upgraded GreaterNydusWorm
[33:187] kronos Bought StrainSpeed
[33:201] kronos Bought PureStrainSpeed
[00:588] garbageguy Unlocked AssaultRifle
[00:708] garbageguy Placed/Upgraded MiningDroid
[01:580] garbageguy Unlocked HellfireRocketLauncher
[03:371] garbageguy Unlocked SpecOpsHellfireRocketLauncher
[04:840] garbageguy Unlocked Shieldsiotunlocked
[04:841] garbageguy Unlocked ShieldSuit
[04:841] garbageguy Unlocked AdvancedShieldSuit
[04:841] garbageguy Unlocked CombatSuit
[04:841] garbageguy Unlocked AdvancedCombatSuit
[04:841] garbageguy Unlocked HazmatSuit
[04:841] garbageguy Unlocked AdvancedHazmatSuit
[04:841] garbageguy Unlocked ShieldSuit
[06:751] garbageguy Unlocked AdvancedShieldSuit
[06:752] garbageguy Unlocked ShieldSuit
[06:752] garbageguy Unlocked AdvancedShieldSuit
[07:565] garbageguy Unlocked PsiDisrupter
[08:670] garbageguy Placed/Upgraded PsiIndoctrinator
[10:533] garbageguy Unlocked AutoTurret
[10:554] garbageguy Unlocked HeavyTurret
[11:637] garbageguy Placed/Upgraded AutoTurret
