Analyzed: Oh No It's Zombies Arctic Updated (525)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: bungTH Race: Terran
ID : 2 PlayerName: Sojourne Race: Zerg
ID : 3 PlayerName: meTT Race: Terran
ID : 4 PlayerName: ClydeBOT Race: Terran
ID : 5 PlayerName: MarineWolf Race: Terran
ID : 6 PlayerName: Yello Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Sojourne Zombie Loss
Public Lobby

Game Length:[34:175]
Players ammount: 8
Marine rank avg: 9,333333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:721] Frosky Placed/Upgraded MiningDroid
[00:821] Frosky Unlocked AdvancedDroidEngines
[01:459] Frosky Unlocked Shotgun
[04:036] Frosky Unlocked ExplorationDroid
[04:089] Frosky Placed/Upgraded ExplorationDroid
[04:098] Frosky Placed/Upgraded ExplorationDroid
[04:240] Frosky Placed/Upgraded ExplorationDroid
[05:503] Frosky Unlocked SpecOpsShotgun
[07:509] Frosky Unlocked Stimpack
[09:596] Frosky Unlocked HazmatSuit
[10:555] Frosky Unlocked HighPrecisionBeams
[11:681] Frosky Unlocked BioMechanicalRepairDrone
[11:817] Frosky Placed/Upgraded HealingDrone
[12:391] Frosky Placed/Upgraded HealingDrone
[12:568] Frosky Placed/Upgraded HealingDrone
[12:683] Frosky Unlocked CombatShield
[14:583] Frosky Unlocked SuperStimpack
[15:364] Frosky Placed/Upgraded HealingDrone
[16:317] Frosky Unlocked AIAssistant
[17:582] Frosky Unlocked AdvancedHazmatSuit
[18:722] Frosky Placed/Upgraded HealingDrone
[19:693] Frosky Unlocked AutoTurret
[19:704] Frosky Unlocked HeavyTurret
[19:737] Frosky Placed/Upgraded AutoTurret
[20:551] Frosky Placed/Upgraded HealingDrone
[25:201] Frosky Placed/Upgraded AutoTurret
[26:087] Frosky Placed/Upgraded AutoTurret
[26:275] Frosky Placed/Upgraded AutoTurret
[26:429] Frosky Unlocked QuantumBackpack
[26:585] Frosky Placed/Upgraded AutoTurret
[26:923] Frosky Placed/Upgraded AutoTurret
[27:123] Frosky Placed/Upgraded AutoTurret
[28:056] Frosky Placed/Upgraded AutoTurret
[29:357] Frosky Unlocked PsiDisrupter
[29:369] Frosky Unlocked PsiDepressor
[29:547] Frosky Placed/Upgraded PsiIndoctrinator
[29:959] Frosky Placed/Upgraded AutoTurret
[30:175] Frosky Placed/Upgraded AutoTurret
[30:349] Frosky Placed/Upgraded AutoTurret
[30:645] Frosky Placed/Upgraded AutoTurret
[30:802] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
