Analyzed: Oh No It's Zombies Arctic Updated (528)

ID : 0 PlayerName: Gafe Race: Terran
ID : 1 PlayerName: GreyWanderer Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: GDP Race: Terran
ID : 4 PlayerName: Yello Race: Terran
ID : 5 PlayerName: Ascherit Race: Terran
ID : 6 PlayerName: Salem Race: Terran
ID : 7 PlayerName: Security Race: 
Frosky Zombie Loss
Public Lobby

Game Length:[35:109]
Players ammount: 8
Marine rank avg: 8,166666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:588] Gafe Unlocked AssaultRifle
[00:667] Gafe Placed/Upgraded MiningDroid
[00:742] Gafe Unlocked FragGrenade
[00:752] Gafe Unlocked SpecOpsFragGrenade
[03:745] Gafe Unlocked AdvancedDroidEngines
[06:160] Gafe Unlocked SpecOpsAssaultRifle
[07:945] Gafe Unlocked Stimpack
[08:964] Gafe Unlocked EnergySuit
[08:965] Gafe Unlocked EnergySuit
[10:454] Gafe Unlocked MedicShield
[11:150] Gafe Placed/Upgraded MiningDroid
[13:625] Gafe Unlocked AutoTargetingSystem
[16:845] Gafe Unlocked PsiDisrupter
[16:880] Gafe Unlocked PsiDepressor
[17:435] Gafe Placed/Upgraded PsiIndoctrinator
[18:953] Gafe Placed/Upgraded PsiIndoctrinator
[21:223] Gafe Placed/Upgraded MiningDroid
[23:958] Gafe Unlocked AdvancedEnergySuit
[23:959] Gafe Unlocked EnergySuit
[23:959] Gafe Unlocked AdvancedEnergySuit
[25:168] Gafe Unlocked EnergyPack
[29:474] Gafe Placed/Upgraded PsiIndoctrinator
[30:149] Gafe Placed/Upgraded PsiIndoctrinator
[31:263] Gafe Unlocked PowerConverter
[32:213] Gafe Unlocked SpecOpsPowerConverter
[00:588] GreyWanderer Unlocked AssaultRifle
[00:667] GreyWanderer Placed MiningDroid
[00:830] GreyWanderer Unlocked Shotgun
[07:044] GreyWanderer Unlocked Shieldsiotunlocked
[07:051] GreyWanderer Unlocked AdvancedShieldSuit
[08:965] GreyWanderer Bought ShieldSuit
[08:965] GreyWanderer Bought CombatSuit
[08:965] GreyWanderer Bought HazmatSuit
[09:749] GreyWanderer Unlocked AdvancedDroidEngines
[12:377] GreyWanderer Unlocked MotionSensor
[12:594] GreyWanderer Placed SensorTower
[14:216] GreyWanderer Unlocked Stimpack
[15:777] GreyWanderer Placed SensorTower
[16:317] GreyWanderer Unlocked FragGrenade
[16:326] GreyWanderer Unlocked SpecOpsFragGrenade
[17:810] GreyWanderer Unlocked Teleporter
[17:915] GreyWanderer Unlocked SpecOpsShotgun
[20:548] GreyWanderer Unlocked TurboDroidEngines
[20:654] GreyWanderer Unlocked HighPrecisionBeams
[21:652] GreyWanderer Unlocked ExplorationDroid
[21:717] GreyWanderer Placed ExplorationDroid
[22:173] GreyWanderer Placed MiningDroid
[26:504] GreyWanderer Unlocked MiningCharge
[26:516] GreyWanderer Unlocked AdvancedMiningCharge
[26:648] GreyWanderer Placed NukePack
[27:110] GreyWanderer Placed NukePack
[27:889] GreyWanderer Placed NukePack
[29:229] GreyWanderer Placed NukePack
[30:871] GreyWanderer Placed NukePack
[32:227] GreyWanderer Unlocked BioMechanicalRepairDrone
[32:237] GreyWanderer Unlocked SpecOpsBioMechanicalRepairDrone
[32:321] GreyWanderer Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[01:011] Frosky Spawned MassiveCocoon
[02:451] Frosky Spawned Hunter
[03:485] Frosky Spawned MassiveCocoon
[03:782] Frosky Placed/Upgraded ToxicNest
[03:787] Frosky Placed/Upgraded ToxicNest
[03:788] Frosky Placed/Upgraded ToxicNest
[04:925] Frosky Spawned Hunter
[04:954] Frosky Placed/Upgraded ToxicNest
[04:970] Frosky Placed/Upgraded ToxicNest
[05:577] Frosky Placed/Upgraded ToxicNest
[07:045] Frosky Bought ShieldSuit
[07:045] Frosky Bought CombatSuit
[07:045] Frosky Bought HazmatSuit
[07:045] Frosky Bought ShieldSuit
[07:052] Frosky Bought ShieldSuit
[07:095] Frosky Spawned MassiveCocoon
[07:507] Frosky Placed/Upgraded ToxicNest
[07:519] Frosky Placed/Upgraded ToxicNest
[07:714] Frosky Spawned MassiveCocoon
[08:009] Frosky Placed/Upgraded ToxicNest
[08:023] Frosky Placed/Upgraded ToxicNest
[08:535] Frosky Spawned PrimalTownHallUprooted
[08:823] Frosky Bought StrainSpeed
[08:830] Frosky Bought PureStrainSpeed
[10:300] Frosky Bought StrainDamage
[10:308] Frosky Bought PureStrainDamage
[10:892] Frosky Spawned MassiveCocoon
[11:539] Frosky Bought HunterlingStrain
[12:332] Frosky Spawned Hunter
[12:735] Frosky Bought StrainSpeed
[14:080] Frosky Bought PureStrainSpeed
[15:382] Frosky Bought HunterlingStrain
[15:492] Frosky Placed/Upgraded ToxicNest
[15:516] Frosky Placed/Upgraded ToxicNest
[16:360] Frosky Bought AdvancedInfestationSecurity
[16:390] Frosky Bought TrackHumans
[17:118] Frosky Bought DefilerStrain
[18:028] Frosky Placed/Upgraded Virophage
[20:746] Frosky Bought CreepSpeed
[21:450] Frosky Bought AdvancedInfestationContainment
[22:978] Frosky Bought StrainSpeed
[24:029] Frosky Bought UnlockDropPods
[24:035] Frosky Bought EvolveDropPods
[25:213] Frosky Placed/Upgraded NydusCanalCreeper
[25:868] Frosky Bought DropshipsFueled
[25:919] Frosky Spawned RoyalCocoon
[25:919] Frosky Bought SpawnHiveQueen
[25:919] Frosky Bought UltimateInfestationResearched
[26:638] Frosky Spawned QueenCoop
[27:201] Frosky Placed/Upgraded NydusCanalCreeper
[27:633] Frosky Spawned MassiveCocoon
[28:792] Frosky Spawned MassiveCocoon
[28:951] Frosky Placed/Upgraded NydusCanalCreeper
[29:073] Frosky Spawned Lurker
[29:871] Frosky Spawned Underseer
[30:980] Frosky Spawned MassiveCocoon
[31:367] Frosky Spawned MassiveCocoon
[32:076] Frosky Placed/Upgraded NydusCanalCreeper
[32:420] Frosky Spawned Hunter
[32:447] Frosky Spawned Underseer
[32:682] Frosky Bought SpawnNydusWorm
[32:737] Frosky Placed/Upgraded GreaterNydusWorm
[33:386] Frosky Bought PureStrainSpeed
[00:588] GDP Unlocked AssaultRifle
[01:285] GDP Placed/Upgraded MiningDroid
[01:402] GDP Unlocked BeamRifle
[04:124] GDP Unlocked SpecOpsPlasmaRifle
[04:207] GDP Unlocked CorrosivePlasma
[09:034] GDP Unlocked Stimpack
[10:718] GDP Unlocked AIAssistant
[10:735] GDP Unlocked CombatShield
[12:042] GDP Unlocked ExplorationDroid
[12:133] GDP Placed/Upgraded ExplorationDroid
[12:141] GDP Placed/Upgraded ExplorationDroid
[12:339] GDP Placed/Upgraded ExplorationDroid
[14:380] GDP Unlocked Shieldsiotunlocked
[14:865] GDP Unlocked AdvancedShieldSuit
[16:234] GDP Unlocked SuperStimpack
[18:823] GDP Unlocked SpecOpsSuperStimpack
[20:191] GDP Placed/Upgraded MiningDroid
[30:612] GDP Unlocked AutoTurret
[30:633] GDP Unlocked SpecOpsTurret
[30:709] GDP Placed/Upgraded AutoTurret
[30:929] GDP Placed/Upgraded AutoTurret
[31:213] GDP Placed/Upgraded AutoTurret
[32:301] GDP Unlocked QuantumBackpack
[32:336] GDP Placed/Upgraded AutoTurret
[32:515] GDP Placed/Upgraded AutoTurret
[32:792] GDP Placed/Upgraded AutoTurret
[33:020] GDP Placed/Upgraded AutoTurret
[33:437] GDP Placed/Upgraded AutoTurret
[33:668] GDP Placed/Upgraded AutoTurret
[00:588] Yello Unlocked AssaultRifle
[00:701] Yello Placed/Upgraded MiningDroid
[01:561] Yello Unlocked SuperStimpack
[09:575] Yello Unlocked AdvancedDroidEngines
[09:642] Yello Unlocked SpecOpsAssaultRifle
[11:295] Yello Unlocked AutoTargetingSystem
[11:488] Yello Unlocked BioMechanicalRepairDrone
[12:756] Yello Unlocked Stimpack
[14:159] Yello Unlocked HazmatSuit
[14:381] Yello Bought ShieldSuit
[14:381] Yello Bought CombatSuit
[14:381] Yello Bought HazmatSuit
[14:381] Yello Bought ShieldSuit
[14:866] Yello Bought ShieldSuit
[18:119] Yello Placed/Upgraded HealingDrone
[18:318] Yello Unlocked AdvancedHazmatSuit
[18:363] Yello Unlocked MedicShield
[19:265] Yello Unlocked AIAssistant
[19:275] Yello Unlocked EnergyPack
[20:787] Yello Unlocked MiningCharge
[22:094] Yello Placed/Upgraded HealingDrone
[22:255] Yello Unlocked AutoTurret
[22:351] Yello Placed/Upgraded AutoTurret
[22:551] Yello Placed/Upgraded AutoTurret
[23:047] Yello Placed/Upgraded NukePack
[23:657] Yello Placed/Upgraded HealingDrone
[23:933] Yello Placed/Upgraded HealingDrone
[24:382] Yello Placed/Upgraded AutoTurret
[24:574] Yello Placed/Upgraded AutoTurret
[24:762] Yello Placed/Upgraded AutoTurret
[25:026] Yello Placed/Upgraded AutoTurret
[25:203] Yello Placed/Upgraded HealingDrone
[26:490] Yello Placed/Upgraded HealingDrone
[26:667] Yello Placed/Upgraded HealingDrone
[27:076] Yello Placed/Upgraded NukePack
[27:264] Yello Unlocked AdvancedMiningCharge
