Analyzed: Oh No It's Zombies Arctic Updated (53)

ID : 0 PlayerName: DeadBoris Race: Terran
ID : 1 PlayerName: RyK Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: Cruel Race: Zerg
ID : 4 PlayerName: HornyHumplar Race: Terran
ID : 5 PlayerName: MarFly Race: Terran
ID : 6 PlayerName: pegasus Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Cruel Zombie Loss
Private Lobby

Game Length:[33:264]
Players ammount: 8
Marine rank avg: 4,166666666666667
GrandMaster ammount: 4
PURCHASES: 
[00:588] DeadBoris Unlocked AssaultRifle
[00:882] DeadBoris Placed/Upgraded MiningDroid
[01:009] DeadBoris Unlocked Shotgun
[03:677] DeadBoris Unlocked SpecOpsShotgun
[05:741] DeadBoris Unlocked MedicShield
[05:904] DeadBoris Unlocked IncendiaryBullets
[07:064] DeadBoris Unlocked Stimpack
[08:878] DeadBoris Unlocked HazmatSuit
[09:028] DeadBoris Unlocked OpticalVisor
[11:383] DeadBoris Unlocked AdvancedHazmatSuit
[12:754] DeadBoris Unlocked OverloadWeapon
[14:060] DeadBoris Unlocked Teleporter
[14:387] DeadBoris Unlocked CombatSuit
[16:093] DeadBoris Unlocked AdvancedDroidEngines
[18:745] DeadBoris Unlocked SpecOpsTeleporter
[20:729] DeadBoris Unlocked AdvancedCombatSuit
[25:997] DeadBoris Unlocked AutoTurret
[26:010] DeadBoris Unlocked SpecOpsTurret
[26:360] DeadBoris Placed/Upgraded AutoTurret
[26:536] DeadBoris Placed/Upgraded AutoTurret
[26:726] DeadBoris Placed/Upgraded AutoTurret
[27:254] DeadBoris Unlocked MotionSensor
[27:267] DeadBoris Unlocked AdvancedMotionSensor
[27:404] DeadBoris Placed/Upgraded SensorTower
[27:582] DeadBoris Unlocked HeavyTurret
[27:693] DeadBoris Placed/Upgraded AutoTurret
[27:879] DeadBoris Placed/Upgraded AutoTurret
[28:105] DeadBoris Placed/Upgraded AutoTurret
[28:786] DeadBoris Unlocked BioMechanicalRepairDrone
[29:304] DeadBoris Unlocked RechargeDrone
[29:422] DeadBoris Placed/Upgraded HealingDrone
[30:464] DeadBoris Placed/Upgraded HealingDrone
[30:964] DeadBoris Placed/Upgraded HealingDrone
[31:143] DeadBoris Placed/Upgraded HealingDrone
[00:588] RyK Unlocked AssaultRifle
[00:677] RyK Placed/Upgraded MiningDroid
[00:849] RyK Unlocked ArcWelder
[01:944] RyK Unlocked AdvancedDroidEngines
[02:814] RyK Unlocked MotionSensor
[03:270] RyK Placed/Upgraded SensorTower
[04:577] RyK Unlocked TurboDroidEngines
[05:357] RyK Placed/Upgraded SensorTower
[06:570] RyK Placed/Upgraded SensorTower
[07:603] RyK Unlocked OverloadWeapon
[07:621] RyK Unlocked Stimpack
[08:879] RyK Bought ShieldSuit
[08:879] RyK Bought CombatSuit
[08:879] RyK Bought HazmatSuit
[08:879] RyK Bought HazmatSuit
[10:185] RyK Unlocked SpecOpsArcWelder
[10:258] RyK Unlocked ArcWelderMod3
[10:320] RyK Unlocked QuantumBackpack
[10:375] RyK Unlocked AIAssistant
[11:384] RyK Bought HazmatSuit
[11:574] RyK Unlocked MedicShield
[11:625] RyK Unlocked AutoTurret
[11:682] RyK Unlocked SpecOpsTurret
[11:757] RyK Unlocked BioMechanicalRepairDrone
[12:457] RyK Unlocked SpecOpsBioMechanicalRepairDrone
[13:298] RyK Placed/Upgraded AutoTurret
[13:424] RyK Placed/Upgraded AutoTurret
[13:524] RyK Placed/Upgraded AutoTurret
[13:674] RyK Placed/Upgraded HealingDrone
[14:388] RyK Bought ShieldSuit
[14:388] RyK Bought CombatSuit
[14:388] RyK Bought HazmatSuit
[14:388] RyK Bought CombatSuit
[14:666] RyK Unlocked EnergySuit
[14:667] RyK Unlocked EnergySuit
[14:672] RyK Unlocked AdvancedEnergySuit
[14:673] RyK Unlocked EnergySuit
[14:673] RyK Unlocked AdvancedEnergySuit
[14:703] RyK Bought ShieldSuit
[14:703] RyK Bought CombatSuit
[14:703] RyK Bought HazmatSuit
[14:703] RyK Bought AdvancedHazmatSuit
[17:238] RyK Placed/Upgraded AutoTurret
[17:352] RyK Placed/Upgraded AutoTurret
[17:447] RyK Placed/Upgraded HealingDrone
[17:630] RyK Unlocked ExplorationDroid
[17:654] RyK Placed/Upgraded ExplorationDroid
[17:901] RyK Unlocked RechargeDrone
[18:018] RyK Placed/Upgraded HealingDrone
[19:132] RyK Placed/Upgraded AutoTurret
[19:265] RyK Placed/Upgraded HealingDrone
[19:894] RyK Placed/Upgraded AutoTurret
[19:998] RyK Placed/Upgraded HealingDrone
[20:384] RyK Placed/Upgraded AutoTurret
[20:808] RyK Bought ShieldSuit
[20:808] RyK Bought CombatSuit
[20:808] RyK Bought HazmatSuit
[20:808] RyK Bought AdvancedCombatSuit
[24:025] RyK Placed/Upgraded AutoTurret
[24:408] RyK Bought ShieldSuit
[24:408] RyK Bought CombatSuit
[24:408] RyK Bought HazmatSuit
[24:408] RyK Bought AdvancedHazmatSuit
[24:510] RyK Placed/Upgraded HealingDrone
[25:518] RyK Placed/Upgraded AutoTurret
[26:288] RyK Unlocked ForceFieldGrenade
[26:298] RyK Unlocked SpecOpsForcefieldGrenade
[26:572] RyK Placed/Upgraded HealingDrone
[27:162] RyK Unlocked PsiDisrupter
[27:173] RyK Unlocked PsiDepressor
[27:377] RyK Placed/Upgraded PsiIndoctrinator
[27:754] RyK Placed/Upgraded ExplorationDroid
[28:641] RyK Placed/Upgraded PsiIndoctrinator
[30:775] RyK Placed/Upgraded SensorTower
[30:812] RyK Placed/Upgraded SensorTower
[00:588] Frosky Unlocked AssaultRifle
[00:688] Frosky Placed MiningDroid
[00:862] Frosky Unlocked AdvancedDroidEngines
[03:771] Frosky Unlocked TurboDroidEngines
[06:504] Frosky Unlocked SpecOpsAssaultRifle
[08:081] Frosky Unlocked Stimpack
[11:728] Frosky Unlocked TitaniumBulletCasings
[13:932] Frosky Unlocked CombatSuit
[14:667] Frosky Bought ShieldSuit
[14:667] Frosky Bought CombatSuit
[14:667] Frosky Bought HazmatSuit
[15:596] Frosky Unlocked AdvancedCombatSuit
[16:933] Frosky Placed MiningDroid
[19:160] Frosky Unlocked AutoTurret
[22:334] Frosky Unlocked HeavyTurret
[22:574] Frosky Unlocked Teleporter
[24:944] Frosky Placed AutoTurret
[25:135] Frosky Placed AutoTurret
[25:731] Frosky Placed AutoTurret
[27:064] Frosky Placed AutoTurret
[27:238] Frosky Placed AutoTurret
[27:757] Frosky Placed AutoTurret
[27:810] Frosky Unlocked BioMechanicalRepairDrone
[27:824] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[27:975] Frosky Placed HealingDrone
[28:196] Frosky Placed HealingDrone
[00:552] Cruel Bought PlayerNumber
[00:857] Cruel Spawned MassiveCocoon
[02:297] Cruel Spawned Lurker
[03:863] Cruel Bought VirulentCreep
[03:863] Cruel Bought VirulentCreep
[08:252] Cruel Spawned MassiveCocoon
[09:065] Cruel Bought CreepSpeed
[09:692] Cruel Spawned Lurker
[12:869] Cruel Bought VirulentCreep
[12:869] Cruel Bought VirulentCreep
[13:933] Cruel Bought ShieldSuit
[13:933] Cruel Bought CombatSuit
[13:933] Cruel Bought HazmatSuit
[13:933] Cruel Bought CombatSuit
[15:597] Cruel Bought CombatSuit
[15:859] Cruel Bought BuildExtractorProcessingFacilities
[15:859] Cruel Placed/Upgraded AutomatedExtractor
[17:483] Cruel Bought ExtractorCostReductionProcessingFacilities
[17:483] Cruel Bought BuildExtractorProcessingFacilities
[18:461] Cruel Spawned MassiveCocoon
[20:104] Cruel Placed/Upgraded Virophage
[20:406] Cruel Bought StrainHealth
[20:416] Cruel Bought PureStrainHealth
[22:358] Cruel Bought TankStrain
[23:583] Cruel Bought DropshipsFueled
[27:510] Cruel Bought RegenerativeCreep
[27:867] Cruel Bought SpawnNydusWorm
[27:902] Cruel Placed/Upgraded GreaterNydusWorm
[28:044] Cruel Placed/Upgraded PrimalSunkenColony
[28:045] Cruel Bought SunkenColony
[00:588] HornyHumplar Unlocked AssaultRifle
[00:667] HornyHumplar Placed/Upgraded MiningDroid
[03:670] HornyHumplar Unlocked SpecOpsAssaultRifle
[05:189] HornyHumplar Unlocked AutoTargetingSystem
[07:249] HornyHumplar Unlocked OverloadWeapon
[07:611] HornyHumplar Unlocked CombatSuit
[08:715] HornyHumplar Unlocked AdvancedCombatSuit
[10:990] HornyHumplar Unlocked AIAssistant
[10:997] HornyHumplar Unlocked MedicShield
[11:007] HornyHumplar Unlocked EnergyPack
[11:060] HornyHumplar Unlocked PowerConverter
[14:239] HornyHumplar Unlocked MiningCharge
[14:246] HornyHumplar Unlocked AdvancedMiningCharge
[14:285] HornyHumplar Placed/Upgraded NukePack
[16:245] HornyHumplar Unlocked HazmatSuit
[17:803] HornyHumplar Unlocked AdvancedHazmatSuit
[19:867] HornyHumplar Unlocked BioMechanicalRepairDrone
[20:487] HornyHumplar Placed/Upgraded NukePack
[24:018] HornyHumplar Placed/Upgraded NukePack
[24:134] HornyHumplar Placed/Upgraded NukePack
[26:084] HornyHumplar Placed/Upgraded NukePack
[28:805] HornyHumplar Placed/Upgraded NukePack
[29:511] HornyHumplar Placed/Upgraded NukePack
[00:588] MarFly Unlocked AssaultRifle
[00:734] MarFly Placed/Upgraded MiningDroid
[02:550] MarFly Unlocked BioMechanicalRepairDrone
[02:596] MarFly Unlocked CombatAccelerationDrone
[02:768] MarFly Placed/Upgraded HealingDrone
[03:331] MarFly Placed/Upgraded HealingDrone
[03:692] MarFly Placed/Upgraded HealingDrone
[06:527] MarFly Unlocked Stimpack
[07:612] MarFly Bought ShieldSuit
[07:612] MarFly Bought CombatSuit
[07:612] MarFly Bought HazmatSuit
[07:612] MarFly Bought CombatSuit
[08:716] MarFly Bought CombatSuit
[08:770] MarFly Unlocked AdvancedDroidEngines
[10:699] MarFly Unlocked MedicShield
[13:083] MarFly Unlocked TurboDroidEngines
[13:519] MarFly Unlocked HellfireRocketLauncher
[15:903] MarFly Unlocked SpecOpsHellfireRocketLauncher
[16:149] MarFly Unlocked RocketLauncherMod1
[16:214] MarFly Unlocked CombatSuit
[16:246] MarFly Bought ShieldSuit
[16:246] MarFly Bought CombatSuit
[16:246] MarFly Bought HazmatSuit
[16:246] MarFly Bought HazmatSuit
[17:162] MarFly Placed/Upgraded HealingDrone
[17:371] MarFly Unlocked FragGrenade
[17:804] MarFly Bought HazmatSuit
[17:836] MarFly Placed/Upgraded HealingDrone
[18:741] MarFly Unlocked BeamRifle
[18:916] MarFly Bought ShieldSuit
[18:916] MarFly Bought CombatSuit
[18:916] MarFly Bought HazmatSuit
[18:916] MarFly Bought AdvancedCombatSuit
[20:777] MarFly Unlocked ShockwaveMissiles
[20:879] MarFly Unlocked AIAssistant
[21:971] MarFly Unlocked AdvancedCombatSuit
[22:338] MarFly Unlocked SpecOpsFragGrenade
[23:121] MarFly Unlocked SuperStimpack
[24:988] MarFly Bought ShieldSuit
[24:988] MarFly Bought CombatSuit
[24:988] MarFly Bought HazmatSuit
[24:988] MarFly Bought AdvancedHazmatSuit
[25:348] MarFly Unlocked EnergyPack
[25:816] MarFly Unlocked SpecOpsSuperStimpack
[25:857] MarFly Bought ShieldSuit
[25:857] MarFly Bought CombatSuit
[25:857] MarFly Bought HazmatSuit
[25:857] MarFly Bought AdvancedCombatSuit
[28:730] MarFly Unlocked MiningCharge
[28:878] MarFly Placed/Upgraded NukePack
[29:320] MarFly Placed/Upgraded NukePack
[30:394] MarFly Placed/Upgraded NukePack
[31:076] MarFly Unlocked PsiDisrupter
[31:090] MarFly Unlocked PsiDepressor
[31:260] MarFly Placed/Upgraded PsiIndoctrinator
[00:588] pegasus Unlocked AssaultRifle
[00:819] pegasus Unlocked AdvancedDroidEngines
[03:608] pegasus Unlocked Stimpack
[05:251] pegasus Unlocked MedicShield
[08:404] pegasus Unlocked TurboDroidEngines
[10:310] pegasus Unlocked Flamethrower
[11:319] pegasus Unlocked BioMechanicalRepairDrone
[12:727] pegasus Unlocked SpecOpsFlamethrower
[12:757] pegasus Unlocked LongRangeIncinerators
[14:777] pegasus Unlocked SpecOpsBioMechanicalRepairDrone
[14:809] pegasus Unlocked PsiDisrupter
[14:824] pegasus Unlocked PsiDepressor
[16:215] pegasus Bought ShieldSuit
[16:215] pegasus Bought CombatSuit
[16:215] pegasus Bought HazmatSuit
[16:215] pegasus Bought CombatSuit
[21:972] pegasus Bought CombatSuit
[25:295] pegasus Unlocked Shieldsiotunlocked
[25:308] pegasus Unlocked AdvancedShieldSuit
[25:652] pegasus Unlocked MiningCharge
[25:854] pegasus Unlocked Teleporter
[25:866] pegasus Unlocked SpecOpsTeleporter
[28:668] pegasus Unlocked EnergyPack
[28:763] pegasus Unlocked OpticalVisor
[25:296] Security Bought ShieldSuit
[25:296] Security Bought CombatSuit
[25:296] Security Bought HazmatSuit
[25:296] Security Bought ShieldSuit
[25:309] Security Bought ShieldSuit
Cruel First Alpha Lurker |  Loss

Cruel Placed 1 Greaters.
--------------------------------
