Analyzed: Oh No It's Zombies Arctic Updated (532)

ID : 0 PlayerName: ZergWithHat Race: Zerg
ID : 1 PlayerName: wydjaz Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: GustavAldogg Race: Terran
ID : 4 PlayerName: Snap Race: Terran
ID : 5 PlayerName: King Race: Terran
ID : 6 PlayerName: IceDPrince Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
ZergWithHat Zombie Loss
Private Lobby

Game Length:[33:654]
Players ammount: 8
Marine rank avg: 14
GrandMaster ammount: 4
PURCHASES: 
[02:822] ZergWithHat Bought StrainSpeed
[03:981] ZergWithHat Bought StrainSpeed
[05:846] ZergWithHat Bought StrainDamage
[06:254] ZergWithHat Placed/Upgraded LesserNydusWorm
[06:255] ZergWithHat Bought GreaterNydus
[07:168] ZergWithHat Bought PureStrainDamage
[10:798] ZergWithHat Bought DefilerStrain
[11:118] ZergWithHat Placed/Upgraded LesserNydusWorm
[11:119] ZergWithHat Bought GreaterNydus
[11:590] ZergWithHat Bought BuildExtractorProcessingFacilities
[11:590] ZergWithHat Placed/Upgraded AutomatedExtractor
[12:941] ZergWithHat Bought ExtractorCostReductionProcessingFacilities
[12:941] ZergWithHat Bought BuildExtractorProcessingFacilities
[14:535] ZergWithHat Bought SpawnNydusWorm
[14:846] ZergWithHat Placed/Upgraded NydusCanalCreeper
[15:903] ZergWithHat Placed/Upgraded GreaterNydusWorm
[16:448] ZergWithHat Placed/Upgraded Virophage
[19:163] ZergWithHat Placed/Upgraded LesserNydusWorm
[19:164] ZergWithHat Bought GreaterNydus
[19:976] ZergWithHat Bought VirulentCreep
[22:175] ZergWithHat Placed/Upgraded Virophage
[22:235] ZergWithHat Placed/Upgraded LesserNydusWorm
[22:236] ZergWithHat Bought GreaterNydus
[22:531] ZergWithHat Placed/Upgraded NydusCanalCreeper
[23:434] ZergWithHat Placed/Upgraded GreaterNydusWorm
[24:232] ZergWithHat Bought GreaterNydus
[24:638] ZergWithHat Bought DropshipsFueled
[24:913] ZergWithHat Bought SweepingInfestation
[24:913] ZergWithHat Bought UltimateInfestationResearched
[25:854] ZergWithHat Placed/Upgraded NydusCanalCreeper
[27:329] ZergWithHat Placed/Upgraded LesserNydusWorm
[27:330] ZergWithHat Bought GreaterNydus
[27:748] ZergWithHat Spawned MassiveCocoon
[27:779] ZergWithHat Spawned MassiveCocoon
[27:796] ZergWithHat Spawned MassiveCocoon
[27:859] ZergWithHat Spawned MassiveCocoon
[28:355] ZergWithHat Placed/Upgraded NydusCanalCreeper
[29:151] ZergWithHat Bought AdvancedPowerInfestation
[29:788] ZergWithHat Spawned MassiveCocoon
[29:866] ZergWithHat Spawned MassiveCocoon
[30:558] ZergWithHat Placed/Upgraded NydusCanalCreeper
[30:799] ZergWithHat Placed/Upgraded GreaterNydusWorm
[30:868] ZergWithHat Spawned Underseer
[30:916] ZergWithHat Bought StrainVolatile
[31:191] ZergWithHat Bought PureStrainVolatile
[31:306] ZergWithHat Spawned InfestedAbomination
[31:431] ZergWithHat Placed/Upgraded NydusCanalCreeper
[32:096] ZergWithHat Bought KaboomerStrain
[00:588] wydjaz Unlocked AssaultRifle
[00:696] wydjaz Placed/Upgraded MiningDroid
[00:807] wydjaz Unlocked IncendiaryGrenade
[00:912] wydjaz Unlocked OverloadWeapon
[07:495] wydjaz Unlocked SpecOpsAssaultRifle
[09:965] wydjaz Unlocked CombatSuit
[09:966] wydjaz Unlocked ShieldSuit
[09:966] wydjaz Unlocked AdvancedShieldSuit
[09:966] wydjaz Unlocked CombatSuit
[09:966] wydjaz Unlocked AdvancedCombatSuit
[09:966] wydjaz Unlocked HazmatSuit
[09:966] wydjaz Unlocked AdvancedHazmatSuit
[09:966] wydjaz Unlocked CombatSuit
[13:303] wydjaz Unlocked AdvancedDroidEngines
[13:385] wydjaz Unlocked BioMechanicalRepairDrone
[13:439] wydjaz Placed/Upgraded HealingDrone
[15:556] wydjaz Unlocked TurboDroidEngines
[15:908] wydjaz Placed/Upgraded HealingDrone
[16:968] wydjaz Placed/Upgraded MiningDroid
[18:050] wydjaz Unlocked AutoTargetingSystem
[18:350] wydjaz Placed/Upgraded HealingDrone
[21:080] wydjaz Unlocked AdvancedCombatSuit
[21:081] wydjaz Unlocked CombatSuit
[21:081] wydjaz Unlocked AdvancedCombatSuit
[21:239] wydjaz Unlocked SpecOpsBioMechanicalRepairDrone
[23:675] wydjaz Placed/Upgraded HealingDrone
[23:916] wydjaz Unlocked MiningCharge
[23:940] wydjaz Unlocked AdvancedMiningCharge
[24:017] wydjaz Placed/Upgraded NukePack
[24:169] wydjaz Placed/Upgraded NukePack
[24:577] wydjaz Placed/Upgraded HealingDrone
[24:950] wydjaz Placed/Upgraded HealingDrone
[27:905] wydjaz Placed/Upgraded NukePack
[28:106] wydjaz Placed/Upgraded NukePack
[28:162] wydjaz Placed/Upgraded HealingDrone
[29:612] wydjaz Placed/Upgraded NukePack
[30:562] wydjaz Placed/Upgraded HealingDrone
[31:734] wydjaz Placed/Upgraded NukePack
[31:757] wydjaz Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:722] Frosky Unlocked Shotgun
[02:804] Frosky Unlocked ExplorationDroid
[02:852] Frosky Placed/Upgraded ExplorationDroid
[02:861] Frosky Placed/Upgraded ExplorationDroid
[03:051] Frosky Placed/Upgraded ExplorationDroid
[05:724] Frosky Unlocked SpecOpsShotgun
[07:924] Frosky Unlocked Stimpack
[09:936] Frosky Unlocked AdvancedDroidEngines
[11:403] Frosky Unlocked MedicShield
[12:166] Frosky Unlocked BioMechanicalRepairDrone
[12:375] Frosky Placed/Upgraded HealingDrone
[13:408] Frosky Unlocked HighPrecisionBeams
[14:216] Frosky Placed/Upgraded HealingDrone
[17:277] Frosky Placed/Upgraded MiningDroid
[19:467] Frosky Unlocked SuperStimpack
[20:751] Frosky Unlocked HazmatSuit
[20:752] Frosky Unlocked ShieldSuit
[20:752] Frosky Unlocked AdvancedShieldSuit
[20:752] Frosky Unlocked CombatSuit
[20:752] Frosky Unlocked AdvancedCombatSuit
[20:752] Frosky Unlocked HazmatSuit
[20:752] Frosky Unlocked AdvancedHazmatSuit
[20:752] Frosky Unlocked HazmatSuit
[22:585] Frosky Unlocked AdvancedHazmatSuit
[22:586] Frosky Unlocked HazmatSuit
[22:586] Frosky Unlocked AdvancedHazmatSuit
[24:015] Frosky Placed/Upgraded MiningDroid
[24:658] Frosky Placed/Upgraded HealingDrone
[25:148] Frosky Placed/Upgraded HealingDrone
[26:258] Frosky Unlocked SpecOpsSuperStimpack
[26:308] Frosky Unlocked AutoTurret
[28:397] Frosky Placed/Upgraded AutoTurret
[29:765] Frosky Unlocked FlameTurret
[29:838] Frosky Placed/Upgraded AutoTurret
[31:456] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[00:588] GustavAldogg Unlocked AssaultRifle
[00:706] GustavAldogg Placed/Upgraded MiningDroid
[01:006] GustavAldogg Unlocked FragGrenade
[02:821] GustavAldogg Unlocked AdvancedDroidEngines
[07:345] GustavAldogg Unlocked TurboDroidEngines
[07:385] GustavAldogg Unlocked SpecOpsAssaultRifle
[09:755] GustavAldogg Unlocked TitaniumBulletCasings
[10:482] GustavAldogg Unlocked OverloadWeapon
[12:199] GustavAldogg Unlocked CombatSuit
[12:200] GustavAldogg Unlocked ShieldSuit
[12:200] GustavAldogg Unlocked AdvancedShieldSuit
[12:200] GustavAldogg Unlocked CombatSuit
[12:200] GustavAldogg Unlocked AdvancedCombatSuit
[12:200] GustavAldogg Unlocked HazmatSuit
[12:200] GustavAldogg Unlocked AdvancedHazmatSuit
[12:200] GustavAldogg Unlocked CombatSuit
[12:206] GustavAldogg Unlocked AdvancedCombatSuit
[12:207] GustavAldogg Unlocked CombatSuit
[12:207] GustavAldogg Unlocked AdvancedCombatSuit
[14:047] GustavAldogg Unlocked BioMechanicalRepairDrone
[14:079] GustavAldogg Placed/Upgraded HealingDrone
[14:157] GustavAldogg Unlocked CombatShield
[15:724] GustavAldogg Unlocked EnergyPack
[15:728] GustavAldogg Unlocked OpticalVisor
[15:797] GustavAldogg Unlocked MiningCharge
[16:530] GustavAldogg Placed/Upgraded HealingDrone
[17:472] GustavAldogg Placed/Upgraded MiningDroid
[18:653] GustavAldogg Placed/Upgraded HealingDrone
[19:328] GustavAldogg Unlocked Teleporter
[21:640] GustavAldogg Unlocked AdvancedMiningCharge
[25:390] GustavAldogg Placed/Upgraded NukePack
[27:590] GustavAldogg Placed/Upgraded HealingDrone
[30:234] GustavAldogg Placed/Upgraded HealingDrone
[30:342] GustavAldogg Placed/Upgraded NukePack
[31:905] GustavAldogg Placed/Upgraded HealingDrone
[00:588] Snap Unlocked AssaultRifle
[00:760] Snap Placed/Upgraded MiningDroid
[00:800] Snap Unlocked AdvancedDroidEngines
[02:890] Snap Unlocked HellfireRocketLauncher
[04:031] Snap Unlocked SpecOpsHellfireRocketLauncher
[06:797] Snap Unlocked Stimpack
