Analyzed: Oh No It's Zombies Arctic Updated (534)

ID : 0 PlayerName: Basik Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Sly Race: Zerg
ID : 3 PlayerName: tassadar Race: Terran
ID : 4 PlayerName: wydjaz Race: Terran
ID : 5 PlayerName: Baal Race: Terran
ID : 6 PlayerName: AlienSpy Race: Terran
ID : 7 PlayerName: Security Race: Terran
Sly Zombie Loss
Public Lobby

Game Length:[37:661]
Players ammount: 8
Marine rank avg: 5,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] Basik Unlocked AssaultRifle
[00:667] Basik Placed/Upgraded MiningDroid
[00:820] Basik Unlocked FragGrenade
[02:006] Basik Unlocked SpecOpsFragGrenade
[04:053] Basik Unlocked Stimpack
[05:521] Basik Unlocked AdvancedDroidEngines
[06:978] Basik Unlocked Shotgun
[08:740] Basik Unlocked SpecOpsShotgun
[09:635] Basik Unlocked BioMechanicalRepairDrone
[09:692] Basik Placed/Upgraded HealingDrone
[10:366] Basik Placed/Upgraded HealingDrone
[10:567] Basik Placed/Upgraded HealingDrone
[11:744] Basik Unlocked HighPrecisionBeams
[12:298] Basik Placed/Upgraded HealingDrone
[12:566] Basik Unlocked TurboDroidEngines
[15:025] Basik Unlocked CloakingDevice
[15:037] Basik Unlocked SpecOpsCloakingDevice
[15:523] Basik Placed/Upgraded HealingDrone
[16:183] Basik Unlocked CombatSuit
[16:915] Basik Unlocked AdvancedCombatSuit
[17:781] Basik Unlocked SpecOpsBioMechanicalRepairDrone
[18:159] Basik Placed/Upgraded HealingDrone
[18:314] Basik Unlocked FlashBang
[18:548] Basik Placed/Upgraded HealingDrone
[18:805] Basik Placed/Upgraded HealingDrone
[20:484] Basik Unlocked EnergyPack
[20:600] Basik Placed/Upgraded HealingDrone
[20:657] Basik Unlocked OverloadWeapon
[23:180] Basik Placed/Upgraded HealingDrone
[23:526] Basik Unlocked HazmatSuit
[23:530] Basik Unlocked AdvancedHazmatSuit
[24:606] Basik Unlocked MiningCharge
[24:611] Basik Unlocked AdvancedMiningCharge
[25:146] Basik Placed/Upgraded NukePack
[25:833] Basik Placed/Upgraded HealingDrone
[26:044] Basik Placed/Upgraded NukePack
[28:329] Basik Unlocked PsiDisrupter
[28:338] Basik Unlocked PsiDepressor
[28:508] Basik Placed/Upgraded PsiIndoctrinator
[29:468] Basik Placed/Upgraded NukePack
[29:860] Basik Unlocked MedicShield
[32:868] Basik Placed/Upgraded NukePack
[33:933] Basik Placed/Upgraded NukePack
[34:152] Basik Placed/Upgraded HealingDrone
[34:466] Basik Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[00:797] Frosky Placed MiningDroid
[00:880] Frosky Unlocked ArcWelder
[02:228] Frosky Unlocked BioMechanicalRepairDrone
[02:241] Frosky Unlocked CombatAccelerationDrone
[02:323] Frosky Placed HealingDrone
[03:487] Frosky Placed HealingDrone
[03:614] Frosky Placed HealingDrone
[03:741] Frosky Placed HealingDrone
[05:150] Frosky Unlocked AdvancedDroidEngines
[06:761] Frosky Unlocked TurboDroidEngines
[08:347] Frosky Unlocked Stimpack
[08:973] Frosky Unlocked ExplorationDroid
[09:010] Frosky Placed ExplorationDroid
[09:021] Frosky Placed ExplorationDroid
[09:887] Frosky Unlocked CombatSuit
[10:446] Frosky Unlocked AdvancedCombatSuit
[10:680] Frosky Placed ExplorationDroid
[11:662] Frosky Unlocked AutoTurret
[13:075] Frosky Unlocked PsiDisrupter
[13:353] Frosky Placed PsiIndoctrinator
[14:953] Frosky Placed PsiIndoctrinator
[16:184] Frosky Bought ShieldSuit
[16:184] Frosky Bought CombatSuit
[16:184] Frosky Bought HazmatSuit
[16:184] Frosky Bought CombatSuit
[16:343] Frosky Placed PsiIndoctrinator
[16:916] Frosky Bought CombatSuit
[17:687] Frosky Placed PsiIndoctrinator
[18:124] Frosky Unlocked QuantumBackpack
[18:131] Frosky Unlocked AIAssistant
[18:450] Frosky Unlocked HeavyTurret
[18:602] Frosky Placed AutoTurret
[18:759] Frosky Placed AutoTurret
[19:359] Frosky Unlocked PsiDepressor
[20:496] Frosky Placed AutoTurret
[20:854] Frosky Placed HealingDrone
[21:290] Frosky Placed AutoTurret
[21:517] Frosky Placed AutoTurret
[21:834] Frosky Placed AutoTurret
[23:527] Frosky Bought ShieldSuit
[23:527] Frosky Bought CombatSuit
[23:527] Frosky Bought HazmatSuit
[23:527] Frosky Bought HazmatSuit
[23:531] Frosky Bought HazmatSuit
[25:500] Frosky Placed AutoTurret
[25:610] Frosky Bought ShieldSuit
[25:610] Frosky Bought CombatSuit
[25:610] Frosky Bought HazmatSuit
[25:610] Frosky Bought AdvancedCombatSuit
[25:628] Frosky Placed AutoTurret
[25:828] Frosky Placed AutoTurret
[26:134] Frosky Placed AutoTurret
[26:747] Frosky Unlocked SpecOpsArcWelder
[26:770] Frosky Unlocked ArcWelderMod3
[26:874] Frosky Bought ShieldSuit
[26:874] Frosky Bought CombatSuit
[26:874] Frosky Bought HazmatSuit
[26:874] Frosky Bought AdvancedHazmatSuit
[26:926] Frosky Placed AutoTurret
[28:197] Frosky Placed PsiIndoctrinator
[28:560] Frosky Unlocked MiningCharge
[28:570] Frosky Unlocked AdvancedMiningCharge
[28:738] Frosky Bought ShieldSuit
[28:738] Frosky Bought CombatSuit
[28:738] Frosky Bought HazmatSuit
[28:738] Frosky Bought AdvancedCombatSuit
[28:795] Frosky Placed NukePack
[30:503] Frosky Placed AutoTurret
[30:772] Frosky Placed AutoTurret
[30:885] Frosky Placed AutoTurret
[31:009] Frosky Placed AutoTurret
[31:142] Frosky Placed AutoTurret
[31:236] Frosky Placed AutoTurret
[32:156] Frosky Placed NukePack
[33:708] Frosky Placed AutoTurret
[33:806] Frosky Placed AutoTurret
[33:850] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[33:906] Frosky Placed HealingDrone
[34:077] Frosky Placed HealingDrone
[34:225] Frosky Placed NukePack
[34:381] Frosky Placed AutoTurret
[34:873] Frosky Placed AutoTurret
[35:167] Frosky Placed AutoTurret
[35:399] Frosky Placed AutoTurret
[00:552] Sly Bought PlayerNumber
[01:303] Sly Bought StrainHealth
[03:112] Sly Spawned MassiveCocoon
[04:552] Sly Spawned Hunter
[05:618] Sly Placed/Upgraded ToxicNest
[05:763] Sly Bought StrainVolatile
[06:358] Sly Placed/Upgraded ToxicNest
[07:293] Sly Placed/Upgraded ToxicNest
[07:614] Sly Bought UnlockDropPods
[08:014] Sly Bought EvolveDropPods
[09:230] Sly Placed/Upgraded ToxicNest
[09:888] Sly Bought ShieldSuit
[09:888] Sly Bought CombatSuit
[09:888] Sly Bought HazmatSuit
[09:888] Sly Bought CombatSuit
[09:928] Sly Bought EvolveDropPods
[09:937] Sly Bought EvolveDropPods
[10:447] Sly Bought CombatSuit
[10:487] Sly Bought EvolveDropPods
[11:412] Sly Placed/Upgraded ToxicNest
[13:038] Sly Bought SpawnNydusWorm
[14:377] Sly Spawned MassiveCocoon
[15:244] Sly Bought SiphonFuel
[15:457] Sly Spawned Underseer
[16:743] Sly Bought CreepSpeed
[17:765] Sly Placed/Upgraded GreaterNydusWorm
[19:139] Sly Bought VirulentCreep
[19:139] Sly Bought VirulentCreep
[19:158] Sly Bought EvolveDropPods
[19:501] Sly Bought SiphonFuel
[20:922] Sly Bought BuildExtractorExcavationZone
[20:922] Sly Placed/Upgraded AutomatedExtractor
[22:075] Sly Bought BuildExtractorProcessingFacilities
[22:075] Sly Placed/Upgraded AutomatedExtractor
[22:930] Sly Bought EvolveDropPods
[23:125] Sly Placed/Upgraded Virophage
[24:806] Sly Placed/Upgraded GreaterNydusWorm
[26:137] Sly Bought AdvancedPowerInfestation
[26:173] Sly Bought SiphonFuel
[27:822] Sly Bought CreepSpeed
[28:063] Sly Bought DropshipsFueled
[28:387] Sly Bought UltimateInfestationResearched
[29:579] Sly Placed/Upgraded PrimalSunkenColony
[29:580] Sly Bought SunkenColony
[30:949] Sly Bought PureStrainHealth
[31:860] Sly Bought RegenerativeCreep
[33:865] Sly Bought SunkenColony
[34:334] Sly Bought TankStrain
[34:347] Sly Bought PureStrainVolatile
[34:360] Sly Bought KaboomerStrain
[00:588] tassadar Unlocked AssaultRifle
[01:111] tassadar Placed/Upgraded MiningDroid
[01:229] tassadar Unlocked AdvancedDroidEngines
[04:744] tassadar Unlocked TurboDroidEngines
[05:717] tassadar Unlocked Stimpack
[06:966] tassadar Unlocked Shotgun
[08:235] tassadar Unlocked SpecOpsShotgun
[09:254] tassadar Unlocked HighPrecisionBeams
[09:848] tassadar Unlocked BioMechanicalRepairDrone
[10:611] tassadar Placed/Upgraded HealingDrone
[11:687] tassadar Placed/Upgraded HealingDrone
[12:083] tassadar Placed/Upgraded HealingDrone
[12:969] tassadar Unlocked SuperStimpack
[13:004] tassadar Unlocked HazmatSuit
[13:015] tassadar Unlocked AdvancedHazmatSuit
[13:163] tassadar Placed/Upgraded HealingDrone
[13:975] tassadar Unlocked EnergyPack
[14:249] tassadar Unlocked SpecOpsBioMechanicalRepairDrone
[15:618] tassadar Unlocked SpecOpsSuperStimpack
[16:304] tassadar Placed/Upgraded HealingDrone
[16:490] tassadar Placed/Upgraded HealingDrone
[17:559] tassadar Unlocked PsiDisrupter
[17:592] tassadar Placed/Upgraded PsiIndoctrinator
[19:588] tassadar Placed/Upgraded PsiIndoctrinator
[21:384] tassadar Placed/Upgraded HealingDrone
[21:899] tassadar Unlocked SpecOpsPsiDisruptor
[22:094] tassadar Unlocked CombatShield
[22:147] tassadar Unlocked AIAssistant
[22:606] tassadar Placed/Upgraded HealingDrone
[23:113] tassadar Placed/Upgraded HealingDrone
[23:935] tassadar Unlocked Flamethrower
[25:324] tassadar Unlocked SpecOpsFlamethrower
[25:355] tassadar Unlocked LongRangeIncinerators
[25:429] tassadar Placed/Upgraded HealingDrone
[25:795] tassadar Placed/Upgraded HealingDrone
[26:061] tassadar Placed/Upgraded HealingDrone
[27:046] tassadar Placed/Upgraded HealingDrone
[27:814] tassadar Placed/Upgraded HealingDrone
[28:961] tassadar Placed/Upgraded HealingDrone
[29:318] tassadar Placed/Upgraded HealingDrone
[30:093] tassadar Unlocked MiningCharge
[30:098] tassadar Unlocked AdvancedMiningCharge
[30:355] tassadar Placed/Upgraded HealingDrone
[30:719] tassadar Unlocked PsiDepressor
[30:987] tassadar Placed/Upgraded PsiIndoctrinator
[31:852] tassadar Unlocked ForceFieldGrenade
[31:859] tassadar Unlocked SpecOpsForcefieldGrenade
[32:158] tassadar Unlocked QuantumBackpack
[32:677] tassadar Placed/Upgraded NukePack
[32:891] tassadar Placed/Upgraded NukePack
[33:127] tassadar Placed/Upgraded NukePack
[34:277] tassadar Unlocked MotionSensor
[34:361] tassadar Placed/Upgraded SensorTower
[34:558] tassadar Unlocked AdvancedMotionSensor
[35:220] tassadar Placed/Upgraded SensorTower
[35:480] tassadar Placed/Upgraded MiningDroid
[00:588] wydjaz Unlocked AssaultRifle
[00:980] wydjaz Placed/Upgraded MiningDroid
[01:050] wydjaz Unlocked AdvancedDroidEngines
[03:037] wydjaz Unlocked MotionSensor
[03:316] wydjaz Placed/Upgraded SensorTower
[04:202] wydjaz Placed/Upgraded SensorTower
[05:481] wydjaz Unlocked AutoTurret
[05:577] wydjaz Placed/Upgraded AutoTurret
[06:787] wydjaz Placed/Upgraded AutoTurret
[07:554] wydjaz Placed/Upgraded AutoTurret
[07:986] wydjaz Placed/Upgraded AutoTurret
[08:301] wydjaz Placed/Upgraded AutoTurret
[10:519] wydjaz Placed/Upgraded SensorTower
[10:705] wydjaz Placed/Upgraded MiningDroid
[11:397] wydjaz Unlocked SpecOpsAssaultRifle
[12:042] wydjaz Placed/Upgraded AutoTurret
[12:760] wydjaz Placed/Upgraded AutoTurret
[13:005] wydjaz Bought ShieldSuit
[13:005] wydjaz Bought CombatSuit
[13:005] wydjaz Bought HazmatSuit
[13:005] wydjaz Bought HazmatSuit
[13:016] wydjaz Bought HazmatSuit
[13:029] wydjaz Unlocked OverloadWeapon
[13:222] wydjaz Placed/Upgraded AutoTurret
[16:107] wydjaz Unlocked TurboDroidEngines
[16:447] wydjaz Unlocked PsiDisrupter
[17:546] wydjaz Unlocked CloakingDevice
[19:102] wydjaz Unlocked ForceFieldGrenade
[19:257] wydjaz Unlocked TitaniumBulletCasings
[23:073] wydjaz Placed/Upgraded PsiIndoctrinator
[23:548] wydjaz Unlocked EnergySuit
[23:549] wydjaz Unlocked EnergySuit
[23:640] wydjaz Unlocked SpecOpsForcefieldGrenade
[24:155] wydjaz Placed/Upgraded PsiIndoctrinator
[25:096] wydjaz Placed/Upgraded PsiIndoctrinator
[27:096] wydjaz Unlocked PsiDepressor
[27:450] wydjaz Placed/Upgraded PsiIndoctrinator
[27:872] wydjaz Unlocked SpecOpsTurret
[28:922] wydjaz Unlocked MiningCharge
[29:172] wydjaz Placed/Upgraded NukePack
[30:670] wydjaz Placed/Upgraded NukePack
[31:939] wydjaz Placed/Upgraded NukePack
[32:328] wydjaz Placed/Upgraded AutoTurret
[34:695] wydjaz Unlocked AdvancedEnergySuit
[34:696] wydjaz Unlocked EnergySuit
[34:696] wydjaz Unlocked AdvancedEnergySuit
[35:042] wydjaz Unlocked QuantumBackpack
[35:124] wydjaz Unlocked OpticalVisor
[35:249] wydjaz Unlocked CombatShield
[00:588] Baal Unlocked AssaultRifle
[00:796] Baal Unlocked AdvancedDroidEngines
[01:000] Baal Placed/Upgraded MiningDroid
[03:461] Baal Unlocked BeamRifle
[05:965] Baal Unlocked TurboDroidEngines
[06:956] Baal Unlocked Stimpack
[08:669] Baal Unlocked SpecOpsPlasmaRifle
[08:754] Baal Unlocked PlasmaRifleMod3
[09:729] Baal Unlocked BioMechanicalRepairDrone
[09:750] Baal Unlocked SpecOpsBioMechanicalRepairDrone
[09:925] Baal Placed/Upgraded HealingDrone
[13:666] Baal Unlocked CombatSuit
[13:674] Baal Unlocked AdvancedCombatSuit
[14:126] Baal Placed/Upgraded HealingDrone
[14:626] Baal Unlocked MotionSensor
[14:705] Baal Placed/Upgraded SensorTower
[14:921] Baal Placed/Upgraded HealingDrone
[15:099] Baal Placed/Upgraded HealingDrone
[15:877] Baal Placed/Upgraded HealingDrone
[16:118] Baal Unlocked FragGrenade
[16:129] Baal Unlocked SpecOpsFragGrenade
[17:234] Baal Unlocked MedicShield
[17:267] Baal Unlocked EnergyPack
[17:379] Baal Unlocked AIAssistant
[18:142] Baal Unlocked Teleporter
[18:877] Baal Placed/Upgraded SensorTower
[19:233] Baal Unlocked SpecOpsTeleporter
