Analyzed: Oh No It's Zombies Arctic Updated (536)

ID : 0 PlayerName: Gafe Race: Terran
ID : 1 PlayerName: BuildAWall Race: Terran
ID : 2 PlayerName: Casual Race: Terran
ID : 3 PlayerName: GDP Race: Terran
ID : 4 PlayerName: dreamer Race: Terran
ID : 5 PlayerName: Diveyoc Race: Terran
ID : 6 PlayerName: Frosky Race: Zerg
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Win
Public Lobby

Game Length:[40:763]
Players ammount: 8
Marine rank avg: 11,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:588] Gafe Unlocked AssaultRifle
[00:667] Gafe Placed/Upgraded MiningDroid
[03:113] Gafe Unlocked AdvancedDroidEngines
[05:099] Gafe Unlocked FragGrenade
[05:110] Gafe Unlocked SpecOpsFragGrenade
[08:117] Gafe Unlocked Stimpack
[08:557] Gafe Unlocked EnergySuit
[08:558] Gafe Unlocked EnergySuit
[11:043] Gafe Unlocked SpecOpsAssaultRifle
[12:045] Gafe Unlocked AutoTargetingSystem
[13:152] Gafe Unlocked AdvancedEnergySuit
[13:153] Gafe Unlocked EnergySuit
[13:153] Gafe Unlocked AdvancedEnergySuit
[15:035] Gafe Unlocked MedicShield
[18:011] Gafe Unlocked PsiDisrupter
[18:059] Gafe Unlocked SpecOpsPsiDisruptor
[19:673] Gafe Unlocked PowerConverter
[19:683] Gafe Unlocked SpecOpsPowerConverter
[22:083] Gafe Placed/Upgraded PsiIndoctrinator
[23:400] Gafe Placed/Upgraded MiningDroid
[24:918] Gafe Placed/Upgraded PsiIndoctrinator
[00:588] BuildAWall Unlocked AssaultRifle
[00:680] BuildAWall Placed/Upgraded MiningDroid
[01:046] BuildAWall Unlocked Shotgun
[02:781] BuildAWall Unlocked Stimpack
[05:564] BuildAWall Unlocked SpecOpsShotgun
[07:344] BuildAWall Unlocked Shieldsiotunlocked
[08:237] BuildAWall Placed/Upgraded MiningDroid
[08:558] BuildAWall Bought ShieldSuit
[08:558] BuildAWall Bought CombatSuit
[08:558] BuildAWall Bought HazmatSuit
[10:492] BuildAWall Unlocked AdvancedShieldSuit
[11:197] BuildAWall Unlocked BioMechanicalRepairDrone
[12:278] BuildAWall Unlocked CombatShield
[13:712] BuildAWall Unlocked AdvancedDroidEngines
[15:278] BuildAWall Unlocked CloakingDevice
[16:005] BuildAWall Unlocked OpticalVisor
[18:104] BuildAWall Unlocked TurboDroidEngines
[19:252] BuildAWall Unlocked IncendiaryGrenade
[19:264] BuildAWall Unlocked SpecOpsIncendiaryGrenade
[21:308] BuildAWall Placed/Upgraded HealingDrone
[21:479] BuildAWall Placed/Upgraded HealingDrone
[33:850] BuildAWall Placed/Upgraded HealingDrone
[34:777] BuildAWall Unlocked SpecOpsCloakingDevice
[35:399] BuildAWall Placed/Upgraded HealingDrone
[35:739] BuildAWall Placed/Upgraded HealingDrone
[37:024] BuildAWall Placed/Upgraded HealingDrone
[39:086] BuildAWall Placed/Upgraded HealingDrone
[39:323] BuildAWall Placed/Upgraded HealingDrone
[00:588] Casual Unlocked AssaultRifle
[01:307] Casual Unlocked HellfireRocketLauncher
[01:371] Casual Unlocked SpecOpsHellfireRocketLauncher
[04:242] Casual Placed/Upgraded MiningDroid
[07:345] Casual Bought ShieldSuit
[07:345] Casual Bought CombatSuit
[07:345] Casual Bought HazmatSuit
[07:345] Casual Bought ShieldSuit
[09:837] Casual Placed/Upgraded MiningDroid
[10:493] Casual Bought ShieldSuit
[11:263] Casual Unlocked ShockwaveMissiles
[13:106] Casual Unlocked CombatSuit
[16:781] Casual Unlocked BioMechanicalRepairDrone
[16:815] Casual Placed/Upgraded HealingDrone
[17:236] Casual Placed/Upgraded HealingDrone
[17:319] Casual Unlocked AdvancedCombatSuit
[17:545] Casual Placed/Upgraded HealingDrone
[18:203] Casual Unlocked AIAssistant
[00:588] GDP Unlocked AssaultRifle
[00:712] GDP Placed/Upgraded MiningDroid
[00:777] GDP Unlocked BeamRifle
[04:479] GDP Unlocked FragGrenade
[04:489] GDP Unlocked SpecOpsFragGrenade
[04:983] GDP Unlocked QuantumBackpack
[06:291] GDP Unlocked AIAssistant
[08:127] GDP Unlocked CombatShield
[09:969] GDP Unlocked SpecOpsPlasmaRifle
[13:107] GDP Bought ShieldSuit
[13:107] GDP Bought CombatSuit
[13:107] GDP Bought HazmatSuit
[13:107] GDP Bought CombatSuit
[13:928] GDP Unlocked PowerConverter
[13:948] GDP Unlocked SpecOpsPowerConverter
[14:640] GDP Unlocked MotionSensor
[15:625] GDP Placed/Upgraded SensorTower
[16:760] GDP Unlocked PsiDisrupter
[17:320] GDP Bought CombatSuit
[17:877] GDP Placed/Upgraded PsiIndoctrinator
[20:755] GDP Placed/Upgraded MiningDroid
[22:133] GDP Placed/Upgraded PsiIndoctrinator
[25:645] GDP Unlocked CorrosivePlasma
[31:506] GDP Unlocked BioMechanicalRepairDrone
[33:275] GDP Placed/Upgraded HealingDrone
[00:588] dreamer Unlocked AssaultRifle
[01:371] dreamer Placed/Upgraded MiningDroid
[01:602] dreamer Unlocked FragGrenade
[02:637] dreamer Unlocked SpecOpsFragGrenade
[04:350] dreamer Unlocked AdvancedDroidEngines
[06:071] dreamer Unlocked Stimpack
[07:179] dreamer Unlocked ExplorationDroid
[07:774] dreamer Placed/Upgraded ExplorationDroid
[08:911] dreamer Placed/Upgraded MiningDroid
[14:328] dreamer Unlocked BeamRifle
[16:005] dreamer Unlocked SpecOpsPlasmaRifle
[19:992] dreamer Unlocked EnergySuit
[19:993] dreamer Unlocked EnergySuit
[20:001] dreamer Unlocked AdvancedEnergySuit
[20:002] dreamer Unlocked EnergySuit
[20:002] dreamer Unlocked AdvancedEnergySuit
[20:250] dreamer Unlocked MedicShield
[20:263] dreamer Unlocked EnergyPack
[20:271] dreamer Unlocked AIAssistant
[21:993] dreamer Placed/Upgraded MiningDroid
[23:382] dreamer Unlocked LongRangeScope
[00:588] Diveyoc Unlocked AssaultRifle
[01:259] Diveyoc Unlocked Stimpack
[03:194] Diveyoc Unlocked PsiDisrupter
[03:225] Diveyoc Unlocked SpecOpsPsiDisruptor
[04:373] Diveyoc Placed/Upgraded PsiIndoctrinator
[07:794] Diveyoc Placed/Upgraded PsiIndoctrinator
[09:312] Diveyoc Placed/Upgraded MiningDroid
[09:395] Diveyoc Unlocked AdvancedDroidEngines
[10:526] Diveyoc Unlocked MedicShield
[11:784] Diveyoc Unlocked Shieldsiotunlocked
[12:790] Diveyoc Unlocked AdvancedShieldSuit
[14:955] Diveyoc Unlocked HellfireRocketLauncher
[17:867] Diveyoc Unlocked SpecOpsHellfireRocketLauncher
[17:912] Diveyoc Unlocked RocketLauncherMod1
[19:993] Diveyoc Bought ShieldSuit
[19:993] Diveyoc Bought CombatSuit
[19:993] Diveyoc Bought HazmatSuit
[27:577] Diveyoc Placed/Upgraded PsiIndoctrinator
