Analyzed: Oh No It's Zombies Arctic Updated (538)

ID : 0 PlayerName: Shiev Race: Terran
ID : 1 PlayerName: GalopinGhost Race: Terran
ID : 2 PlayerName: CallMePala Race: Terran
ID : 3 PlayerName: Sandoken Race: Terran
ID : 4 PlayerName: Mark Race: Zerg
ID : 5 PlayerName: Unknown Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Mark Zombie Loss
Public Lobby

Game Length:[37:808]
Players ammount: 8
Marine rank avg: 3,6666666666666665
GrandMaster ammount: 1
PURCHASES: 
[00:588] Shiev Unlocked AssaultRifle
[00:667] Shiev Placed/Upgraded MiningDroid
[04:129] Shiev Unlocked AdvancedDroidEngines
[07:164] Shiev Unlocked TurboDroidEngines
[07:302] Shiev Unlocked Shotgun
[10:336] Shiev Unlocked SpecOpsShotgun
[10:371] Shiev Unlocked HighPrecisionBeams
[11:747] Shiev Unlocked OverloadWeapon
[12:752] Shiev Unlocked CombatShield
[14:836] Shiev Unlocked BioMechanicalRepairDrone
[14:847] Shiev Unlocked SpecOpsBioMechanicalRepairDrone
[15:295] Shiev Placed/Upgraded HealingDrone
[16:076] Shiev Placed/Upgraded HealingDrone
[16:903] Shiev Unlocked HazmatSuit
[16:915] Shiev Unlocked AdvancedHazmatSuit
[16:997] Shiev Unlocked EnergyPack
[17:824] Shiev Placed/Upgraded HealingDrone
[24:686] Shiev Unlocked SuperHealingDrone
[24:705] Shiev Unlocked SpecOpsSuperHealingDrone
[26:372] Shiev Placed/Upgraded HealingDrone
[26:662] Shiev Placed/Upgraded HealingDrone
[27:487] Shiev Unlocked MiningCharge
[27:500] Shiev Unlocked AdvancedMiningCharge
[28:067] Shiev Placed/Upgraded NukePack
[29:726] Shiev Placed/Upgraded NukePack
[30:553] Shiev Placed/Upgraded NukePack
[30:746] Shiev Placed/Upgraded HealingDrone
[31:311] Shiev Placed/Upgraded HealingDrone
[32:122] Shiev Placed/Upgraded HealingDrone
[34:769] Shiev Placed/Upgraded HealingDrone
[00:588] GalopinGhost Unlocked AssaultRifle
[00:671] GalopinGhost Placed/Upgraded MiningDroid
[02:647] GalopinGhost Unlocked AdvancedDroidEngines
[03:867] GalopinGhost Unlocked Stimpack
[06:863] GalopinGhost Unlocked TurboDroidEngines
[10:038] GalopinGhost Unlocked Shotgun
[10:067] GalopinGhost Unlocked SpecOpsShotgun
[12:098] GalopinGhost Unlocked HighPrecisionBeams
[12:315] GalopinGhost Unlocked HazmatSuit
[14:688] GalopinGhost Unlocked AdvancedHazmatSuit
[16:904] GalopinGhost Bought ShieldSuit
[16:904] GalopinGhost Bought CombatSuit
[16:904] GalopinGhost Bought HazmatSuit
[16:904] GalopinGhost Bought HazmatSuit
[16:915] GalopinGhost Unlocked FragGrenade
[16:916] GalopinGhost Bought HazmatSuit
[16:938] GalopinGhost Unlocked SpecOpsFragGrenade
[20:651] GalopinGhost Unlocked BioMechanicalRepairDrone
[20:669] GalopinGhost Unlocked SpecOpsBioMechanicalRepairDrone
[20:870] GalopinGhost Unlocked CombatShield
[21:705] GalopinGhost Placed/Upgraded HealingDrone
[23:111] GalopinGhost Placed/Upgraded HealingDrone
[23:904] GalopinGhost Unlocked CloakingDevice
[23:925] GalopinGhost Unlocked SpecOpsCloakingDevice
[24:005] GalopinGhost Unlocked AutoTurret
[24:044] GalopinGhost Unlocked FlameTurret
[24:403] GalopinGhost Placed/Upgraded AutoTurret
[24:616] GalopinGhost Placed/Upgraded AutoTurret
[24:925] GalopinGhost Placed/Upgraded AutoTurret
[29:335] GalopinGhost Placed/Upgraded AutoTurret
[30:037] GalopinGhost Placed/Upgraded AutoTurret
[30:699] GalopinGhost Placed/Upgraded AutoTurret
[31:564] GalopinGhost Unlocked MiningCharge
[31:577] GalopinGhost Unlocked AdvancedMiningCharge
[31:880] GalopinGhost Placed/Upgraded NukePack
[32:947] GalopinGhost Placed/Upgraded NukePack
[35:381] GalopinGhost Placed/Upgraded NukePack
[36:507] GalopinGhost Placed/Upgraded AutoTurret
[36:716] GalopinGhost Placed/Upgraded AutoTurret
[00:588] CallMePala Unlocked AssaultRifle
[00:775] CallMePala Placed/Upgraded MiningDroid
[00:944] CallMePala Unlocked BeamRifle
[04:776] CallMePala Unlocked SpecOpsPlasmaRifle
[05:819] CallMePala Unlocked LongRangeScope
[07:283] CallMePala Unlocked OverloadWeapon
[07:613] CallMePala Unlocked ForceFieldGrenade
[08:351] CallMePala Unlocked CombatSuit
[12:316] CallMePala Bought ShieldSuit
[12:316] CallMePala Bought CombatSuit
[12:316] CallMePala Bought HazmatSuit
[12:316] CallMePala Bought HazmatSuit
[13:706] CallMePala Unlocked ExplorationDroid
[13:749] CallMePala Placed/Upgraded ExplorationDroid
[14:691] CallMePala Bought HazmatSuit
[20:044] CallMePala Unlocked Shieldsiotunlocked
[20:112] CallMePala Unlocked Flamethrower
[20:133] CallMePala Unlocked SpecOpsFlamethrower
[24:205] CallMePala Unlocked CombatShield
[25:050] CallMePala Placed/Upgraded ExplorationDroid
[26:111] CallMePala Unlocked HazmatSuit
[26:208] CallMePala Unlocked AdvancedShieldSuit
[27:611] CallMePala Unlocked CryoFreeze
[30:553] CallMePala Unlocked SuperStimpack
[30:571] CallMePala Unlocked SpecOpsSuperStimpack
[33:785] CallMePala Unlocked BioMechanicalRepairDrone
[35:488] CallMePala Unlocked Stimpack
[00:588] Sandoken Unlocked AssaultRifle
[00:667] Sandoken Placed MiningDroid
[00:863] Sandoken Unlocked AdvancedDroidEngines
[05:658] Sandoken Unlocked BeamRifle
[06:799] Sandoken Unlocked TurboDroidEngines
[08:352] Sandoken Bought ShieldSuit
[08:352] Sandoken Bought CombatSuit
[08:352] Sandoken Bought HazmatSuit
[08:352] Sandoken Bought CombatSuit
[08:563] Sandoken Unlocked SpecOpsPlasmaRifle
[08:930] Sandoken Unlocked LongRangeScope
[11:612] Sandoken Unlocked CombatSuit
[11:620] Sandoken Unlocked AdvancedCombatSuit
[11:738] Sandoken Unlocked CombatShield
[11:815] Sandoken Unlocked FragGrenade
[12:467] Sandoken Unlocked HazmatSuit
[15:564] Sandoken Unlocked PsiDisrupter
[15:579] Sandoken Unlocked SpecOpsPsiDisruptor
[15:656] Sandoken Placed PsiIndoctrinator
[15:730] Sandoken Unlocked BioMechanicalRepairDrone
[15:759] Sandoken Unlocked SpecOpsBioMechanicalRepairDrone
[16:841] Sandoken Placed HealingDrone
[16:963] Sandoken Unlocked SpecOpsFragGrenade
[17:883] Sandoken Placed HealingDrone
[18:270] Sandoken Placed HealingDrone
[19:513] Sandoken Placed HealingDrone
[20:041] Sandoken Unlocked QuantumBackpack
[20:045] Sandoken Bought ShieldSuit
[20:045] Sandoken Bought CombatSuit
[20:045] Sandoken Bought HazmatSuit
[20:045] Sandoken Bought ShieldSuit
[20:073] Sandoken Unlocked EnergyPack
[21:161] Sandoken Placed PsiIndoctrinator
[21:554] Sandoken Placed HealingDrone
[26:112] Sandoken Bought ShieldSuit
[26:112] Sandoken Bought CombatSuit
[26:112] Sandoken Bought HazmatSuit
[26:112] Sandoken Bought HazmatSuit
[26:181] Sandoken Bought ShieldSuit
[26:181] Sandoken Bought CombatSuit
[26:181] Sandoken Bought HazmatSuit
[26:181] Sandoken Bought ShieldSuit
[26:209] Sandoken Bought ShieldSuit
[28:698] Sandoken Unlocked OverloadWeapon
[28:871] Sandoken Unlocked OpticalVisor
[28:937] Sandoken Unlocked Teleporter
[28:944] Sandoken Unlocked SpecOpsTeleporter
[29:043] Sandoken Unlocked MiningCharge
[29:074] Sandoken Unlocked AdvancedMiningCharge
[29:495] Sandoken Placed HealingDrone
[30:337] Sandoken Placed HealingDrone
[31:469] Sandoken Unlocked AdvancedHazmatSuit
[32:512] Sandoken Placed HealingDrone
[33:624] Sandoken Placed HealingDrone
[35:318] Sandoken Placed HealingDrone
[35:504] Sandoken Placed NukePack
[00:552] Mark Bought PlayerNumber
[02:440] Mark Spawned MassiveCocoon
[02:828] Mark Placed/Upgraded PrimalSunkenColony
