Analyzed: Oh No It's Zombies Arctic Updated (540)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: RammusSaidOK Race: Terran
ID : 2 PlayerName: Isoton Race: Terran
ID : 3 PlayerName: Puppetmaker Race: Terran
ID : 4 PlayerName: tassadar Race: Terran
ID : 5 PlayerName: Kirby Race: Terran
ID : 6 PlayerName: DeadlyNexusX Race: Terran
ID : 7 PlayerName: Security Race: 
Frosky Zombie Win
Public Lobby

Game Length:[28:656]
Players ammount: 8
Marine rank avg: 6,5
GrandMaster ammount: 1
PURCHASES: 
[01:887] Frosky Spawned MassiveCocoon
[03:327] Frosky Spawned Hunter
[03:792] Frosky Spawned MassiveCocoon
[05:232] Frosky Spawned Hunter
[07:974] Frosky Placed/Upgraded ToxicNest
[07:977] Frosky Placed/Upgraded ToxicNest
[07:984] Frosky Placed/Upgraded ToxicNest
[08:043] Frosky Placed/Upgraded PrimalSunkenColony
[08:044] Frosky Bought SunkenColony
[09:610] Frosky Placed/Upgraded ToxicNest
[09:619] Frosky Placed/Upgraded ToxicNest
[09:796] Frosky Spawned MassiveCocoon
[09:820] Frosky Bought CreepSpeed
[10:153] Frosky Bought SunkenColony
[11:236] Frosky Spawned PrimalTownHallUprooted
[11:791] Frosky Placed/Upgraded ToxicNest
[11:809] Frosky Placed/Upgraded ToxicNest
[12:534] Frosky Bought CreepSpeed
[13:634] Frosky Bought BuildExtractorScienceLabs
[13:634] Frosky Placed/Upgraded AutomatedExtractor
[14:253] Frosky Bought AdvancedInfestationSecurity
[14:276] Frosky Bought TrackHumans
[15:826] Frosky Bought UnlockDropPods
[15:832] Frosky Bought EvolveDropPods
[15:834] Frosky Bought EvolveDropPods
[15:839] Frosky Bought EvolveDropPods
[16:626] Frosky Placed/Upgraded Virophage
[18:734] Frosky Bought EvolveDropPods
[18:736] Frosky Bought EvolveDropPods
[18:749] Frosky Bought EvolveDropPods
[20:834] Frosky Bought StrainSpeed
[21:803] Frosky Bought DropshipsFueled
[22:050] Frosky Bought PureStrainSpeed
[22:073] Frosky Bought HunterlingStrain
[22:216] Frosky Bought UltimateInfestationResearched
[22:355] Frosky Bought GreaterNydus
[23:164] Frosky Bought GreaterNydus
[23:261] Frosky Bought StrainSpeed
[23:510] Frosky Bought GreaterNydus
[23:518] Frosky Bought GreaterNydus
[24:175] Frosky Bought PureStrainSpeed
[24:218] Frosky Placed/Upgraded NydusCanalCreeper
[25:147] Frosky Spawned MassiveCocoon
[25:574] Frosky Bought StrainVolatile
[26:227] Frosky Spawned Underseer
[26:586] Frosky Bought VirulentCreep
[27:636] Frosky Placed/Upgraded NydusCanalCreeper
[00:588] RammusSaidOK Unlocked AssaultRifle
[00:667] RammusSaidOK Placed/Upgraded MiningDroid
[00:834] RammusSaidOK Unlocked SpecOpsAssaultRifle
[03:538] RammusSaidOK Unlocked AdvancedDroidEngines
