Analyzed: Oh No It's Zombies Arctic Updated (541)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Isoton Race: Terran
ID : 2 PlayerName: shadowstorm Race: Terran
ID : 3 PlayerName: Ascherit Race: Zerg
ID : 4 PlayerName: BlueMorpho Race: Terran
ID : 5 PlayerName: stevo Race: Terran
ID : 6 PlayerName: dreamer Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Ascherit Zombie Win
Public Lobby

Game Length:[19:524]
Players ammount: 8
Marine rank avg: 10,5
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:715] Frosky Placed/Upgraded MiningDroid
[01:070] Frosky Unlocked Shotgun
[03:161] Frosky Unlocked SpecOpsShotgun
[04:563] Frosky Unlocked AdvancedDroidEngines
[06:961] Frosky Unlocked ArcWelder
[00:588] Isoton Unlocked AssaultRifle
[01:024] Isoton Unlocked HellfireRocketLauncher
[01:538] Isoton Placed/Upgraded MiningDroid
[08:862] Isoton Unlocked SpecOpsHellfireRocketLauncher
[08:923] Isoton Unlocked ShockwaveMissiles
[15:456] Isoton Placed/Upgraded MiningDroid
[16:372] Isoton Unlocked Shieldsiotunlocked
[18:505] Isoton Unlocked AdvancedShieldSuit
[00:588] shadowstorm Unlocked AssaultRifle
[01:581] shadowstorm Placed MiningDroid
[05:639] shadowstorm Unlocked AutoTurret
[05:897] shadowstorm Unlocked FlameTurret
[06:044] shadowstorm Unlocked Stimpack
[06:300] shadowstorm Placed AutoTurret
[08:401] shadowstorm Placed AutoTurret
[10:446] shadowstorm Unlocked MedicShield
[10:994] shadowstorm Placed AutoTurret
[16:373] shadowstorm Bought ShieldSuit
[16:373] shadowstorm Bought CombatSuit
[16:373] shadowstorm Bought HazmatSuit
[16:373] shadowstorm Bought ShieldSuit
[18:506] shadowstorm Bought ShieldSuit
[00:552] Ascherit Bought PlayerNumber
[00:721] Ascherit Spawned MassiveCocoon
[01:286] Ascherit Placed/Upgraded PrimalSunkenColony
[01:287] Ascherit Bought SunkenColony
[02:161] Ascherit Spawned Hunter
[02:757] Ascherit Placed/Upgraded ToxicNest
[02:763] Ascherit Placed/Upgraded ToxicNest
[02:765] Ascherit Placed/Upgraded ToxicNest
[02:851] Ascherit Placed/Upgraded PrimalSunkenColony
[02:852] Ascherit Bought SunkenColony
[03:942] Ascherit Placed/Upgraded ToxicNest
[03:942] Ascherit Placed/Upgraded ToxicNest
[04:408] Ascherit Bought SunkenColony
