Analyzed: Oh No It's Zombies Arctic Updated (542)

ID : 0 PlayerName: Zepherd Race: Terran
ID : 1 PlayerName: stevo Race: Zerg
ID : 2 PlayerName: dreamer Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Ascherit Race: Terran
ID : 5 PlayerName: Isoton Race: Terran
ID : 6 PlayerName: cheese Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
stevo Zombie Loss
Private Lobby

Game Length:[38:028]
Players ammount: 8
Marine rank avg: 14,666666666666666
GrandMaster ammount: 4
PURCHASES: 
[00:588] Zepherd Unlocked AssaultRifle
[00:813] Zepherd Unlocked AdvancedDroidEngines
[00:937] Zepherd Placed MiningDroid
[02:936] Zepherd Unlocked SuperStimpack
[04:518] Zepherd Unlocked TurboDroidEngines
[06:982] Zepherd Unlocked SpecOpsAssaultRifle
[08:173] Zepherd Unlocked TitaniumBulletCasings
[09:039] Zepherd Unlocked Stimpack
[12:965] Zepherd Unlocked SpecOpsSuperStimpack
[13:028] Zepherd Unlocked MedicShield
[15:645] Zepherd Unlocked AutoTurret
[15:664] Zepherd Unlocked HeavyTurret
[16:184] Zepherd Placed AutoTurret
[18:168] Zepherd Placed AutoTurret
[18:485] Zepherd Placed AutoTurret
[19:608] Zepherd Unlocked HazmatSuit
[19:618] Zepherd Unlocked AdvancedHazmatSuit
[19:693] Zepherd Unlocked QuantumBackpack
[21:764] Zepherd Placed AutoTurret
[21:972] Zepherd Placed AutoTurret
[22:586] Zepherd Placed AutoTurret
[22:800] Zepherd Placed AutoTurret
[24:110] Zepherd Unlocked FlashBang
[24:120] Zepherd Unlocked SpecOpsFlashbang
[24:182] Zepherd Unlocked MiningCharge
[24:194] Zepherd Unlocked AdvancedMiningCharge
[26:261] Zepherd Placed AutoTurret
[27:044] Zepherd Placed AutoTurret
[27:807] Zepherd Placed AutoTurret
[29:091] Zepherd Placed NukePack
[29:271] Zepherd Placed NukePack
[29:413] Zepherd Placed AutoTurret
[30:084] Zepherd Placed AutoTurret
[31:174] Zepherd Placed NukePack
[31:437] Zepherd Placed AutoTurret
[31:934] Zepherd Placed AutoTurret
[32:572] Zepherd Placed AutoTurret
[00:552] stevo Bought PlayerNumber
[00:700] stevo Bought StrainHealth
[04:559] stevo Bought UnlockDropPods
[05:480] stevo Bought EvolveDropPods
[06:196] stevo Bought EvolveDropPods
[06:976] stevo Bought EvolveDropPods
[07:971] stevo Bought EvolveDropPods
[09:335] stevo Bought EvolveDropPods
[09:340] stevo Bought EvolveDropPods
[11:458] stevo Spawned MassiveCocoon
[12:894] stevo Placed/Upgraded PrimalSunkenColony
[12:895] stevo Bought SunkenColony
[13:134] stevo Bought SunkenColony
[13:134] stevo Placed/Upgraded PrimalSunkenColony
[13:400] stevo Placed/Upgraded Virophage
[15:167] stevo Bought BuildExtractorExcavationZone
[15:167] stevo Placed/Upgraded AutomatedExtractor
[15:430] stevo Bought BuildExtractorProcessingFacilities
[15:430] stevo Placed/Upgraded AutomatedExtractor
[15:750] stevo Placed/Upgraded PrimalSunkenColony
[15:751] stevo Bought SunkenColony
[16:215] stevo Placed/Upgraded LesserNydusWorm
[16:216] stevo Bought GreaterNydus
[16:298] stevo Bought SunkenColony
[16:611] stevo Bought ExtractorCostReductionProcessingFacilities
[16:611] stevo Bought BuildExtractorProcessingFacilities
[16:805] stevo Bought CreepSpeed
[17:676] stevo Bought SunkenColony
[17:677] stevo Placed/Upgraded PrimalSunkenColony
[17:678] stevo Bought SunkenColony
[18:140] stevo Bought VirulentCreep
[18:140] stevo Bought VirulentCreep
[18:302] stevo Bought SunkenColony
[18:309] stevo Bought SunkenColony
[19:105] stevo Placed/Upgraded PrimalSunkenColony
[19:106] stevo Bought SunkenColony
[19:609] stevo Bought ShieldSuit
[19:609] stevo Bought CombatSuit
[19:609] stevo Bought HazmatSuit
[19:609] stevo Bought HazmatSuit
[19:619] stevo Bought HazmatSuit
[20:226] stevo Bought ConstructiveCreep
[20:338] stevo Placed/Upgraded NydusCanalCreeper
[20:754] stevo Placed/Upgraded LesserNydusWorm
[20:755] stevo Bought GreaterNydus
[21:060] stevo Placed/Upgraded NydusCanalCreeper
[21:231] stevo Placed/Upgraded LesserNydusWorm
[21:232] stevo Bought GreaterNydus
[21:585] stevo Bought AdvancedPowerInfestation
[21:615] stevo Bought GreaterNydus
[21:813] stevo Bought SunkenColony
[21:977] stevo Placed/Upgraded PrimalSunkenColony
[21:978] stevo Bought SunkenColony
[22:885] stevo Bought SunkenColony
[22:962] stevo Bought BuildExtractorExcavationZone
[22:990] stevo Placed/Upgraded PrimalSunkenColony
[22:991] stevo Bought SunkenColony
[23:105] stevo Bought SiphonFuel
[23:641] stevo Placed/Upgraded PrimalSunkenColony
[23:642] stevo Bought SunkenColony
[23:744] stevo Bought AdvancedInfestationContainment
[23:962] stevo Bought GreaterNydus
[24:930] stevo Bought BuildExtractorExcavationZone
[24:930] stevo Placed/Upgraded AutomatedExtractor
[24:981] stevo Placed/Upgraded Virophage
[25:043] stevo Bought BuildExtractorProcessingFacilities
[25:043] stevo Placed/Upgraded AutomatedExtractor
[25:351] stevo Placed/Upgraded NydusCanalCreeper
[25:400] stevo Bought PureStrainHealth
[26:173] stevo Bought SiphonFuel
[26:904] stevo Bought StrainVolatile
[27:148] stevo Placed/Upgraded PrimalSunkenColony
[27:149] stevo Bought SunkenColony
[27:975] stevo Bought ConstructiveCreep
[28:326] stevo Placed/Upgraded LesserNydusWorm
[28:327] stevo Bought GreaterNydus
[28:606] stevo Bought DropshipsFueled
[28:958] stevo Bought UltimateInfestationResearched
[29:043] stevo Bought PureStrainVolatile
[29:050] stevo Bought KaboomerStrain
[29:062] stevo Bought TankStrain
[29:076] stevo Bought StrainSpeed
[29:098] stevo Bought StrainSpeed
[29:100] stevo Bought StrainSpeed
[29:160] stevo Placed/Upgraded LesserNydusWorm
[29:161] stevo Bought GreaterNydus
[29:241] stevo Placed/Upgraded NydusCanalCreeper
[29:451] stevo Bought GreaterNydus
[30:146] stevo Placed/Upgraded LesserNydusWorm
[30:147] stevo Bought GreaterNydus
[31:366] stevo Bought SunkenColony
[31:470] stevo Placed/Upgraded PrimalSunkenColony
[31:471] stevo Bought SunkenColony
[31:669] stevo Bought SunkenColony
[31:932] stevo Bought PureStrainSpeed
[32:301] stevo Placed/Upgraded PrimalSunkenColony
[32:302] stevo Bought SunkenColony
[32:699] stevo Bought GreaterNydus
[32:911] stevo Placed/Upgraded LesserNydusWorm
[32:912] stevo Bought GreaterNydus
[33:082] stevo Placed/Upgraded NydusCanalCreeper
[34:351] stevo Spawned MassiveCocoon
[34:611] stevo Placed/Upgraded LesserNydusWorm
[34:612] stevo Bought GreaterNydus
[34:958] stevo Bought HunterlingStrain
[35:431] stevo Spawned Underseer
[35:736] stevo Bought SunkenColony
[35:736] stevo Placed/Upgraded PrimalSunkenColony
[36:030] stevo Bought SunkenColony
[00:588] dreamer Unlocked AssaultRifle
[00:857] dreamer Placed/Upgraded MiningDroid
[01:075] dreamer Unlocked Stimpack
[02:183] dreamer Unlocked FragGrenade
[03:535] dreamer Unlocked SpecOpsFragGrenade
[04:478] dreamer Unlocked MedicShield
[04:711] dreamer Unlocked QuantumBackpack
[08:895] dreamer Unlocked SpecOpsAssaultRifle
[10:375] dreamer Unlocked AdvancedDroidEngines
[13:859] dreamer Unlocked ExplorationDroid
[13:896] dreamer Placed/Upgraded ExplorationDroid
[13:998] dreamer Placed/Upgraded ExplorationDroid
[15:882] dreamer Unlocked Bayonette
[16:962] dreamer Unlocked AutoTurret
[17:028] dreamer Unlocked FlameTurret
[18:093] dreamer Placed/Upgraded AutoTurret
[18:986] dreamer Unlocked EnergySuit
[18:987] dreamer Unlocked EnergySuit
[21:151] dreamer Placed/Upgraded AutoTurret
[21:856] dreamer Unlocked AdvancedEnergySuit
[21:857] dreamer Unlocked EnergySuit
[21:857] dreamer Unlocked AdvancedEnergySuit
[21:954] dreamer Unlocked OpticalVisor
[24:130] dreamer Unlocked SuperStimpack
[26:232] dreamer Placed/Upgraded AutoTurret
[27:070] dreamer Placed/Upgraded AutoTurret
[27:345] dreamer Placed/Upgraded MiningDroid
[29:671] dreamer Unlocked MiningCharge
[29:682] dreamer Unlocked AdvancedMiningCharge
[29:827] dreamer Placed/Upgraded NukePack
[32:268] dreamer Placed/Upgraded AutoTurret
[34:012] dreamer Placed/Upgraded NukePack
[34:103] dreamer Placed/Upgraded AutoTurret
[35:214] dreamer Placed/Upgraded AutoTurret
[36:122] dreamer Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:701] Frosky Unlocked Shotgun
[03:093] Frosky Unlocked AdvancedDroidEngines
