Analyzed: Oh No It's Zombies Arctic Updated (546)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Yello Race: Terran
ID : 2 PlayerName: Zepherd Race: Terran
ID : 3 PlayerName: ZehN Race: Terran
ID : 4 PlayerName: Casual Race: Terran
ID : 5 PlayerName: Sojourne Race: Terran
ID : 6 PlayerName: Blueberry Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Win
Public Lobby

Game Length:[27:506]
Players ammount: 8
Marine rank avg: 13,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:993] Frosky Spawned MassiveCocoon
[02:433] Frosky Spawned Hunter
[03:901] Frosky Spawned MassiveCocoon
[05:341] Frosky Spawned Hunter
[06:928] Frosky Placed/Upgraded ToxicNest
[06:929] Frosky Placed/Upgraded ToxicNest
[06:947] Frosky Placed/Upgraded ToxicNest
[07:808] Frosky Spawned MassiveCocoon
[09:248] Frosky Spawned PrimalTownHallUprooted
[11:315] Frosky Bought CreepSpeed
[12:770] Frosky Placed/Upgraded ToxicNest
[12:778] Frosky Placed/Upgraded ToxicNest
[12:800] Frosky Placed/Upgraded ToxicNest
[14:718] Frosky Placed/Upgraded PrimalSunkenColony
[14:719] Frosky Bought SunkenColony
[14:772] Frosky Bought CreepSpeed
[17:095] Frosky Bought UnlockDropPods
[19:000] Frosky Bought SunkenColony
[19:550] Frosky Bought VirulentCreep
[21:088] Frosky Bought EvolveDropPods
[22:001] Frosky Bought AdvancedInfestationContainment
[23:396] Frosky Placed/Upgraded NydusCanalCreeper
[23:948] Frosky Bought DropshipsFueled
[24:034] Frosky Spawned RoyalCocoon
[24:034] Frosky Bought SpawnHiveQueen
[24:034] Frosky Bought UltimateInfestationResearched
[24:753] Frosky Spawned QueenCoop
[25:161] Frosky Bought EvolveDropPods
[25:162] Frosky Bought EvolveDropPods
[25:165] Frosky Bought EvolveDropPods
[25:169] Frosky Bought EvolveDropPods
[25:172] Frosky Bought EvolveDropPods
[00:588] Yello Unlocked AssaultRifle
[00:737] Yello Placed/Upgraded MiningDroid
[00:804] Yello Unlocked Stimpack
[03:438] Yello Unlocked AdvancedDroidEngines
[05:546] Yello Unlocked MotionSensor
[05:812] Yello Placed/Upgraded SensorTower
[06:853] Yello Placed/Upgraded SensorTower
[07:675] Yello Placed/Upgraded SensorTower
[08:446] Yello Unlocked BeamRifle
[08:965] Yello Placed/Upgraded SensorTower
[11:069] Yello Unlocked SpecOpsPlasmaRifle
[11:779] Yello Unlocked CorrosivePlasma
[12:490] Yello Unlocked BioMechanicalRepairDrone
[13:361] Yello Placed/Upgraded HealingDrone
[13:461] Yello Placed/Upgraded SensorTower
[15:406] Yello Unlocked HazmatSuit
[15:407] Yello Unlocked ShieldSuit
[15:407] Yello Unlocked AdvancedShieldSuit
[15:407] Yello Unlocked CombatSuit
[15:407] Yello Unlocked AdvancedCombatSuit
[15:407] Yello Unlocked HazmatSuit
[15:407] Yello Unlocked AdvancedHazmatSuit
[15:407] Yello Unlocked HazmatSuit
[16:147] Yello Unlocked Teleporter
[17:646] Yello Unlocked MiningCharge
[18:916] Yello Placed/Upgraded HealingDrone
[20:325] Yello Placed/Upgraded HealingDrone
[20:815] Yello Placed/Upgraded HealingDrone
[21:068] Yello Placed/Upgraded HealingDrone
[24:899] Yello Unlocked AdvancedMiningCharge
[27:336] Yello Placed/Upgraded HealingDrone
[00:588] Zepherd Unlocked AssaultRifle
[00:667] Zepherd Placed/Upgraded MiningDroid
[00:787] Zepherd Unlocked Stimpack
[03:299] Zepherd Unlocked AdvancedDroidEngines
[05:517] Zepherd Unlocked TurboDroidEngines
[07:990] Zepherd Unlocked SpecOpsAssaultRifle
[09:211] Zepherd Unlocked Bayonette
[10:228] Zepherd Unlocked CombatShield
[11:695] Zepherd Unlocked BioMechanicalRepairDrone
[11:741] Zepherd Placed/Upgraded HealingDrone
[12:091] Zepherd Unlocked QuantumBackpack
[13:546] Zepherd Placed/Upgraded HealingDrone
[13:850] Zepherd Placed/Upgraded HealingDrone
[14:384] Zepherd Unlocked AIAssistant
[14:450] Zepherd Unlocked SpecOpsBioMechanicalRepairDrone
[15:371] Zepherd Placed/Upgraded HealingDrone
[15:727] Zepherd Placed/Upgraded HealingDrone
[16:248] Zepherd Unlocked Teleporter
[19:084] Zepherd Unlocked SpecOpsTeleporter
[19:225] Zepherd Placed/Upgraded MiningDroid
[19:481] Zepherd Placed/Upgraded HealingDrone
[20:605] Zepherd Unlocked IncendiaryGrenade
[21:973] Zepherd Unlocked HazmatSuit
[21:974] Zepherd Unlocked ShieldSuit
[21:974] Zepherd Unlocked AdvancedShieldSuit
[21:974] Zepherd Unlocked CombatSuit
[21:974] Zepherd Unlocked AdvancedCombatSuit
[21:974] Zepherd Unlocked HazmatSuit
[21:974] Zepherd Unlocked AdvancedHazmatSuit
