Analyzed: Oh No It's Zombies Arctic Updated (547)

ID : 0 PlayerName: xxxpro Race: Zerg
ID : 1 PlayerName: BurtMacklin Race: Terran
ID : 2 PlayerName: Diarreitas Race: Terran
ID : 3 PlayerName: tassadar Race: Terran
ID : 4 PlayerName: ZehN Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Sojourne Race: Terran
ID : 7 PlayerName: Security Race: Zerg
xxxpro Zombie Loss
Public Lobby

Game Length:[35:877]
Players ammount: 8
Marine rank avg: 12,333333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:722] xxxpro Spawned MassiveCocoon
[02:162] xxxpro Spawned PrimalTownHallUprooted
[05:177] xxxpro Placed/Upgraded PrimalSunkenColony
[05:178] xxxpro Bought SunkenColony
[05:749] xxxpro Bought VirulentCreep
[07:749] xxxpro Spawned MassiveCocoon
[08:879] xxxpro Bought SunkenColony
[09:189] xxxpro Spawned PrimalTownHallUprooted
[12:562] xxxpro Bought UnlockDropPods
[12:572] xxxpro Bought EvolveDropPods
[12:589] xxxpro Bought EvolveDropPods
[14:607] xxxpro Bought BuildExtractorScienceLabs
[14:607] xxxpro Placed/Upgraded AutomatedExtractor
[15:062] xxxpro Bought ConstructiveCreep
[16:510] xxxpro Spawned MassiveCocoon
[17:165] xxxpro Spawned MassiveCocoon
[17:563] xxxpro Bought VirulentCreep
[17:950] xxxpro Spawned PrimalTownHallUprooted
[18:258] xxxpro Bought EvolveDropPods
[18:259] xxxpro Bought EvolveDropPods
[19:385] xxxpro Spawned MassiveCocoon
[19:674] xxxpro Spawned MassiveCocoon
[20:825] xxxpro Spawned PrimalTownHallUprooted
[21:114] xxxpro Spawned PrimalTownHallUprooted
[21:143] xxxpro Bought AdvancedInfestationContainment
[23:716] xxxpro Bought StrainVolatile
[26:028] xxxpro Bought DropshipsFueled
[26:592] xxxpro Spawned RoyalCocoon
[26:592] xxxpro Bought SpawnHiveQueen
[26:592] xxxpro Bought UltimateInfestationResearched
[26:810] xxxpro Bought PureStrainVolatile
[26:821] xxxpro Bought KaboomerStrain
[26:851] xxxpro Bought StrainSpeed
[27:311] xxxpro Spawned QueenCoop
[31:570] xxxpro Bought BuildExtractorScienceLabs
[32:523] xxxpro Bought SpawnNydusWorm
[32:560] xxxpro Bought AdvancedPowerInfestation
[34:033] xxxpro Bought PureStrainSpeed
[34:040] xxxpro Bought HunterlingStrain
[35:161] xxxpro Bought BuildExtractorScienceLabs
[35:161] xxxpro Placed/Upgraded AutomatedExtractor
[35:214] xxxpro Placed/Upgraded NydusCanalCreeper
[00:588] BurtMacklin Unlocked AssaultRifle
[01:237] BurtMacklin Placed/Upgraded MiningDroid
[02:229] BurtMacklin Placed/Upgraded MiningDroid
[02:501] BurtMacklin Unlocked HellfireRocketLauncher
[03:456] BurtMacklin Unlocked FragGrenade
[05:817] BurtMacklin Unlocked Stimpack
[07:298] BurtMacklin Unlocked SpecOpsHellfireRocketLauncher
[08:529] BurtMacklin Unlocked ShockwaveMissiles
[10:546] BurtMacklin Unlocked BioMechanicalRepairDrone
[10:595] BurtMacklin Unlocked MedicShield
[10:812] BurtMacklin Placed/Upgraded HealingDrone
[11:388] BurtMacklin Unlocked AutoTurret
[12:601] BurtMacklin Placed/Upgraded AutoTurret
[13:563] BurtMacklin Unlocked SpecOpsFragGrenade
[13:849] BurtMacklin Placed/Upgraded AutoTurret
[14:038] BurtMacklin Placed/Upgraded AutoTurret
[14:227] BurtMacklin Placed/Upgraded AutoTurret
[14:723] BurtMacklin Unlocked EnergySuit
[14:724] BurtMacklin Unlocked ShieldSuit
[14:724] BurtMacklin Unlocked AdvancedShieldSuit
[14:724] BurtMacklin Unlocked CombatSuit
[14:724] BurtMacklin Unlocked AdvancedCombatSuit
[14:724] BurtMacklin Unlocked HazmatSuit
[14:724] BurtMacklin Unlocked AdvancedHazmatSuit
[14:724] BurtMacklin Unlocked EnergySuit
[15:049] BurtMacklin Placed/Upgraded HealingDrone
[16:753] BurtMacklin Unlocked MiningCharge
[17:549] BurtMacklin Placed/Upgraded NukePack
[19:113] BurtMacklin Placed/Upgraded NukePack
[20:354] BurtMacklin Unlocked MotionSensor
[20:413] BurtMacklin Placed/Upgraded SensorTower
[22:407] BurtMacklin Unlocked ForceFieldGrenade
[23:453] BurtMacklin Unlocked Teleporter
[23:924] BurtMacklin Unlocked SpecOpsForcefieldGrenade
[25:294] BurtMacklin Placed/Upgraded MiningDroid
[28:871] BurtMacklin Placed/Upgraded NukePack
[29:123] BurtMacklin Placed/Upgraded NukePack
[00:588] Diarreitas Unlocked AssaultRifle
[00:887] Diarreitas Placed/Upgraded MiningDroid
[01:202] Diarreitas Unlocked CombatShield
[04:215] Diarreitas Unlocked AdvancedDroidEngines
[05:768] Diarreitas Unlocked Stimpack
[08:320] Diarreitas Unlocked SpecOpsAssaultRifle
[11:500] Diarreitas Unlocked Bayonette
[11:546] Diarreitas Unlocked Shieldsiotunlocked
[11:547] Diarreitas Unlocked ShieldSuit
[11:547] Diarreitas Unlocked AdvancedShieldSuit
[11:547] Diarreitas Unlocked CombatSuit
[11:547] Diarreitas Unlocked AdvancedCombatSuit
[11:547] Diarreitas Unlocked HazmatSuit
[11:547] Diarreitas Unlocked AdvancedHazmatSuit
[11:547] Diarreitas Unlocked ShieldSuit
[15:754] Diarreitas Unlocked EnergyPack
[15:831] Diarreitas Unlocked Teleporter
[15:926] Diarreitas Unlocked FlashBang
[15:941] Diarreitas Unlocked SpecOpsFlashbang
[17:079] Diarreitas Unlocked AIAssistant
[18:496] Diarreitas Placed/Upgraded MiningDroid
[20:343] Diarreitas Unlocked SpecOpsTeleporter
[20:567] Diarreitas Unlocked AdvancedShieldSuit
[20:568] Diarreitas Unlocked ShieldSuit
[20:568] Diarreitas Unlocked AdvancedShieldSuit
[23:008] Diarreitas Unlocked BioMechanicalRepairDrone
[23:036] Diarreitas Unlocked SpecOpsBioMechanicalRepairDrone
[23:157] Diarreitas Placed/Upgraded HealingDrone
[25:834] Diarreitas Placed/Upgraded HealingDrone
[26:226] Diarreitas Unlocked TurboDroidEngines
[26:362] Diarreitas Unlocked Flamethrower
[27:788] Diarreitas Placed/Upgraded HealingDrone
[28:473] Diarreitas Unlocked SpecOpsFlamethrower
[28:533] Diarreitas Unlocked LongRangeIncinerators
[28:883] Diarreitas Placed/Upgraded HealingDrone
[31:686] Diarreitas Placed/Upgraded HealingDrone
[31:979] Diarreitas Placed/Upgraded HealingDrone
[00:588] tassadar Unlocked AssaultRifle
[00:966] tassadar Placed/Upgraded MiningDroid
[02:030] tassadar Unlocked AdvancedDroidEngines
[05:099] tassadar Unlocked TurboDroidEngines
[06:442] tassadar Unlocked Shotgun
[08:037] tassadar Unlocked SpecOpsShotgun
