Analyzed: Oh No It's Zombies Arctic Updated (548)

ID : 0 PlayerName: valkarian Race: Terran
ID : 1 PlayerName: Oglethorpe Race: Zerg
ID : 2 PlayerName: ZehN Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Sojourne Race: Terran
ID : 5 PlayerName: Yello Race: Terran
ID : 6 PlayerName: Zepherd Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Oglethorpe Zombie Win
Public Lobby

Game Length:[36:393]
Players ammount: 8
Marine rank avg: 12,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] valkarian Unlocked AssaultRifle
[00:760] valkarian Placed MiningDroid
[00:951] valkarian Unlocked AdvancedDroidEngines
[04:031] valkarian Unlocked SpecOpsAssaultRifle
[05:533] valkarian Unlocked AutoTargetingSystem
[07:716] valkarian Unlocked Stimpack
[08:728] valkarian Unlocked MedicShield
[11:089] valkarian Unlocked BioMechanicalRepairDrone
[11:229] valkarian Unlocked IncendiaryGrenade
[11:242] valkarian Unlocked SpecOpsIncendiaryGrenade
[12:665] valkarian Placed HealingDrone
[16:501] valkarian Unlocked HazmatSuit
[16:506] valkarian Unlocked AdvancedHazmatSuit
[18:044] valkarian Unlocked EnergyPack
[18:052] valkarian Unlocked AIAssistant
[18:265] valkarian Unlocked PowerConverter
[18:315] valkarian Unlocked SpecOpsPowerConverter
[20:199] valkarian Placed HealingDrone
[22:870] valkarian Placed HealingDrone
[33:642] valkarian Unlocked TitaniumBulletCasings
[00:552] Oglethorpe Bought PlayerNumber
[00:698] Oglethorpe Spawned MassiveCocoon
[02:138] Oglethorpe Spawned PrimalTownHallUprooted
[02:183] Oglethorpe Placed/Upgraded LesserNydusWorm
[02:184] Oglethorpe Bought GreaterNydus
[02:442] Oglethorpe Placed/Upgraded PrimalSunkenColony
[02:443] Oglethorpe Bought SunkenColony
[04:707] Oglethorpe Placed/Upgraded PrimalSunkenColony
[04:708] Oglethorpe Bought SunkenColony
[05:230] Oglethorpe Placed/Upgraded LesserNydusWorm
[05:231] Oglethorpe Bought GreaterNydus
[05:470] Oglethorpe Bought SunkenColony
[05:470] Oglethorpe Placed/Upgraded PrimalSunkenColony
[05:539] Oglethorpe Bought GreaterNydus
[06:043] Oglethorpe Bought SunkenColony
[06:043] Oglethorpe Bought SunkenColony
[06:043] Oglethorpe Bought SunkenColony
[06:759] Oglethorpe Bought CreepSpeed
[06:997] Oglethorpe Placed/Upgraded PrimalSunkenColony
[06:998] Oglethorpe Bought SunkenColony
[07:685] Oglethorpe Placed/Upgraded PrimalSunkenColony
[07:686] Oglethorpe Bought SunkenColony
[08:566] Oglethorpe Placed/Upgraded LesserNydusWorm
[08:567] Oglethorpe Bought GreaterNydus
[08:876] Oglethorpe Bought AdvancedInfestationContainment
[09:219] Oglethorpe Placed/Upgraded PrimalSunkenColony
[09:220] Oglethorpe Bought SunkenColony
[09:287] Oglethorpe Bought SunkenColony
[10:314] Oglethorpe Bought VirulentCreep
[10:314] Oglethorpe Bought VirulentCreep
[10:418] Oglethorpe Bought SunkenColony
[11:092] Oglethorpe Bought SunkenColony
[11:092] Oglethorpe Placed/Upgraded PrimalSunkenColony
[11:428] Oglethorpe Bought GreaterNydus
[11:703] Oglethorpe Bought SunkenColony
[11:785] Oglethorpe Bought BuildExtractorScienceLabs
[11:785] Oglethorpe Placed/Upgraded AutomatedExtractor
[11:856] Oglethorpe Bought SunkenColony
[11:858] Oglethorpe Placed/Upgraded LesserNydusWorm
[11:859] Oglethorpe Bought GreaterNydus
[12:226] Oglethorpe Placed/Upgraded PrimalSunkenColony
[12:227] Oglethorpe Bought SunkenColony
[12:773] Oglethorpe Bought ConstructiveCreep
[12:996] Oglethorpe Bought SunkenColony
[13:094] Oglethorpe Bought GreaterNydus
[13:094] Oglethorpe Bought GreaterNydus
[13:252] Oglethorpe Bought BuildExtractorScienceLabs
[13:923] Oglethorpe Bought CreepSpeed
[14:826] Oglethorpe Placed/Upgraded LesserNydusWorm
[14:827] Oglethorpe Bought GreaterNydus
[14:986] Oglethorpe Bought GreaterNydus
[14:986] Oglethorpe Placed/Upgraded LesserNydusWorm
