Analyzed: Oh No It's Zombies Arctic Updated (553)

ID : 0 PlayerName: Oglethorpe Race: Terran
ID : 1 PlayerName: Drake Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: Hopebringer Race: Terran
ID : 4 PlayerName: Snap Race: Terran
ID : 5 PlayerName: SlimReighnar Race: Terran
ID : 6 PlayerName: Basilic Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Public Lobby

Game Length:[39:269]
Players ammount: 8
Marine rank avg: 2,6666666666666665
GrandMaster ammount: 1
PURCHASES: 
[00:588] Oglethorpe Unlocked AssaultRifle
[00:980] Oglethorpe Placed/Upgraded MiningDroid
[01:730] Oglethorpe Unlocked SpecOpsAssaultRifle
[04:777] Oglethorpe Unlocked Stimpack
[04:970] Oglethorpe Unlocked OpticalVisor
[08:022] Oglethorpe Unlocked TitaniumBulletCasings
[09:129] Oglethorpe Unlocked EnergySuit
[09:130] Oglethorpe Unlocked EnergySuit
[10:309] Oglethorpe Unlocked AdvancedEnergySuit
[10:310] Oglethorpe Unlocked EnergySuit
[10:310] Oglethorpe Unlocked AdvancedEnergySuit
[11:946] Oglethorpe Unlocked ForceFieldGrenade
[12:765] Oglethorpe Unlocked SpecOpsForcefieldGrenade
[13:130] Oglethorpe Unlocked MedicShield
[15:779] Oglethorpe Placed/Upgraded MiningDroid
[19:583] Oglethorpe Unlocked MiningCharge
[19:586] Oglethorpe Unlocked AdvancedMiningCharge
[00:588] Drake Unlocked AssaultRifle
[00:667] Drake Placed MiningDroid
[00:869] Drake Unlocked SpecOpsAssaultRifle
[04:465] Drake Unlocked AdvancedDroidEngines
[06:143] Drake Unlocked TurboDroidEngines
[07:820] Drake Unlocked OverloadWeapon
[09:130] Drake Bought ShieldSuit
[09:130] Drake Bought CombatSuit
[09:130] Drake Bought HazmatSuit
[12:249] Drake Unlocked TitaniumBulletCasings
[12:356] Drake Unlocked Shieldsiotunlocked
[12:529] Drake Unlocked Teleporter
[16:658] Drake Unlocked BioMechanicalRepairDrone
[16:668] Drake Unlocked SpecOpsBioMechanicalRepairDrone
[17:861] Drake Placed HealingDrone
[20:128] Drake Placed HealingDrone
[20:340] Drake Unlocked PsiDisrupter
[20:443] Drake Placed PsiIndoctrinator
[23:610] Drake Placed MiningDroid
[26:522] Drake Placed HealingDrone
[27:432] Drake Placed HealingDrone
[28:122] Drake Unlocked MiningCharge
[28:265] Drake Placed NukePack
[28:633] Drake Placed NukePack
[29:966] Drake Placed NukePack
[31:791] Drake Placed PsiIndoctrinator
[32:285] Drake Placed NukePack
[33:346] Drake Placed HealingDrone
[33:679] Drake Placed HealingDrone
[34:718] Drake Unlocked PsiDepressor
[36:614] Drake Placed HealingDrone
[37:479] Drake Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[01:154] Frosky Bought StrainSpeed
[04:854] Frosky Bought PureStrainSpeed
[07:309] Frosky Bought HunterlingStrain
[09:232] Frosky Bought StrainSpeed
[09:809] Frosky Bought StrainVolatile
[11:074] Frosky Bought PureStrainVolatile
[12:357] Frosky Bought ShieldSuit
[12:357] Frosky Bought CombatSuit
[12:357] Frosky Bought HazmatSuit
[12:357] Frosky Bought ShieldSuit
[12:848] Frosky Bought PureStrainSpeed
[14:579] Frosky Bought HunterlingStrain
[16:256] Frosky Bought KaboomerStrain
[18:631] Frosky Bought UnlockDropPods
[19:797] Frosky Bought EvolveDropPods
[19:800] Frosky Bought EvolveDropPods
[21:362] Frosky Bought EvolveDropPods
[23:242] Frosky Bought EvolveDropPods
[23:245] Frosky Bought EvolveDropPods
[23:248] Frosky Bought EvolveDropPods
[24:458] Frosky Bought AdvancedInfestationContainment
[25:500] Frosky Placed/Upgraded Virophage
[27:269] Frosky Placed/Upgraded NydusCanalCreeper
[27:733] Frosky Bought SiphonFuel
[28:549] Frosky Bought StrainHealth
[30:109] Frosky Bought DropshipsFueled
[30:228] Frosky Spawned RoyalCocoon
[30:228] Frosky Bought SpawnHiveQueen
[30:228] Frosky Bought UltimateInfestationResearched
[30:947] Frosky Spawned QueenCoop
[31:921] Frosky Placed/Upgraded NydusCanalCreeper
[32:163] Frosky Spawned MassiveCocoon
[33:243] Frosky Spawned Underseer
[35:505] Frosky Bought SpawnNydusWorm
[35:530] Frosky Placed/Upgraded GreaterNydusWorm
[35:858] Frosky Placed/Upgraded NydusCanalCreeper
[00:588] Hopebringer Unlocked AssaultRifle
[00:724] Hopebringer Placed/Upgraded MiningDroid
[03:283] Hopebringer Unlocked AdvancedDroidEngines
[03:299] Hopebringer Unlocked TurboDroidEngines
[05:903] Hopebringer Unlocked AutoTurret
[05:927] Hopebringer Unlocked BioMechanicalRepairDrone
[06:183] Hopebringer Placed/Upgraded HealingDrone
[06:805] Hopebringer Placed/Upgraded HealingDrone
[07:391] Hopebringer Unlocked Flamethrower
[08:797] Hopebringer Unlocked SpecOpsFlamethrower
[10:565] Hopebringer Unlocked Teleporter
[11:089] Hopebringer Unlocked Stimpack
[11:837] Hopebringer Placed/Upgraded HealingDrone
[12:221] Hopebringer Placed/Upgraded HealingDrone
[13:677] Hopebringer Unlocked SpecOpsTeleporter
[15:092] Hopebringer Placed/Upgraded MiningDroid
[18:547] Hopebringer Placed/Upgraded HealingDrone
[19:973] Hopebringer Placed/Upgraded HealingDrone
[20:536] Hopebringer Placed/Upgraded HealingDrone
[24:440] Hopebringer Placed/Upgraded MiningDroid
[25:351] Hopebringer Unlocked HazmatSuit
[25:357] Hopebringer Unlocked AdvancedHazmatSuit
[26:215] Hopebringer Placed/Upgraded HealingDrone
[27:007] Hopebringer Unlocked SpecOpsBioMechanicalRepairDrone
[32:135] Hopebringer Unlocked ThermiteFilaments
[32:298] Hopebringer Unlocked QuantumBackpack
[32:317] Hopebringer Unlocked CombatShield
[32:458] Hopebringer Unlocked SpecOpsTurret
[33:063] Hopebringer Placed/Upgraded AutoTurret
[33:344] Hopebringer Placed/Upgraded AutoTurret
[36:872] Hopebringer Placed/Upgraded HealingDrone
[37:260] Hopebringer Placed/Upgraded AutoTurret
[38:016] Hopebringer Placed/Upgraded AutoTurret
[38:523] Hopebringer Placed/Upgraded HealingDrone
[00:588] Snap Unlocked AssaultRifle
[00:708] Snap Placed/Upgraded MiningDroid
[00:915] Snap Unlocked AdvancedDroidEngines
[05:865] Snap Unlocked TurboDroidEngines
[05:904] Snap Unlocked Flamethrower
[07:729] Snap Unlocked SpecOpsFlamethrower
[08:511] Snap Unlocked HellfireRocketLauncher
[11:160] Snap Unlocked BioMechanicalRepairDrone
[11:237] Snap Unlocked LongRangeIncinerators
[11:322] Snap Placed/Upgraded HealingDrone
[11:698] Snap Unlocked HazmatSuit
[12:960] Snap Unlocked Teleporter
[13:920] Snap Unlocked CombatShield
[16:488] Snap Unlocked MotionSensor
[16:782] Snap Placed/Upgraded SensorTower
[17:407] Snap Unlocked ExplorationDroid
[17:454] Snap Placed/Upgraded ExplorationDroid
[17:468] Snap Placed/Upgraded ExplorationDroid
[18:054] Snap Placed/Upgraded ExplorationDroid
