Analyzed: Oh No It's Zombies Arctic Updated (56)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Kaedin Race: Zerg
ID : 2 PlayerName: RyK Race: Terran
ID : 3 PlayerName: Sylar Race: Terran
ID : 4 PlayerName: RoLiNaD Race: Terran
ID : 5 PlayerName: CHZspartan Race: Terran
ID : 6 PlayerName: Aegis Race: Terran
ID : 7 PlayerName: Security Race: 
Kaedin Zombie Win
Public Lobby

Game Length:[26:559]
Players ammount: 8
Marine rank avg: 7,166666666666667
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:683] Frosky Placed MiningDroid
[00:846] Frosky Unlocked AdvancedDroidEngines
[03:179] Frosky Unlocked Flamethrower
[05:750] Frosky Unlocked SpecOpsFlamethrower
[07:302] Frosky Unlocked Shieldsiotunlocked
[07:329] Frosky Unlocked HazmatSuit
[09:349] Frosky Unlocked AdvancedShieldSuit
[09:648] Frosky Unlocked MedicShield
[10:094] Frosky Unlocked ThermiteFilaments
[11:430] Frosky Unlocked QuantumBackpack
[11:443] Frosky Unlocked OpticalVisor
[00:552] Kaedin Bought PlayerNumber
[00:780] Kaedin Placed/Upgraded PrimalSunkenColony
[00:781] Kaedin Bought SunkenColony
[02:043] Kaedin Bought CreepSpeed
[02:272] Kaedin Bought SunkenColony
[04:024] Kaedin Bought StrainSpeed
[04:030] Kaedin Bought PureStrainSpeed
[06:260] Kaedin Placed/Upgraded PrimalSunkenColony
[06:261] Kaedin Bought SunkenColony
[06:500] Kaedin Placed/Upgraded NydusCanalCreeper
[06:787] Kaedin Placed/Upgraded PrimalSunkenColony
[06:788] Kaedin Bought SunkenColony
[07:303] Kaedin Bought ShieldSuit
[07:303] Kaedin Bought CombatSuit
[07:303] Kaedin Bought HazmatSuit
[07:303] Kaedin Bought ShieldSuit
[07:330] Kaedin Bought ShieldSuit
[07:330] Kaedin Bought CombatSuit
[07:330] Kaedin Bought HazmatSuit
[07:330] Kaedin Bought HazmatSuit
[07:645] Kaedin Bought AdvancedInfestationContainment
[09:120] Kaedin Bought SunkenColony
[09:364] Kaedin Bought ShieldSuit
[09:364] Kaedin Bought CombatSuit
[09:364] Kaedin Bought HazmatSuit
[09:364] Kaedin Bought AdvancedShieldSuit
[09:825] Kaedin Bought SunkenColony
[10:025] Kaedin Bought StrainSpeed
[11:319] Kaedin Bought PureStrainSpeed
[11:322] Kaedin Bought StrainSpeed
[12:327] Kaedin Bought SiphonFuel
[13:058] Kaedin Bought PureStrainSpeed
[13:916] Kaedin Bought StrainSpeed
[14:492] Kaedin Placed/Upgraded PrimalSunkenColony
[14:493] Kaedin Bought SunkenColony
[14:955] Kaedin Placed/Upgraded PrimalSunkenColony
[14:956] Kaedin Bought SunkenColony
[16:888] Kaedin Bought SunkenColony
[17:120] Kaedin Bought PureStrainSpeed
[18:306] Kaedin Bought AdvancedInfestationSecurity
[18:683] Kaedin Bought SunkenColony
[19:091] Kaedin Bought StrainSpeed
[19:969] Kaedin Bought PureStrainSpeed
[20:137] Kaedin Bought SiphonFuel
[22:198] Kaedin Bought VirulentCreep
[22:198] Kaedin Bought VirulentCreep
[23:713] Kaedin Bought VirulentCreep
[23:713] Kaedin Bought VirulentCreep
[24:487] Kaedin Bought TrackHumans
[25:559] Kaedin Bought RegenerativeCreep
[00:588] RyK Unlocked AssaultRifle
[00:667] RyK Placed/Upgraded MiningDroid
[00:775] RyK Unlocked AdvancedDroidEngines
[03:572] RyK Unlocked SpecOpsAssaultRifle
[00:588] Sylar Unlocked AssaultRifle
[05:638] Sylar Unlocked PsiDisrupter
