Analyzed: Oh No It's Zombies Arctic Updated (567)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: meTT Race: Terran
ID : 2 PlayerName: Sylferian Race: Terran
ID : 3 PlayerName: WildMutant Race: Terran
ID : 4 PlayerName: GreyWanderer Race: Zerg
ID : 5 PlayerName: Torrento Race: Terran
ID : 6 PlayerName: BigMethGuy Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
GreyWanderer Zombie Win
Public Lobby

Game Length:[24:683]
Players ammount: 8
Marine rank avg: 7,833333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:879] Frosky Unlocked AdvancedDroidEngines
[14:678] Frosky Placed/Upgraded MiningDroid
[16:612] Frosky Unlocked Flamethrower
[18:203] Frosky Unlocked SpecOpsFlamethrower
[19:789] Frosky Unlocked BioMechanicalRepairDrone
[20:144] Frosky Placed/Upgraded HealingDrone
[20:720] Frosky Unlocked CombatShield
[20:976] Frosky Placed/Upgraded HealingDrone
[21:971] Frosky Unlocked CryoFreeze
[22:623] Frosky Placed/Upgraded HealingDrone
[22:931] Frosky Placed/Upgraded HealingDrone
[23:266] Frosky Placed/Upgraded HealingDrone
[00:588] meTT Unlocked AssaultRifle
[00:670] meTT Placed/Upgraded MiningDroid
[01:145] meTT Unlocked HellfireRocketLauncher
[03:987] meTT Unlocked AdvancedDroidEngines
[05:104] meTT Unlocked Stimpack
[07:957] meTT Unlocked TurboDroidEngines
[12:370] meTT Unlocked CombatSuit
[12:377] meTT Unlocked AdvancedCombatSuit
[12:458] meTT Unlocked SpecOpsHellfireRocketLauncher
[13:195] meTT Unlocked ShockwaveMissiles
[15:233] meTT Unlocked AIAssistant
[16:026] meTT Unlocked IncendiaryGrenade
[16:039] meTT Unlocked SpecOpsIncendiaryGrenade
[17:083] meTT Unlocked BioMechanicalRepairDrone
[17:223] meTT Unlocked CombatShield
[17:738] meTT Placed/Upgraded HealingDrone
[19:160] meTT Unlocked SpecOpsBioMechanicalRepairDrone
[19:458] meTT Placed/Upgraded HealingDrone
[19:943] meTT Unlocked EnergyPack
[21:059] meTT Placed/Upgraded HealingDrone
[21:486] meTT Placed/Upgraded MiningDroid
[21:823] meTT Placed/Upgraded HealingDrone
[23:528] meTT Placed/Upgraded HealingDrone
[00:588] Sylferian Unlocked AssaultRifle
[02:092] Sylferian Placed/Upgraded MiningDroid
[02:311] Sylferian Unlocked HellfireRocketLauncher
[06:265] Sylferian Unlocked AdvancedDroidEngines
[06:349] Sylferian Unlocked BioMechanicalRepairDrone
[12:371] Sylferian Bought ShieldSuit
[12:371] Sylferian Bought CombatSuit
[12:371] Sylferian Bought HazmatSuit
[12:371] Sylferian Bought CombatSuit
[12:378] Sylferian Bought CombatSuit
[13:464] Sylferian Placed/Upgraded MiningDroid
[13:637] Sylferian Placed/Upgraded HealingDrone
[14:019] Sylferian Placed/Upgraded HealingDrone
[15:174] Sylferian Placed/Upgraded HealingDrone
[15:459] Sylferian Unlocked CombatAccelerationDrone
[15:682] Sylferian Placed/Upgraded HealingDrone
[17:490] Sylferian Unlocked SpecOpsHellfireRocketLauncher
[20:872] Sylferian Placed/Upgraded HealingDrone
[21:892] Sylferian Unlocked Stimpack
[00:588] WildMutant Unlocked AssaultRifle
[00:667] WildMutant Placed MiningDroid
[00:903] WildMutant Unlocked Shotgun
[05:959] WildMutant Unlocked AdvancedDroidEngines
[05:965] WildMutant Unlocked TurboDroidEngines
[07:381] WildMutant Unlocked Stimpack
[10:220] WildMutant Unlocked BioMechanicalRepairDrone
[10:436] WildMutant Placed HealingDrone
[10:888] WildMutant Placed HealingDrone
[11:136] WildMutant Placed HealingDrone
[14:230] WildMutant Placed MiningDroid
[15:530] WildMutant Placed HealingDrone
