Analyzed: Oh No It's Zombies Arctic Updated (57)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: RyK Race: Terran
ID : 2 PlayerName: Kaedin Race: Terran
ID : 3 PlayerName: Aegis Race: Terran
ID : 4 PlayerName: Sylar Race: Terran
ID : 5 PlayerName: reefing Race: Terran
ID : 6 PlayerName: foolsidol Race: Zerg
ID : 7 PlayerName: Security Race: Protoss
foolsidol Zombie Win
Public Lobby

Game Length:[38:383]
Players ammount: 8
Marine rank avg: 7,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:688] Frosky Placed/Upgraded MiningDroid
[00:970] Frosky Unlocked AdvancedDroidEngines
[04:040] Frosky Unlocked TurboDroidEngines
[05:962] Frosky Unlocked SpecOpsAssaultRifle
[07:878] Frosky Unlocked Teleporter
[09:343] Frosky Unlocked CombatSuit
[09:352] Frosky Unlocked AdvancedCombatSuit
[11:360] Frosky Unlocked Stimpack
[12:261] Frosky Unlocked AutoTurret
[12:321] Frosky Unlocked HeavyTurret
[13:631] Frosky Placed/Upgraded AutoTurret
[13:880] Frosky Placed/Upgraded AutoTurret
[26:175] Frosky Placed/Upgraded AutoTurret
[28:945] Frosky Placed/Upgraded AutoTurret
[30:614] Frosky Placed/Upgraded AutoTurret
[00:588] RyK Unlocked AssaultRifle
[00:667] RyK Placed/Upgraded MiningDroid
[00:781] RyK Unlocked AdvancedDroidEngines
[03:847] RyK Unlocked SpecOpsAssaultRifle
[05:403] RyK Unlocked OverloadWeapon
[09:310] RyK Unlocked TurboDroidEngines
[09:344] RyK Bought ShieldSuit
[09:344] RyK Bought CombatSuit
[09:344] RyK Bought HazmatSuit
[09:344] RyK Bought CombatSuit
[09:353] RyK Bought CombatSuit
[09:388] RyK Unlocked TitaniumBulletCasings
[09:500] RyK Unlocked CombatSuit
[10:097] RyK Unlocked AdvancedCombatSuit
[11:086] RyK Unlocked MedicShield
[11:365] RyK Unlocked OpticalVisor
[11:715] RyK Unlocked BioMechanicalRepairDrone
[12:745] RyK Placed/Upgraded HealingDrone
[13:040] RyK Unlocked ExplorationDroid
[13:204] RyK Placed/Upgraded ExplorationDroid
[13:329] RyK Unlocked MotionSensor
[14:513] RyK Placed/Upgraded HealingDrone
[14:620] RyK Placed/Upgraded SensorTower
[16:853] RyK Placed/Upgraded HealingDrone
[16:985] RyK Unlocked PowerConverter
