Analyzed: Oh No It's Zombies Arctic Updated (570)

ID : 0 PlayerName: reefing Race: Terran
ID : 1 PlayerName: Cybrochara Race: Terran
ID : 2 PlayerName: FirceShadow Race: Terran
ID : 3 PlayerName: ZergWithHat Race: Zerg
ID : 4 PlayerName: robertoSOOS Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: IOpenUSA Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
ZergWithHat Zombie Win
Public Lobby

Game Length:[31:608]
Players ammount: 8
Marine rank avg: 10,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] reefing Unlocked AssaultRifle
[00:667] reefing Placed/Upgraded MiningDroid
[00:901] reefing Unlocked AdvancedDroidEngines
[04:606] reefing Unlocked TurboDroidEngines
[06:519] reefing Unlocked BeamRifle
[06:565] reefing Unlocked CombatSuit
[08:233] reefing Unlocked Stimpack
[08:653] reefing Unlocked MedicShield
[09:589] reefing Unlocked SpecOpsPlasmaRifle
[10:924] reefing Unlocked CorrosivePlasma
[12:959] reefing Unlocked MiningCharge
[12:966] reefing Unlocked AdvancedMiningCharge
[13:162] reefing Placed/Upgraded NukePack
[13:922] reefing Unlocked MotionSensor
[17:866] reefing Placed/Upgraded SensorTower
[18:145] reefing Placed/Upgraded MiningDroid
[20:833] reefing Unlocked CloakingDevice
[22:746] reefing Unlocked AdvancedCombatSuit
[28:034] reefing Placed/Upgraded MiningDroid
[00:588] Cybrochara Unlocked AssaultRifle
[00:767] Cybrochara Unlocked AdvancedDroidEngines
[00:801] Cybrochara Placed/Upgraded MiningDroid
[04:030] Cybrochara Unlocked SpecOpsAssaultRifle
[05:989] Cybrochara Unlocked Stimpack
[06:566] Cybrochara Bought ShieldSuit
[06:566] Cybrochara Bought CombatSuit
[06:566] Cybrochara Bought HazmatSuit
[06:566] Cybrochara Bought CombatSuit
[08:969] Cybrochara Unlocked AutoTurret
[10:297] Cybrochara Unlocked HeavyTurret
[10:906] Cybrochara Placed/Upgraded AutoTurret
[11:272] Cybrochara Placed/Upgraded AutoTurret
[13:326] Cybrochara Placed/Upgraded AutoTurret
[15:219] Cybrochara Placed/Upgraded AutoTurret
[15:533] Cybrochara Placed/Upgraded AutoTurret
[16:798] Cybrochara Unlocked Teleporter
[17:332] Cybrochara Placed/Upgraded AutoTurret
[20:988] Cybrochara Placed/Upgraded AutoTurret
[22:747] Cybrochara Bought CombatSuit
[29:334] Cybrochara Placed/Upgraded AutoTurret
[30:511] Cybrochara Placed/Upgraded AutoTurret
[00:588] FirceShadow Unlocked AssaultRifle
[00:800] FirceShadow Placed MiningDroid
[00:997] FirceShadow Unlocked Shotgun
[03:823] FirceShadow Unlocked AdvancedDroidEngines
[07:496] FirceShadow Unlocked BioMechanicalRepairDrone
[12:412] FirceShadow Unlocked BeamRifle
[15:225] FirceShadow Unlocked OverloadWeapon
[15:358] FirceShadow Placed HealingDrone
[16:758] FirceShadow Unlocked SpecOpsPlasmaRifle
[17:404] FirceShadow Unlocked CorrosivePlasma
[26:113] FirceShadow Unlocked AutoTurret
[00:552] ZergWithHat Bought PlayerNumber
[00:655] ZergWithHat Spawned MassiveCocoon
[02:095] ZergWithHat Spawned Hunter
[02:203] ZergWithHat Placed/Upgraded PrimalSunkenColony
[02:204] ZergWithHat Bought SunkenColony
[03:723] ZergWithHat Bought StrainHealth
[04:728] ZergWithHat Placed/Upgraded ToxicNest
[04:730] ZergWithHat Placed/Upgraded ToxicNest
[04:741] ZergWithHat Placed/Upgraded ToxicNest
[04:856] ZergWithHat Bought SunkenColony
[05:143] ZergWithHat Spawned MassiveCocoon
[06:583] ZergWithHat Spawned Hunter
[07:159] ZergWithHat Bought StrainHealth
[08:041] ZergWithHat Bought StrainHealth
[09:241] ZergWithHat Spawned MassiveCocoon
[10:681] ZergWithHat Spawned Hunter
[10:988] ZergWithHat Bought BuildExtractorProcessingFacilities
[10:988] ZergWithHat Placed/Upgraded AutomatedExtractor
[11:348] ZergWithHat Bought CreepSpeed
[12:453] ZergWithHat Bought ExtractorCostReductionProcessingFacilities
[12:453] ZergWithHat Bought BuildExtractorProcessingFacilities
[13:017] ZergWithHat Bought StrainHealth
[13:655] ZergWithHat Bought AdvancedInfestationContainment
[16:098] ZergWithHat Bought SpawnNydusWorm
[16:140] ZergWithHat Placed/Upgraded GreaterNydusWorm
[16:235] ZergWithHat Bought UnlockDropPods
[16:242] ZergWithHat Bought EvolveDropPods
[16:272] ZergWithHat Bought EvolveDropPods
[16:275] ZergWithHat Bought EvolveDropPods
[18:209] ZergWithHat Placed/Upgraded NydusCanalCreeper
[18:293] ZergWithHat Bought EvolveDropPods
[18:297] ZergWithHat Bought EvolveDropPods
[18:300] ZergWithHat Bought EvolveDropPods
[21:127] ZergWithHat Placed/Upgraded Virophage
[21:863] ZergWithHat Bought VirulentCreep
[21:863] ZergWithHat Bought VirulentCreep
[22:025] ZergWithHat Spawned MassiveCocoon
[23:105] ZergWithHat Spawned Underseer
[23:312] ZergWithHat Bought VirulentCreep
[23:312] ZergWithHat Bought VirulentCreep
[24:156] ZergWithHat Bought AdvancedPowerInfestation
[25:178] ZergWithHat Placed/Upgraded LesserNydusWorm
[25:179] ZergWithHat Bought GreaterNydus
[25:708] ZergWithHat Bought DropshipsFueled
[26:992] ZergWithHat Placed/Upgraded GreaterNydusWorm
[28:417] ZergWithHat Placed/Upgraded NydusCanalCreeper
[28:658] ZergWithHat Spawned MassiveCocoon
[28:680] ZergWithHat Bought AdvancedInfestationGateControl
[29:361] ZergWithHat Spawned RoyalCocoon
[29:361] ZergWithHat Bought SpawnHiveQueen
[29:361] ZergWithHat Bought UltimateInfestationResearched
[29:738] ZergWithHat Spawned Underseer
[29:746] ZergWithHat Placed/Upgraded NydusCanalCreeper
[29:986] ZergWithHat Bought GreaterNydus
