Analyzed: Oh No It's Zombies Arctic Updated (572)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Steinn Race: Terran
ID : 2 PlayerName: Gafe Race: Terran
ID : 3 PlayerName: Sylferian Race: Terran
ID : 4 PlayerName: Yang Race: Terran
ID : 5 PlayerName: GianCarlo Race: Zerg
ID : 6 PlayerName: Salem Race: Terran
ID : 7 PlayerName: Security Race: Zerg
GianCarlo Zombie Win
Public Lobby

Game Length:[35:576]
Players ammount: 8
Marine rank avg: 4
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[02:074] Frosky Unlocked ArcWelder
[03:903] Frosky Unlocked Stimpack
[04:786] Frosky Unlocked AdvancedDroidEngines
[06:356] Frosky Unlocked CombatSuit
[07:325] Frosky Unlocked AdvancedCombatSuit
[08:561] Frosky Unlocked ExplorationDroid
[08:593] Frosky Placed/Upgraded ExplorationDroid
[08:615] Frosky Placed/Upgraded ExplorationDroid
[08:727] Frosky Placed/Upgraded ExplorationDroid
[09:526] Frosky Unlocked TurboDroidEngines
[10:912] Frosky Unlocked PsiDisrupter
[11:119] Frosky Placed/Upgraded PsiIndoctrinator
[11:764] Frosky Unlocked BeamRifle
[12:356] Frosky Unlocked AutoTurret
[00:588] Steinn Unlocked AssaultRifle
[01:498] Steinn Placed/Upgraded MiningDroid
[03:597] Steinn Unlocked HellfireRocketLauncher
[05:789] Steinn Unlocked SpecOpsHellfireRocketLauncher
[06:357] Steinn Bought ShieldSuit
[06:357] Steinn Bought CombatSuit
[06:357] Steinn Bought HazmatSuit
[06:357] Steinn Bought CombatSuit
[07:326] Steinn Bought CombatSuit
[09:757] Steinn Placed/Upgraded MiningDroid
[13:824] Steinn Unlocked Shotgun
[13:850] Steinn Unlocked SpecOpsShotgun
[15:596] Steinn Unlocked HighPrecisionBeams
[16:807] Steinn Unlocked Shieldsiotunlocked
[18:508] Steinn Unlocked SuperStimpack
[23:791] Steinn Unlocked Stimpack
[24:908] Steinn Unlocked CombatShield
[30:956] Steinn Unlocked AutoTurret
[00:588] Gafe Unlocked AssaultRifle
[00:907] Gafe Placed/Upgraded MiningDroid
[02:061] Gafe Unlocked Shotgun
[03:849] Gafe Unlocked AdvancedDroidEngines
[05:933] Gafe Unlocked SpecOpsShotgun
[09:952] Gafe Unlocked Stimpack
[10:057] Gafe Unlocked HighPrecisionBeams
[10:115] Gafe Unlocked Shieldsiotunlocked
[11:157] Gafe Unlocked SuperStimpack
[12:503] Gafe Unlocked AdvancedShieldSuit
[14:788] Gafe Unlocked SpecOpsSuperStimpack
[14:823] Gafe Unlocked EnergyPack
[16:808] Gafe Bought ShieldSuit
[16:808] Gafe Bought CombatSuit
[16:808] Gafe Bought HazmatSuit
[16:808] Gafe Bought ShieldSuit
[16:808] Gafe Unlocked PsiDisrupter
[16:844] Gafe Unlocked PsiDepressor
[18:203] Gafe Placed/Upgraded PsiIndoctrinator
[18:365] Gafe Unlocked OpticalVisor
[18:383] Gafe Unlocked MedicShield
[18:638] Gafe Placed/Upgraded PsiIndoctrinator
[19:343] Gafe Placed/Upgraded PsiIndoctrinator
[21:815] Gafe Placed/Upgraded PsiIndoctrinator
[23:834] Gafe Unlocked MiningCharge
[23:844] Gafe Unlocked AdvancedMiningCharge
[23:942] Gafe Placed/Upgraded NukePack
[24:135] Gafe Placed/Upgraded NukePack
[28:604] Gafe Placed/Upgraded NukePack
[30:451] Gafe Placed/Upgraded NukePack
[33:356] Gafe Placed/Upgraded NukePack
[35:272] Gafe Placed/Upgraded PsiIndoctrinator
[00:588] Sylferian Unlocked AssaultRifle
[00:973] Sylferian Placed/Upgraded MiningDroid
[03:022] Sylferian Unlocked BioMechanicalRepairDrone
[03:067] Sylferian Unlocked CombatAccelerationDrone
[03:234] Sylferian Placed/Upgraded HealingDrone
[03:428] Sylferian Placed/Upgraded HealingDrone
[05:710] Sylferian Placed/Upgraded HealingDrone
[06:846] Sylferian Unlocked HellfireRocketLauncher
[08:309] Sylferian Unlocked SpecOpsBioMechanicalRepairDrone
[08:478] Sylferian Placed/Upgraded HealingDrone
[09:487] Sylferian Unlocked PsiDisrupter
[10:116] Sylferian Bought ShieldSuit
[10:116] Sylferian Bought CombatSuit
[10:116] Sylferian Bought HazmatSuit
[10:116] Sylferian Bought ShieldSuit
[10:258] Sylferian Placed/Upgraded PsiIndoctrinator
[12:504] Sylferian Bought ShieldSuit
[14:054] Sylferian Placed/Upgraded MiningDroid
[14:423] Sylferian Unlocked SpecOpsHellfireRocketLauncher
[17:326] Sylferian Unlocked RocketLauncherMod1
[17:467] Sylferian Unlocked SuperStimpack
[21:561] Sylferian Placed/Upgraded PsiIndoctrinator
[23:275] Sylferian Unlocked AutoTurret
[23:307] Sylferian Unlocked FlameTurret
[23:437] Sylferian Unlocked IncendiaryGrenade
[23:467] Sylferian Unlocked SpecOpsIncendiaryGrenade
[24:498] Sylferian Placed/Upgraded MiningDroid
[24:593] Sylferian Unlocked Shieldsiotunlocked
[26:208] Sylferian Unlocked AdvancedShieldSuit
[30:066] Sylferian Placed/Upgraded AutoTurret
[30:343] Sylferian Placed/Upgraded AutoTurret
[30:552] Sylferian Placed/Upgraded AutoTurret
[31:128] Sylferian Unlocked SpecOpsSuperStimpack
[00:588] Yang Unlocked AssaultRifle
[01:002] Yang Placed MiningDroid
[04:872] Yang Unlocked CombatSuit
[09:189] Yang Unlocked SpecOpsAssaultRifle
[11:946] Yang Unlocked AutoTargetingSystem
[23:183] Yang Unlocked Stimpack
[24:594] Yang Bought ShieldSuit
[24:594] Yang Bought CombatSuit
[24:594] Yang Bought HazmatSuit
