Analyzed: Oh No It's Zombies Arctic Updated (574)

ID : 0 PlayerName: preSENT Race: Terran
ID : 1 PlayerName: Toxicpanda Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: Harambe Race: Terran
ID : 4 PlayerName: ProDem Race: Zerg
ID : 5 PlayerName: Mayor Race: Terran
ID : 6 PlayerName: lman Race: Terran
ID : 7 PlayerName: Security Race: Terran
ProDem Zombie Loss
Public Lobby

Game Length:[50:426]
Players ammount: 8
Marine rank avg: 4,5
GrandMaster ammount: 3
PURCHASES: 
[00:588] preSENT Unlocked AssaultRifle
[00:667] preSENT Placed/Upgraded MiningDroid
[00:797] preSENT Unlocked AdvancedDroidEngines
[02:769] preSENT Unlocked TurboDroidEngines
[04:215] preSENT Unlocked Flamethrower
[05:952] preSENT Unlocked SpecOpsFlamethrower
[07:511] preSENT Unlocked CryoFreeze
[07:792] preSENT Unlocked SuperHealingDrone
[10:906] preSENT Unlocked LongRangeIncinerators
[10:957] preSENT Unlocked Stimpack
[12:732] preSENT Unlocked Shieldsiotunlocked
[12:738] preSENT Unlocked AdvancedShieldSuit
[15:863] preSENT Unlocked PsiDisrupter
[15:948] preSENT Unlocked PsiDepressor
[16:098] preSENT Placed/Upgraded PsiIndoctrinator
[17:360] preSENT Unlocked CombatShield
[20:209] preSENT Unlocked SpecOpsSuperHealingDrone
[00:588] Toxicpanda Unlocked AssaultRifle
[00:698] Toxicpanda Placed/Upgraded MiningDroid
[00:846] Toxicpanda Unlocked ArcWelder
[01:711] Toxicpanda Unlocked BioMechanicalRepairDrone
[01:723] Toxicpanda Unlocked CombatAccelerationDrone
[03:268] Toxicpanda Placed/Upgraded HealingDrone
[03:438] Toxicpanda Placed/Upgraded HealingDrone
[04:091] Toxicpanda Placed/Upgraded HealingDrone
[12:733] Toxicpanda Bought ShieldSuit
[12:733] Toxicpanda Bought CombatSuit
[12:733] Toxicpanda Bought HazmatSuit
[12:733] Toxicpanda Bought ShieldSuit
[12:739] Toxicpanda Bought ShieldSuit
[20:701] Toxicpanda Unlocked PsiDisrupter
[20:755] Toxicpanda Placed/Upgraded PsiIndoctrinator
[20:964] Toxicpanda Unlocked ForceFieldGrenade
[21:035] Toxicpanda Placed/Upgraded HealingDrone
[21:361] Toxicpanda Placed/Upgraded HealingDrone
[22:449] Toxicpanda Placed/Upgraded HealingDrone
[22:774] Toxicpanda Unlocked SpecOpsPsiDisruptor
[29:014] Toxicpanda Unlocked AutoTurret
[29:047] Toxicpanda Unlocked HeavyTurret
[29:139] Toxicpanda Unlocked QuantumBackpack
[29:224] Toxicpanda Unlocked EnergySuit
[29:225] Toxicpanda Unlocked EnergySuit
[29:702] Toxicpanda Placed/Upgraded AutoTurret
[30:123] Toxicpanda Placed/Upgraded AutoTurret
[30:368] Toxicpanda Placed/Upgraded AutoTurret
[30:549] Toxicpanda Placed/Upgraded AutoTurret
[30:786] Toxicpanda Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
[00:673] Frosky Placed/Upgraded MiningDroid
[00:704] Frosky Unlocked Shotgun
[02:617] Frosky Unlocked AdvancedDroidEngines
[05:310] Frosky Placed/Upgraded MiningDroid
[05:407] Frosky Unlocked SpecOpsShotgun
[10:333] Frosky Unlocked SuperStimpack
[11:772] Frosky Unlocked HazmatSuit
[11:779] Frosky Unlocked AdvancedHazmatSuit
[12:021] Frosky Unlocked HighPrecisionBeams
[14:169] Frosky Unlocked AutoTurret
[14:224] Frosky Unlocked HeavyTurret
[14:276] Frosky Placed/Upgraded AutoTurret
[15:900] Frosky Unlocked Stimpack
[17:613] Frosky Unlocked MedicShield
[21:350] Frosky Unlocked BioMechanicalRepairDrone
[21:396] Frosky Placed/Upgraded HealingDrone
[22:437] Frosky Placed/Upgraded HealingDrone
[23:758] Frosky Placed/Upgraded MiningDroid
[24:192] Frosky Placed/Upgraded HealingDrone
[24:897] Frosky Unlocked SpecOpsSuperStimpack
[29:225] Frosky Bought ShieldSuit
[29:225] Frosky Bought CombatSuit
[29:225] Frosky Bought HazmatSuit
[29:941] Frosky Unlocked QuantumBackpack
[00:588] Harambe Unlocked AssaultRifle
[03:629] Harambe Placed MiningDroid
[04:658] Harambe Unlocked HellfireRocketLauncher
[04:693] Harambe Unlocked SpecOpsHellfireRocketLauncher
[04:847] Harambe Unlocked RocketLauncherMod1
[05:165] Harambe Unlocked CombatSuit
[05:338] Harambe Unlocked AdvancedCombatSuit
[08:335] Harambe Unlocked OverloadWeapon
[09:211] Harambe Unlocked AIAssistant
[11:773] Harambe Bought ShieldSuit
[11:773] Harambe Bought CombatSuit
[11:773] Harambe Bought HazmatSuit
[11:773] Harambe Bought HazmatSuit
[11:780] Harambe Bought HazmatSuit
[16:053] Harambe Placed MiningDroid
[16:756] Harambe Unlocked FragGrenade
[16:784] Harambe Unlocked SpecOpsFragGrenade
[00:552] ProDem Bought PlayerNumber
[01:094] ProDem Placed/Upgraded PrimalSunkenColony
[01:095] ProDem Bought SunkenColony
[02:381] ProDem Spawned MassiveCocoon
[02:407] ProDem Bought SunkenColony
[03:764] ProDem Bought CreepSpeed
[03:821] ProDem Spawned Hunter
[05:093] ProDem Placed/Upgraded PrimalSunkenColony
[05:094] ProDem Bought SunkenColony
[05:166] ProDem Bought ShieldSuit
[05:166] ProDem Bought CombatSuit
[05:166] ProDem Bought HazmatSuit
[05:166] ProDem Bought CombatSuit
[05:339] ProDem Bought CombatSuit
[06:758] ProDem Bought SunkenColony
[07:442] ProDem Placed/Upgraded LesserNydusWorm
[07:443] ProDem Bought GreaterNydus
[07:878] ProDem Bought UnlockDropPods
[07:888] ProDem Bought EvolveDropPods
[07:891] ProDem Bought EvolveDropPods
[09:113] ProDem Bought EvolveDropPods
[09:117] ProDem Bought EvolveDropPods
[09:680] ProDem Bought BuildExtractorScienceLabs
[09:680] ProDem Placed/Upgraded AutomatedExtractor
[11:415] ProDem Bought AdvancedInfestationContainment
[11:694] ProDem Placed/Upgraded Virophage
[12:472] ProDem Placed/Upgraded LesserNydusWorm
[12:473] ProDem Bought GreaterNydus
[13:649] ProDem Bought EvolveDropPods
[13:653] ProDem Bought EvolveDropPods
[16:142] ProDem Bought CreepSpeed
[16:525] ProDem Bought StrainVolatile
[17:546] ProDem Placed/Upgraded PrimalSunkenColony
[17:547] ProDem Bought SunkenColony
[18:536] ProDem Bought PureStrainVolatile
[18:583] ProDem Bought StrainSpeed
[19:786] ProDem Placed/Upgraded LesserNydusWorm
[19:787] ProDem Bought GreaterNydus
[19:884] ProDem Bought BuildExtractorProcessingFacilities
[19:884] ProDem Placed/Upgraded AutomatedExtractor
[19:948] ProDem Bought BuildExtractorManufacturingSector
[19:948] ProDem Placed/Upgraded AutomatedExtractor
[20:495] ProDem Bought ExtractorCostReductionManufacturingSector
[20:495] ProDem Bought BuildExtractorManufacturingSector
[21:654] ProDem Bought ConstructiveCreep
[21:674] ProDem Placed/Upgraded LesserNydusWorm
[21:675] ProDem Bought GreaterNydus
[22:275] ProDem Bought SunkenColony
[22:681] ProDem Bought BuildExtractorExcavationZone
[22:681] ProDem Placed/Upgraded AutomatedExtractor
[22:901] ProDem Spawned MassiveCocoon
[23:843] ProDem Bought PureStrainSpeed
[23:974] ProDem Bought SiphonFuel
[23:981] ProDem Spawned Underseer
[24:072] ProDem Placed/Upgraded Virophage
[24:630] ProDem Bought HunterlingStrain
[25:624] ProDem Placed/Upgraded NydusCanalCreeper
[25:798] ProDem Placed/Upgraded LesserNydusWorm
