Analyzed: Oh No It's Zombies Arctic Updated (575)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Cereal Race: Zerg
ID : 2 PlayerName: Dougstyles Race: Terran
ID : 3 PlayerName: KingOfWinter Race: Terran
ID : 4 PlayerName: PokieZombie Race: Terran
ID : 5 PlayerName: Slon Race: Terran
ID : 6 PlayerName: Zepherd Race: Terran
ID : 7 PlayerName: Security Race: Terran
Cereal Zombie Loss
Public Lobby

Game Length:[33:581]
Players ammount: 8
Marine rank avg: 8
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[00:880] Frosky Unlocked Shotgun
[04:426] Frosky Unlocked AdvancedDroidEngines
[06:706] Frosky Unlocked Stimpack
[07:774] Frosky Unlocked SpecOpsShotgun
[09:660] Frosky Unlocked TurboDroidEngines
[11:550] Frosky Unlocked ExplorationDroid
[11:584] Frosky Placed ExplorationDroid
[11:639] Frosky Placed ExplorationDroid
[13:106] Frosky Unlocked BioMechanicalRepairDrone
[13:147] Frosky Placed HealingDrone
[13:431] Frosky Unlocked HighPrecisionBeams
[13:990] Frosky Unlocked SuperStimpack
[14:744] Frosky Unlocked CombatShield
[15:726] Frosky Unlocked HazmatSuit
[16:136] Frosky Unlocked AdvancedHazmatSuit
[17:377] Frosky Unlocked AIAssistant
[17:417] Frosky Unlocked EnergyPack
[18:196] Frosky Placed HealingDrone
[19:441] Frosky Placed HealingDrone
[20:132] Frosky Placed HealingDrone
[21:158] Frosky Unlocked SpecOpsSuperStimpack
[21:191] Frosky Unlocked AutoTurret
[21:213] Frosky Unlocked HeavyTurret
[21:240] Frosky Unlocked QuantumBackpack
[21:482] Frosky Placed AutoTurret
[21:676] Frosky Placed AutoTurret
[21:980] Frosky Placed AutoTurret
[22:215] Frosky Placed AutoTurret
[24:074] Frosky Placed ExplorationDroid
[24:345] Frosky Unlocked PsiDisrupter
[24:358] Frosky Unlocked PsiDepressor
[24:543] Frosky Placed PsiIndoctrinator
[25:111] Frosky Placed AutoTurret
[25:314] Frosky Placed AutoTurret
[27:016] Frosky Placed AutoTurret
[27:198] Frosky Placed HealingDrone
[27:386] Frosky Placed AutoTurret
[28:584] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[28:809] Frosky Placed HealingDrone
[29:120] Frosky Placed HealingDrone
[00:552] Cereal Bought PlayerNumber
[01:099] Cereal Bought StrainDamage
[02:452] Cereal Bought StrainHealth
[04:254] Cereal Bought StrainVolatile
[06:101] Cereal Bought StrainSpeed
[06:995] Cereal Bought RegenerativeCreep
[09:324] Cereal Bought StrainDamage
[10:403] Cereal Bought PureStrainDamage
[13:184] Cereal Bought DefilerStrain
[14:643] Cereal Bought PureStrainVolatile
[15:691] Cereal Bought BuildExtractorProcessingFacilities
