Analyzed: Oh No It's Zombies Arctic Updated (578)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Sneakyyeww Race: Terran
ID : 2 PlayerName: Atom Race: Terran
ID : 3 PlayerName: Ascherit Race: Terran
ID : 4 PlayerName: ModX Race: Terran
ID : 5 PlayerName: GianCarlo Race: Terran
ID : 6 PlayerName: lman Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Frosky Zombie Loss
Public Lobby

Game Length:[34:438]
Players ammount: 8
Marine rank avg: 3,6666666666666665
GrandMaster ammount: 2
PURCHASES: 
[01:138] Frosky Bought StrainSpeed
[03:265] Frosky Bought PureStrainSpeed
[05:500] Frosky Bought HunterlingStrain
[07:462] Frosky Bought CreepSpeed
[10:269] Frosky Bought StrainVolatile
[12:788] Frosky Bought PureStrainVolatile
[14:177] Frosky Bought KaboomerStrain
[16:997] Frosky Bought StrainHealth
[17:843] Frosky Bought PureStrainHealth
[19:176] Frosky Placed/Upgraded Virophage
[23:210] Frosky Bought TankStrain
[24:925] Frosky Placed/Upgraded Virophage
[27:788] Frosky Bought AdvancedInfestationContainment
[28:412] Frosky Bought DropshipsFueled
[28:510] Frosky Spawned RoyalCocoon
[28:510] Frosky Bought SpawnHiveQueen
[28:510] Frosky Bought UltimateInfestationResearched
[29:229] Frosky Spawned QueenCoop
[29:336] Frosky Bought SpawnNydusWorm
[29:531] Frosky Spawned MassiveCocoon
[30:045] Frosky Placed/Upgraded NydusCanalCreeper
[30:611] Frosky Spawned Underseer
[31:619] Frosky Placed/Upgraded GreaterNydusWorm
[32:797] Frosky Bought SunkenColony
[32:797] Frosky Placed/Upgraded PrimalSunkenColony
[33:107] Frosky Bought SunkenColony
[33:132] Frosky Bought UnlockDropPods
[00:588] Sneakyyeww Unlocked AssaultRifle
[00:739] Sneakyyeww Placed/Upgraded MiningDroid
[00:758] Sneakyyeww Unlocked AdvancedDroidEngines
[03:678] Sneakyyeww Unlocked Flamethrower
[03:684] Sneakyyeww Unlocked SpecOpsFlamethrower
[05:060] Sneakyyeww Unlocked BioMechanicalRepairDrone
[06:849] Sneakyyeww Unlocked TurboDroidEngines
[08:299] Sneakyyeww Placed/Upgraded HealingDrone
[09:065] Sneakyyeww Unlocked OverloadWeapon
[09:917] Sneakyyeww Unlocked ExplorationDroid
[09:937] Sneakyyeww Placed/Upgraded ExplorationDroid
[09:944] Sneakyyeww Placed/Upgraded ExplorationDroid
[10:068] Sneakyyeww Placed/Upgraded ExplorationDroid
[11:081] Sneakyyeww Placed/Upgraded HealingDrone
[11:776] Sneakyyeww Unlocked CombatShield
[12:227] Sneakyyeww Unlocked HazmatSuit
[12:228] Sneakyyeww Unlocked ShieldSuit
[12:228] Sneakyyeww Unlocked AdvancedShieldSuit
[12:228] Sneakyyeww Unlocked CombatSuit
[12:228] Sneakyyeww Unlocked AdvancedCombatSuit
[12:228] Sneakyyeww Unlocked HazmatSuit
[12:228] Sneakyyeww Unlocked AdvancedHazmatSuit
[12:228] Sneakyyeww Unlocked HazmatSuit
[12:469] Sneakyyeww Placed/Upgraded HealingDrone
[12:688] Sneakyyeww Placed/Upgraded HealingDrone
[12:879] Sneakyyeww Placed/Upgraded HealingDrone
[15:151] Sneakyyeww Unlocked AdvancedHazmatSuit
[15:152] Sneakyyeww Unlocked HazmatSuit
[15:152] Sneakyyeww Unlocked AdvancedHazmatSuit
[15:188] Sneakyyeww Unlocked SpecOpsBioMechanicalRepairDrone
[15:384] Sneakyyeww Unlocked OpticalVisor
[16:102] Sneakyyeww Unlocked CryoFreeze
[16:386] Sneakyyeww Placed/Upgraded HealingDrone
[16:611] Sneakyyeww Placed/Upgraded HealingDrone
[17:865] Sneakyyeww Unlocked EnergyPack
[20:020] Sneakyyeww Placed/Upgraded HealingDrone
[21:126] Sneakyyeww Unlocked SuperHealingDrone
[21:134] Sneakyyeww Unlocked SpecOpsSuperHealingDrone
[22:941] Sneakyyeww Placed/Upgraded HealingDrone
[23:358] Sneakyyeww Placed/Upgraded HealingDrone
[23:731] Sneakyyeww Placed/Upgraded HealingDrone
[26:440] Sneakyyeww Unlocked ForceFieldGrenade
[26:449] Sneakyyeww Unlocked SpecOpsForcefieldGrenade
[27:022] Sneakyyeww Unlocked QuantumBackpack
[27:048] Sneakyyeww Unlocked AutoTurret
[27:066] Sneakyyeww Unlocked HeavyTurret
[27:303] Sneakyyeww Placed/Upgraded HealingDrone
[27:993] Sneakyyeww Placed/Upgraded HealingDrone
[28:485] Sneakyyeww Placed/Upgraded HealingDrone
[29:038] Sneakyyeww Placed/Upgraded HealingDrone
[30:011] Sneakyyeww Placed/Upgraded HealingDrone
[31:614] Sneakyyeww Placed/Upgraded HealingDrone
[32:232] Sneakyyeww Placed/Upgraded HealingDrone
[00:588] Atom Unlocked AssaultRifle
[00:667] Atom Placed/Upgraded MiningDroid
[00:823] Atom Unlocked FragGrenade
[00:831] Atom Unlocked SpecOpsFragGrenade
[01:991] Atom Unlocked AdvancedDroidEngines
[06:658] Atom Unlocked TurboDroidEngines
[07:953] Atom Unlocked Shotgun
[09:711] Atom Unlocked SpecOpsShotgun
[10:586] Atom Unlocked HighPrecisionBeams
[11:480] Atom Unlocked OverloadWeapon
[12:449] Atom Unlocked CombatSuit
[12:450] Atom Unlocked ShieldSuit
[12:450] Atom Unlocked AdvancedShieldSuit
[12:450] Atom Unlocked CombatSuit
[12:450] Atom Unlocked AdvancedCombatSuit
[12:450] Atom Unlocked HazmatSuit
[12:450] Atom Unlocked AdvancedHazmatSuit
[12:450] Atom Unlocked CombatSuit
[13:232] Atom Unlocked AdvancedCombatSuit
[13:233] Atom Unlocked CombatSuit
[13:233] Atom Unlocked AdvancedCombatSuit
[14:477] Atom Unlocked CloakingDevice
[15:286] Atom Unlocked BioMechanicalRepairDrone
[15:649] Atom Placed/Upgraded HealingDrone
[16:090] Atom Unlocked CombatShield
[16:486] Atom Placed/Upgraded HealingDrone
[16:830] Atom Unlocked EnergyPack
[18:959] Atom Unlocked SpecOpsCloakingDevice
[19:745] Atom Unlocked AIAssistant
[21:357] Atom Unlocked ExplorationDroid
[21:370] Atom Unlocked AdvancedExplorationDroid
[21:396] Atom Placed/Upgraded ExplorationDroid
[21:418] Atom Placed/Upgraded ExplorationDroid
[22:341] Atom Unlocked MiningCharge
[22:913] Atom Unlocked AdvancedMiningCharge
[26:480] Atom Placed/Upgraded HealingDrone
[26:900] Atom Placed/Upgraded HealingDrone
[27:835] Atom Placed/Upgraded HealingDrone
[00:588] Ascherit Unlocked AssaultRifle
[00:667] Ascherit Placed/Upgraded MiningDroid
[00:791] Ascherit Unlocked IncendiaryGrenade
[00:821] Ascherit Unlocked BioMechanicalRepairDrone
[03:635] Ascherit Unlocked AdvancedDroidEngines
[03:952] Ascherit Unlocked EnergyPack
[05:562] Ascherit Placed/Upgraded HealingDrone
