Analyzed: Oh No It's Zombies Arctic Updated (579)

ID : 0 PlayerName: Atom Race: Zerg
ID : 1 PlayerName: GianCarlo Race: Terran
ID : 2 PlayerName: Ascherit Race: Terran
ID : 3 PlayerName: lman Race: Terran
ID : 4 PlayerName: Sneakyyeww Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Diveyoc Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Atom Zombie Loss
Public Lobby

Game Length:[38:180]
Players ammount: 8
Marine rank avg: 4,833333333333333
GrandMaster ammount: 2
PURCHASES: 
[01:045] Atom Spawned MassiveCocoon
[02:485] Atom Spawned InfestedAbomination
[02:783] Atom Placed/Upgraded PrimalSunkenColony
[02:784] Atom Bought SunkenColony
[03:437] Atom Placed/Upgraded PrimalSunkenColony
[03:438] Atom Bought SunkenColony
[04:598] Atom Bought AdvancedInfestationContainment
[06:033] Atom Bought BuildExtractorScienceLabs
[06:033] Atom Placed/Upgraded AutomatedExtractor
[06:878] Atom Bought CreepSpeed
[08:431] Atom Bought VirulentCreep
[10:218] Atom Bought CreepSpeed
[11:310] Atom Spawned MassiveCocoon
[11:526] Atom Bought RegenerativeCreep
[12:390] Atom Spawned Underseer
[12:648] Atom Bought UnlockDropPods
[14:473] Atom Bought EvolveDropPods
[14:476] Atom Bought EvolveDropPods
[15:013] Atom Bought EvolveDropPods
[15:453] Atom Bought BuildExtractorManufacturingSector
[15:453] Atom Placed/Upgraded AutomatedExtractor
[15:834] Atom Bought EvolveDropPods
[16:309] Atom Placed/Upgraded PrimalSunkenColony
[16:310] Atom Bought SunkenColony
[16:400] Atom Bought EvolveDropPods
[17:671] Atom Bought EvolveDropPods
[17:727] Atom Placed/Upgraded Virophage
[17:753] Atom Bought SunkenColony
[19:175] Atom Bought SpawnNydusWorm
[19:479] Atom Bought StrainSpeed
[20:052] Atom Bought PureStrainSpeed
[20:073] Atom Placed/Upgraded GreaterNydusWorm
[21:353] Atom Bought HunterlingStrain
[22:135] Atom Spawned MassiveCocoon
[22:419] Atom Bought SiphonFuel
[22:924] Atom Bought ExtractorCostReductionManufacturingSector
[22:924] Atom Bought BuildExtractorManufacturingSector
[23:215] Atom Spawned Underseer
[23:310] Atom Bought StrainDamage
[24:209] Atom Bought PureStrainDamage
[24:644] Atom Placed/Upgraded NydusCanalCreeper
[25:546] Atom Bought SiphonFuel
[26:869] Atom Placed/Upgraded Virophage
[28:060] Atom Bought DefilerStrain
[28:473] Atom Placed/Upgraded GreaterNydusWorm
[29:020] Atom Bought DropshipsFueled
[29:095] Atom Spawned RoyalCocoon
[29:095] Atom Bought SpawnHiveQueen
[29:095] Atom Bought UltimateInfestationResearched
[29:814] Atom Spawned QueenCoop
[31:343] Atom Bought StrainDamage
[32:208] Atom Bought ConstructiveCreep
[32:480] Atom Bought PureStrainDamage
[32:949] Atom Placed/Upgraded NydusCanalCreeper
