Analyzed: Oh No It's Zombies Arctic Updated (582)

ID : 0 PlayerName: Chill Race: Terran
ID : 1 PlayerName: Dougstyles Race: Terran
ID : 2 PlayerName: LordIgnac Race: Zerg
ID : 3 PlayerName: YonEsNou Race: Terran
ID : 4 PlayerName: Might Race: Terran
ID : 5 PlayerName: jhoanleco Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
LordIgnac Zombie Win
Public Lobby

Game Length:[33:581]
Players ammount: 8
Marine rank avg: 2,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] Chill Unlocked AssaultRifle
[00:991] Chill Placed/Upgraded MiningDroid
[04:391] Chill Unlocked BeamRifle
[04:414] Chill Unlocked SpecOpsPlasmaRifle
[07:234] Chill Unlocked PlasmaRifleMod3
[18:868] Chill Unlocked Shieldsiotunlocked
[18:892] Chill Unlocked AdvancedShieldSuit
[18:983] Chill Unlocked PsiDisrupter
[22:405] Chill Placed/Upgraded PsiIndoctrinator
[00:588] Dougstyles Unlocked AssaultRifle
[00:667] Dougstyles Placed MiningDroid
[00:860] Dougstyles Unlocked AdvancedDroidEngines
[06:903] Dougstyles Unlocked SpecOpsAssaultRifle
[07:302] Dougstyles Unlocked TitaniumBulletCasings
[18:869] Dougstyles Bought ShieldSuit
[18:869] Dougstyles Bought CombatSuit
[18:869] Dougstyles Bought HazmatSuit
[18:869] Dougstyles Bought ShieldSuit
[18:893] Dougstyles Bought ShieldSuit
[20:159] Dougstyles Unlocked CombatSuit
[20:191] Dougstyles Unlocked AdvancedCombatSuit
[23:513] Dougstyles Unlocked OverloadWeapon
[23:884] Dougstyles Unlocked SuperStimpack
[00:552] LordIgnac Bought PlayerNumber
[06:607] LordIgnac Spawned MassiveCocoon
[06:613] LordIgnac Spawned MassiveCocoon
[06:623] LordIgnac Spawned MassiveCocoon
[07:019] LordIgnac Bought StrainSpeed
[08:047] LordIgnac Spawned PrimalTownHallUprooted
[08:053] LordIgnac Spawned PrimalTownHallUprooted
[08:063] LordIgnac Spawned PrimalTownHallUprooted
[08:924] LordIgnac Bought StrainSpeed
