Analyzed: Oh No It's Zombies Arctic Updated (587)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: GreyWanderer Race: Terran
ID : 2 PlayerName: CallMePala Race: Terran
ID : 3 PlayerName: treename Race: Terran
ID : 4 PlayerName: Harambe Race: Terran
ID : 5 PlayerName: dwarfplanet Race: Zerg
ID : 6 PlayerName: commander Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
dwarfplanet Zombie Loss
Public Lobby

Game Length:[38:263]
Players ammount: 8
Marine rank avg: 5,166666666666667
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:721] Frosky Unlocked Flamethrower
[02:880] Frosky Unlocked SpecOpsFlamethrower
[04:459] Frosky Unlocked BioMechanicalRepairDrone
[06:692] Frosky Placed/Upgraded HealingDrone
[07:595] Frosky Placed/Upgraded HealingDrone
[07:807] Frosky Unlocked CombatShield
[08:442] Frosky Placed/Upgraded HealingDrone
[08:865] Frosky Unlocked HazmatSuit
[09:307] Frosky Unlocked ExplorationDroid
[12:521] Frosky Unlocked Stimpack
[12:575] Frosky Unlocked AdvancedHazmatSuit
[13:419] Frosky Placed/Upgraded HealingDrone
[13:850] Frosky Placed/Upgraded HealingDrone
[14:173] Frosky Placed/Upgraded HealingDrone
[19:447] Frosky Unlocked AutoTurret
[19:459] Frosky Unlocked HeavyTurret
[19:490] Frosky Unlocked QuantumBackpack
[19:559] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[20:530] Frosky Placed/Upgraded AutoTurret
[20:715] Frosky Placed/Upgraded AutoTurret
[21:394] Frosky Placed/Upgraded AutoTurret
[21:590] Frosky Placed/Upgraded HealingDrone
[21:763] Frosky Placed/Upgraded AutoTurret
[21:975] Frosky Placed/Upgraded HealingDrone
[22:097] Frosky Unlocked IncendiaryGrenade
[22:484] Frosky Placed/Upgraded AutoTurret
[22:957] Frosky Placed/Upgraded HealingDrone
[23:658] Frosky Placed/Upgraded HealingDrone
[25:610] Frosky Unlocked AdvancedDroidEngines
[26:704] Frosky Unlocked CryoFreeze
[26:911] Frosky Placed/Upgraded HealingDrone
[27:528] Frosky Placed/Upgraded HealingDrone
[28:097] Frosky Placed/Upgraded HealingDrone
[29:589] Frosky Unlocked PsiDisrupter
[30:432] Frosky Unlocked PsiDepressor
[30:608] Frosky Placed/Upgraded PsiIndoctrinator
[31:021] Frosky Placed/Upgraded AutoTurret
[31:191] Frosky Placed/Upgraded AutoTurret
[35:674] Frosky Placed/Upgraded AutoTurret
[00:588] GreyWanderer Unlocked AssaultRifle
[00:673] GreyWanderer Placed/Upgraded MiningDroid
[01:101] GreyWanderer Unlocked Shotgun
[04:999] GreyWanderer Unlocked AdvancedDroidEngines
[08:866] GreyWanderer Bought ShieldSuit
[08:866] GreyWanderer Bought CombatSuit
[08:866] GreyWanderer Bought HazmatSuit
[08:866] GreyWanderer Bought HazmatSuit
[09:927] GreyWanderer Placed/Upgraded MiningDroid
[11:958] GreyWanderer Unlocked TurboDroidEngines
[12:576] GreyWanderer Bought HazmatSuit
[14:276] GreyWanderer Unlocked SpecOpsShotgun
[14:315] GreyWanderer Unlocked HighPrecisionBeams
[15:649] GreyWanderer Unlocked SuperStimpack
[16:727] GreyWanderer Unlocked Stimpack
[18:590] GreyWanderer Unlocked SpecOpsSuperStimpack
[19:447] GreyWanderer Unlocked Shieldsiotunlocked
[22:367] GreyWanderer Unlocked AdvancedShieldSuit
[22:425] GreyWanderer Unlocked CombatShield
[22:432] GreyWanderer Unlocked EnergyPack
[22:439] GreyWanderer Unlocked OpticalVisor
[22:517] GreyWanderer Unlocked BioMechanicalRepairDrone
[22:536] GreyWanderer Unlocked PsiDisrupter
[23:697] GreyWanderer Placed/Upgraded PsiIndoctrinator
[27:176] GreyWanderer Unlocked SpecOpsPsiDisruptor
[28:079] GreyWanderer Unlocked SpecOpsBioMechanicalRepairDrone
[28:137] GreyWanderer Placed/Upgraded HealingDrone
[29:793] GreyWanderer Placed/Upgraded HealingDrone
[29:970] GreyWanderer Placed/Upgraded HealingDrone
[30:437] GreyWanderer Unlocked MiningCharge
[30:445] GreyWanderer Unlocked AdvancedMiningCharge
[30:686] GreyWanderer Placed/Upgraded NukePack
[30:743] GreyWanderer Placed/Upgraded HealingDrone
[33:012] GreyWanderer Placed/Upgraded NukePack
[33:137] GreyWanderer Unlocked ExplorationDroid
[33:182] GreyWanderer Placed/Upgraded ExplorationDroid
[33:945] GreyWanderer Unlocked PsiDepressor
[34:247] GreyWanderer Placed/Upgraded PsiIndoctrinator
[34:735] GreyWanderer Placed/Upgraded NukePack
[34:862] GreyWanderer Placed/Upgraded HealingDrone
[00:588] CallMePala Unlocked AssaultRifle
[00:732] CallMePala Placed/Upgraded MiningDroid
[00:790] CallMePala Unlocked FragGrenade
[02:349] CallMePala Unlocked BeamRifle
[04:957] CallMePala Unlocked SpecOpsPlasmaRifle
[10:227] CallMePala Placed/Upgraded MiningDroid
[11:406] CallMePala Unlocked ExplorationDroid
[11:502] CallMePala Placed/Upgraded ExplorationDroid
[12:153] CallMePala Placed/Upgraded ExplorationDroid
[14:074] CallMePala Unlocked PlasmaRifleMod3
[15:353] CallMePala Unlocked SpecOpsFragGrenade
[15:456] CallMePala Unlocked CombatSuit
[16:342] CallMePala Unlocked CombatShield
[17:878] CallMePala Placed/Upgraded ExplorationDroid
[18:023] CallMePala Unlocked LongRangeScope
[19:448] CallMePala Bought ShieldSuit
[19:448] CallMePala Bought CombatSuit
[19:448] CallMePala Bought HazmatSuit
[19:448] CallMePala Bought ShieldSuit
[20:461] CallMePala Unlocked HazmatSuit
[20:464] CallMePala Unlocked AdvancedHazmatSuit
[20:785] CallMePala Unlocked Stimpack
[21:429] CallMePala Placed/Upgraded ExplorationDroid
[21:753] CallMePala Unlocked BioMechanicalRepairDrone
[21:803] CallMePala Placed/Upgraded ExplorationDroid
[22:368] CallMePala Bought ShieldSuit
[23:597] CallMePala Placed/Upgraded HealingDrone
[24:219] CallMePala Placed/Upgraded ExplorationDroid
[26:391] CallMePala Placed/Upgraded ExplorationDroid
[26:534] CallMePala Placed/Upgraded HealingDrone
[26:691] CallMePala Placed/Upgraded ExplorationDroid
[26:890] CallMePala Placed/Upgraded HealingDrone
[27:456] CallMePala Placed/Upgraded HealingDrone
[29:147] CallMePala Unlocked PowerConverter
[29:154] CallMePala Unlocked SpecOpsPowerConverter
[29:471] CallMePala Unlocked AdvancedExplorationDroid
[30:378] CallMePala Placed/Upgraded HealingDrone
[30:722] CallMePala Placed/Upgraded HealingDrone
[31:335] CallMePala Placed/Upgraded HealingDrone
[35:928] CallMePala Placed/Upgraded HealingDrone
[36:454] CallMePala Placed/Upgraded HealingDrone
[00:588] treename Unlocked AssaultRifle
[00:722] treename Placed/Upgraded MiningDroid
[00:813] treename Unlocked AdvancedDroidEngines
[04:660] treename Unlocked Stimpack
[04:789] treename Unlocked IncendiaryGrenade
[04:839] treename Unlocked SpecOpsIncendiaryGrenade
[07:413] treename Unlocked SpecOpsAssaultRifle
[08:796] treename Unlocked TitaniumBulletCasings
[09:034] treename Unlocked ExplorationDroid
[09:160] treename Placed/Upgraded ExplorationDroid
[10:965] treename Unlocked EnergySuit
[10:966] treename Unlocked EnergySuit
[10:974] treename Unlocked AdvancedEnergySuit
[10:975] treename Unlocked EnergySuit
[10:975] treename Unlocked AdvancedEnergySuit
[11:429] treename Placed/Upgraded ExplorationDroid
[12:733] treename Unlocked BioMechanicalRepairDrone
[12:783] treename Placed/Upgraded HealingDrone
[13:045] treename Unlocked SuperStimpack
[14:295] treename Placed/Upgraded HealingDrone
[14:830] treename Placed/Upgraded HealingDrone
[15:227] treename Placed/Upgraded HealingDrone
[15:457] treename Bought ShieldSuit
[15:457] treename Bought CombatSuit
[15:457] treename Bought HazmatSuit
[15:457] treename Bought CombatSuit
[19:527] treename Unlocked SpecOpsSuperStimpack
[19:599] treename Unlocked CombatShield
[19:611] treename Unlocked EnergyPack
[19:651] treename Unlocked OpticalVisor
[19:744] treename Unlocked SpecOpsBioMechanicalRepairDrone
[20:080] treename Unlocked AutoTurret
[20:122] treename Unlocked HeavyTurret
[20:462] treename Bought ShieldSuit
[20:462] treename Bought CombatSuit
[20:462] treename Bought HazmatSuit
[20:462] treename Bought HazmatSuit
[20:465] treename Bought HazmatSuit
[22:524] treename Placed/Upgraded HealingDrone
[23:001] treename Placed/Upgraded HealingDrone
[26:015] treename Unlocked MiningCharge
[26:612] treename Placed/Upgraded HealingDrone
[26:806] treename Placed/Upgraded HealingDrone
[28:522] treename Placed/Upgraded HealingDrone
[29:036] treename Placed/Upgraded NukePack
[29:187] treename Placed/Upgraded AutoTurret
[29:451] treename Placed/Upgraded AutoTurret
[29:557] treename Unlocked PsiDisrupter
[29:573] treename Unlocked PsiDepressor
[29:749] treename Placed/Upgraded PsiIndoctrinator
[29:876] treename Placed/Upgraded NukePack
[30:054] treename Placed/Upgraded NukePack
[30:163] treename Placed/Upgraded HealingDrone
[30:442] treename Placed/Upgraded AutoTurret
[30:658] treename Placed/Upgraded AutoTurret
[30:831] treename Placed/Upgraded AutoTurret
[31:043] treename Placed/Upgraded HealingDrone
[31:334] treename Placed/Upgraded AutoTurret
[31:528] treename Placed/Upgraded HealingDrone
[32:187] treename Unlocked RechargeDrone
[32:236] treename Placed/Upgraded HealingDrone
[33:030] treename Placed/Upgraded HealingDrone
[33:208] treename Placed/Upgraded HealingDrone
[34:663] treename Placed/Upgraded NukePack
[34:841] treename Placed/Upgraded HealingDrone
[35:735] treename Placed/Upgraded HealingDrone
[36:126] treename Placed/Upgraded HealingDrone
[00:588] Harambe Unlocked AssaultRifle
[01:298] Harambe Placed MiningDroid
[02:350] Harambe Unlocked HellfireRocketLauncher
[05:036] Harambe Unlocked SpecOpsHellfireRocketLauncher
[06:358] Harambe Unlocked RocketLauncherMod1
[08:770] Harambe Placed MiningDroid
[10:217] Harambe Unlocked CombatSuit
[10:966] Harambe Bought ShieldSuit
[10:966] Harambe Bought CombatSuit
[10:966] Harambe Bought HazmatSuit
[11:393] Harambe Unlocked OverloadWeapon
[13:831] Harambe Unlocked SuperStimpack
[16:021] Harambe Unlocked FragGrenade
[16:045] Harambe Unlocked SpecOpsFragGrenade
[18:268] Harambe Unlocked AutoTurret
[18:311] Harambe Unlocked HeavyTurret
[21:001] Harambe Placed AutoTurret
[21:213] Harambe Placed AutoTurret
[24:051] Harambe Placed AutoTurret
[33:132] Harambe Placed AutoTurret
