Analyzed: Oh No It's Zombies Arctic Updated (588)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Harambe Race: Terran
ID : 2 PlayerName: CallMePala Race: Terran
ID : 3 PlayerName: Gafe Race: Terran
ID : 4 PlayerName: Curlycheese Race: Zerg
ID : 5 PlayerName: lenux Race: Terran
ID : 6 PlayerName: jacklucky Race: Terran
ID : 7 PlayerName: Security Race: Terran
Curlycheese Zombie Loss
Public Lobby

Game Length:[40:219]
Players ammount: 8
Marine rank avg: 4,333333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:820] Frosky Unlocked Shotgun
[03:047] Frosky Unlocked AdvancedDroidEngines
[06:657] Frosky Unlocked TurboDroidEngines
[07:922] Frosky Unlocked SpecOpsShotgun
[09:098] Frosky Unlocked BioMechanicalRepairDrone
[09:320] Frosky Placed/Upgraded HealingDrone
[10:136] Frosky Unlocked SuperStimpack
[10:467] Frosky Placed/Upgraded HealingDrone
[11:071] Frosky Placed/Upgraded HealingDrone
[11:423] Frosky Unlocked CombatShield
[11:738] Frosky Unlocked HazmatSuit
[12:864] Frosky Unlocked AdvancedHazmatSuit
[13:539] Frosky Placed/Upgraded HealingDrone
[13:805] Frosky Placed/Upgraded HealingDrone
[14:994] Frosky Placed/Upgraded HealingDrone
[15:544] Frosky Unlocked SpecOpsSuperStimpack
[18:036] Frosky Placed/Upgraded MiningDroid
[18:331] Frosky Unlocked HighPrecisionBeams
[18:601] Frosky Placed/Upgraded HealingDrone
[19:611] Frosky Placed/Upgraded HealingDrone
[20:402] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[20:690] Frosky Placed/Upgraded HealingDrone
[23:702] Frosky Unlocked Stimpack
[24:082] Frosky Unlocked AutoTurret
[24:095] Frosky Unlocked HeavyTurret
[24:184] Frosky Unlocked QuantumBackpack
[24:188] Frosky Unlocked OpticalVisor
[25:519] Frosky Placed/Upgraded AutoTurret
[26:278] Frosky Placed/Upgraded MiningDroid
[30:915] Frosky Placed/Upgraded AutoTurret
[31:221] Frosky Placed/Upgraded AutoTurret
[31:961] Frosky Unlocked MiningCharge
[31:967] Frosky Unlocked AdvancedMiningCharge
[32:034] Frosky Placed/Upgraded NukePack
[32:185] Frosky Placed/Upgraded NukePack
[32:399] Frosky Placed/Upgraded NukePack
[33:224] Frosky Placed/Upgraded AutoTurret
[33:418] Frosky Placed/Upgraded AutoTurret
[33:760] Frosky Placed/Upgraded AutoTurret
[34:034] Frosky Placed/Upgraded AutoTurret
[34:608] Frosky Placed/Upgraded AutoTurret
[34:988] Frosky Placed/Upgraded AutoTurret
[36:367] Frosky Unlocked EnergyPack
[38:079] Frosky Unlocked MotionSensor
[38:157] Frosky Placed/Upgraded SensorTower
[00:588] Harambe Unlocked AssaultRifle
[01:466] Harambe Placed/Upgraded MiningDroid
[03:497] Harambe Unlocked HellfireRocketLauncher
[03:633] Harambe Unlocked SpecOpsHellfireRocketLauncher
[05:783] Harambe Unlocked RocketLauncherMod1
[07:729] Harambe Unlocked CombatSuit
[11:739] Harambe Bought ShieldSuit
[11:739] Harambe Bought CombatSuit
[11:739] Harambe Bought HazmatSuit
[11:739] Harambe Bought HazmatSuit
[11:924] Harambe Unlocked AutoTurret
[11:947] Harambe Unlocked HeavyTurret
[12:082] Harambe Unlocked OverloadWeapon
[12:865] Harambe Bought HazmatSuit
[14:588] Harambe Placed/Upgraded AutoTurret
[17:173] Harambe Placed/Upgraded AutoTurret
[17:590] Harambe Placed/Upgraded AutoTurret
[18:776] Harambe Unlocked FragGrenade
[18:796] Harambe Unlocked SpecOpsFragGrenade
[19:455] Harambe Placed/Upgraded AutoTurret
[19:662] Harambe Placed/Upgraded AutoTurret
[20:687] Harambe Placed/Upgraded AutoTurret
[23:821] Harambe Unlocked CloakingDevice
[23:847] Harambe Unlocked SpecOpsCloakingDevice
[24:351] Harambe Unlocked MedicShield
[25:543] Harambe Placed/Upgraded AutoTurret
[25:895] Harambe Placed/Upgraded AutoTurret
[30:115] Harambe Placed/Upgraded AutoTurret
[35:155] Harambe Placed/Upgraded AutoTurret
[35:961] Harambe Placed/Upgraded AutoTurret
[00:588] CallMePala Unlocked AssaultRifle
[00:810] CallMePala Unlocked ExplorationDroid
[00:860] CallMePala Placed/Upgraded ExplorationDroid
[00:898] CallMePala Placed/Upgraded ExplorationDroid
[01:059] CallMePala Placed/Upgraded MiningDroid
[04:411] CallMePala Unlocked BeamRifle
[06:241] CallMePala Unlocked SpecOpsPlasmaRifle
[07:730] CallMePala Bought ShieldSuit
[07:730] CallMePala Bought CombatSuit
[07:730] CallMePala Bought HazmatSuit
