Analyzed: Oh No It's Zombies Arctic Updated (590)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Chill Race: Terran
ID : 2 PlayerName: GustavAldogg Race: Terran
ID : 3 PlayerName: Diveyoc Race: Terran
ID : 4 PlayerName: GianCarlo Race: Terran
ID : 5 PlayerName: Erebus Race: Terran
ID : 6 PlayerName: Seanerz Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Frosky Zombie Win
Public Lobby

Game Length:[16:795]
Players ammount: 8
Marine rank avg: 5
GrandMaster ammount: 1
PURCHASES: 
[01:909] Frosky Spawned MassiveCocoon
[03:349] Frosky Spawned Hunter
[03:607] Frosky Placed/Upgraded ToxicNest
[03:620] Frosky Spawned MassiveCocoon
[05:060] Frosky Spawned Hunter
[05:065] Frosky Spawned MassiveCocoon
[06:197] Frosky Placed/Upgraded ToxicNest
[06:207] Frosky Placed/Upgraded ToxicNest
[06:222] Frosky Placed/Upgraded ToxicNest
[06:230] Frosky Placed/Upgraded ToxicNest
[06:505] Frosky Spawned PrimalTownHallUprooted
[07:008] Frosky Bought CreepSpeed
[09:706] Frosky Placed/Upgraded ToxicNest
[09:716] Frosky Placed/Upgraded ToxicNest
[09:790] Frosky Bought BuildExtractorScienceLabs
[09:790] Frosky Placed/Upgraded AutomatedExtractor
[12:793] Frosky Bought CreepSpeed
[13:554] Frosky Bought BuildExtractorProcessingFacilities
[13:554] Frosky Placed/Upgraded AutomatedExtractor
[00:588] Chill Unlocked AssaultRifle
[01:326] Chill Placed/Upgraded MiningDroid
[07:375] Chill Unlocked SpecOpsAssaultRifle
[00:588] GustavAldogg Unlocked AssaultRifle
[00:675] GustavAldogg Placed/Upgraded MiningDroid
[00:784] GustavAldogg Unlocked AdvancedDroidEngines
[00:830] GustavAldogg Unlocked IncendiaryGrenade
[03:856] GustavAldogg Unlocked SpecOpsAssaultRifle
[05:819] GustavAldogg Unlocked TitaniumBulletCasings
[06:942] GustavAldogg Unlocked OverloadWeapon
[08:809] GustavAldogg Unlocked TurboDroidEngines
[09:552] GustavAldogg Unlocked CombatSuit
[09:553] GustavAldogg Unlocked ShieldSuit
[09:553] GustavAldogg Unlocked AdvancedShieldSuit
[09:553] GustavAldogg Unlocked CombatSuit
[09:553] GustavAldogg Unlocked AdvancedCombatSuit
[09:553] GustavAldogg Unlocked HazmatSuit
[09:553] GustavAldogg Unlocked AdvancedHazmatSuit
[09:553] GustavAldogg Unlocked CombatSuit
[10:746] GustavAldogg Unlocked AdvancedCombatSuit
[10:747] GustavAldogg Unlocked CombatSuit
[10:747] GustavAldogg Unlocked AdvancedCombatSuit
[11:810] GustavAldogg Unlocked AIAssistant
[00:588] Diveyoc Unlocked AssaultRifle
[01:229] Diveyoc Unlocked Stimpack
[01:893] Diveyoc Placed/Upgraded MiningDroid
[02:012] Diveyoc Unlocked MedicShield
[04:813] Diveyoc Unlocked AdvancedDroidEngines
[05:593] Diveyoc Unlocked OpticalVisor
[07:875] Diveyoc Unlocked HellfireRocketLauncher
[08:689] Diveyoc Unlocked SpecOpsHellfireRocketLauncher
[10:179] Diveyoc Unlocked Shieldsiotunlocked
[10:180] Diveyoc Unlocked ShieldSuit
[10:180] Diveyoc Unlocked AdvancedShieldSuit
[10:180] Diveyoc Unlocked CombatSuit
[10:180] Diveyoc Unlocked AdvancedCombatSuit
[10:180] Diveyoc Unlocked HazmatSuit
[10:180] Diveyoc Unlocked AdvancedHazmatSuit
[10:180] Diveyoc Unlocked ShieldSuit
[11:793] Diveyoc Unlocked AdvancedShieldSuit
[11:794] Diveyoc Unlocked ShieldSuit
[11:794] Diveyoc Unlocked AdvancedShieldSuit
[14:375] Diveyoc Unlocked RocketLauncherMod3
[00:588] GianCarlo Unlocked AssaultRifle
[00:747] GianCarlo Unlocked Stimpack
[00:830] GianCarlo Unlocked AIAssistant
[02:703] GianCarlo Unlocked BioMechanicalRepairDrone
[02:765] GianCarlo Unlocked CombatAccelerationDrone
[02:851] GianCarlo Placed/Upgraded HealingDrone
[03:161] GianCarlo Placed/Upgraded HealingDrone
[03:882] GianCarlo Placed/Upgraded HealingDrone
[04:618] GianCarlo Placed/Upgraded HealingDrone
[09:828] GianCarlo Placed/Upgraded HealingDrone
[11:020] GianCarlo Unlocked MedicShield
[11:027] GianCarlo Unlocked EnergyPack
[11:292] GianCarlo Unlocked HellfireRocketLauncher
[00:588] Erebus Unlocked AssaultRifle
[00:715] Erebus Placed/Upgraded MiningDroid
[01:037] Erebus Unlocked CombatSuit
[01:038] Erebus Unlocked ShieldSuit
[01:038] Erebus Unlocked AdvancedShieldSuit
[01:038] Erebus Unlocked CombatSuit
[01:038] Erebus Unlocked AdvancedCombatSuit
[01:038] Erebus Unlocked HazmatSuit
[01:038] Erebus Unlocked AdvancedHazmatSuit
[01:038] Erebus Unlocked CombatSuit
[01:106] Erebus Unlocked AdvancedCombatSuit
[01:107] Erebus Unlocked CombatSuit
[01:107] Erebus Unlocked AdvancedCombatSuit
[08:512] Erebus Unlocked SpecOpsAssaultRifle
[12:621] Erebus Unlocked TitaniumBulletCasings
[15:132] Erebus Placed/Upgraded MiningDroid
[00:588] Seanerz Unlocked AssaultRifle
[02:100] Seanerz Unlocked Shotgun
[02:776] Seanerz Unlocked SpecOpsShotgun
[08:318] Seanerz Unlocked ConcussiveBeams
[14:296] Seanerz Unlocked MiningCharge
Frosky First Alpha Hunter |  Win

Frosky Placed 0 Greaters.
--------------------------------
