Analyzed: Oh No It's Zombies Arctic Updated (591)

ID : 0 PlayerName: ZergWithHat Race: Zerg
ID : 1 PlayerName: Seanerz Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: Chill Race: Terran
ID : 4 PlayerName: GustavAldogg Race: Terran
ID : 5 PlayerName: WriterIdle Race: Terran
ID : 6 PlayerName: InsanityCPS Race: Terran
ID : 7 PlayerName: Security Race: Protoss
ZergWithHat Zombie Win
Public Lobby

Game Length:[34:945]
Players ammount: 8
Marine rank avg: 4,166666666666667
GrandMaster ammount: 1
PURCHASES: 
[01:253] ZergWithHat Placed/Upgraded NydusCanalCreeper
[01:510] ZergWithHat Spawned MassiveCocoon
[02:950] ZergWithHat Spawned Hunter
[03:388] ZergWithHat Placed/Upgraded PrimalSunkenColony
[03:389] ZergWithHat Bought SunkenColony
[03:716] ZergWithHat Placed/Upgraded PrimalSunkenColony
[03:717] ZergWithHat Bought SunkenColony
[04:271] ZergWithHat Bought SunkenColony
[05:366] ZergWithHat Spawned MassiveCocoon
[06:806] ZergWithHat Spawned Hunter
[07:152] ZergWithHat Placed/Upgraded NydusCanalCreeper
[07:244] ZergWithHat Bought CreepSpeed
[07:550] ZergWithHat Bought SunkenColony
[08:157] ZergWithHat Placed/Upgraded PrimalSunkenColony
[08:158] ZergWithHat Bought SunkenColony
[08:997] ZergWithHat Spawned MassiveCocoon
[09:857] ZergWithHat Spawned MassiveCocoon
[09:922] ZergWithHat Bought SunkenColony
[10:240] ZergWithHat Placed/Upgraded PrimalSunkenColony
[10:241] ZergWithHat Bought SunkenColony
[10:437] ZergWithHat Spawned Anubalisk
[10:442] ZergWithHat Placed/Upgraded ToxicNest
[10:447] ZergWithHat Placed/Upgraded ToxicNest
[10:459] ZergWithHat Placed/Upgraded ToxicNest
[10:930] ZergWithHat Bought StrainHealth
[11:122] ZergWithHat Bought SunkenColony
[11:297] ZergWithHat Spawned Anubalisk
[12:496] ZergWithHat Bought UnlockDropPods
[12:964] ZergWithHat Bought EvolveDropPods
[12:967] ZergWithHat Bought EvolveDropPods
[13:445] ZergWithHat Placed/Upgraded ToxicNest
[13:446] ZergWithHat Placed/Upgraded ToxicNest
[13:451] ZergWithHat Placed/Upgraded ToxicNest
[13:715] ZergWithHat Placed/Upgraded LesserNydusWorm
[13:716] ZergWithHat Bought GreaterNydus
[14:398] ZergWithHat Placed/Upgraded ToxicNest
[15:165] ZergWithHat Spawned MassiveCocoon
[15:374] ZergWithHat Bought GreaterNydus
[16:063] ZergWithHat Spawned MassiveCocoon
[16:605] ZergWithHat Spawned Hunter
[16:612] ZergWithHat Bought RegenerativeCreep
[16:718] ZergWithHat Bought RegenerativeCreep
[17:143] ZergWithHat Spawned Underseer
[17:359] ZergWithHat Placed/Upgraded NydusCanalCreeper
[19:174] ZergWithHat Bought EvolveDropPods
[19:180] ZergWithHat Bought EvolveDropPods
[19:183] ZergWithHat Bought EvolveDropPods
[19:187] ZergWithHat Bought EvolveDropPods
[19:286] ZergWithHat Bought AdvancedPowerInfestation
[20:536] ZergWithHat Placed/Upgraded NydusCanalCreeper
[20:778] ZergWithHat Spawned MassiveCocoon
[20:947] ZergWithHat Bought AdvancedInfestationContainment
[22:218] ZergWithHat Spawned Anubalisk
[22:273] ZergWithHat Bought VirulentCreep
[22:829] ZergWithHat Placed/Upgraded NydusCanalCreeper
[25:629] ZergWithHat Placed/Upgraded Virophage
[25:875] ZergWithHat Bought StrainDamage
[25:882] ZergWithHat Bought PureStrainDamage
[26:435] ZergWithHat Placed/Upgraded PrimalSunkenColony
[26:436] ZergWithHat Bought SunkenColony
[26:804] ZergWithHat Bought SunkenColony
[27:795] ZergWithHat Placed/Upgraded LesserNydusWorm
[27:796] ZergWithHat Bought GreaterNydus
[28:218] ZergWithHat Bought StrainDamage
[28:224] ZergWithHat Bought PureStrainDamage
[28:453] ZergWithHat Bought AdvancedInfestationGateControl
[29:510] ZergWithHat Placed/Upgraded NydusCanalCreeper
[29:704] ZergWithHat Bought SiphonFuel
[30:525] ZergWithHat Bought DropshipsFueled
[31:097] ZergWithHat Bought UltimateInfestationResearched
[31:156] ZergWithHat Bought DefilerStrain
[31:162] ZergWithHat Bought DefilerStrain
[31:173] ZergWithHat Bought StrainDamage
[31:196] ZergWithHat Bought StrainDamage
[31:202] ZergWithHat Bought PureStrainDamage
[31:206] ZergWithHat Bought PureStrainDamage
[31:225] ZergWithHat Bought DefilerStrain
[31:935] ZergWithHat Placed/Upgraded LesserNydusWorm
[31:936] ZergWithHat Bought GreaterNydus
[32:842] ZergWithHat Placed/Upgraded NydusCanalCreeper
[34:473] ZergWithHat Bought ConstructiveCreep
[00:588] Seanerz Unlocked AssaultRifle
[00:800] Seanerz Placed/Upgraded MiningDroid
[01:269] Seanerz Unlocked Shotgun
[03:772] Seanerz Unlocked SpecOpsShotgun
[06:448] Seanerz Unlocked ConcussiveBeams
[06:543] Seanerz Unlocked FragGrenade
[08:808] Seanerz Unlocked MedicShield
[08:907] Seanerz Unlocked Shieldsiotunlocked
[08:908] Seanerz Unlocked ShieldSuit
[08:908] Seanerz Unlocked AdvancedShieldSuit
[08:908] Seanerz Unlocked CombatSuit
[08:908] Seanerz Unlocked AdvancedCombatSuit
[08:908] Seanerz Unlocked HazmatSuit
[08:908] Seanerz Unlocked AdvancedHazmatSuit
[08:908] Seanerz Unlocked ShieldSuit
[08:926] Seanerz Unlocked AdvancedShieldSuit
[08:927] Seanerz Unlocked ShieldSuit
[08:927] Seanerz Unlocked AdvancedShieldSuit
[14:115] Seanerz Unlocked OverloadWeapon
[31:794] Seanerz Unlocked SpecOpsFragGrenade
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:807] Frosky Unlocked ArcWelder
[02:686] Frosky Unlocked BioMechanicalRepairDrone
[02:698] Frosky Unlocked CombatAccelerationDrone
[03:000] Frosky Placed/Upgraded HealingDrone
[03:187] Frosky Placed/Upgraded HealingDrone
[03:414] Frosky Placed/Upgraded HealingDrone
