Analyzed: Oh No It's Zombies Arctic Updated (598)

ID : 0 PlayerName: Ninjapilot Race: Terran
ID : 1 PlayerName: DLonRa Race: Terran
ID : 2 PlayerName: Vofoeki Race: Terran
ID : 3 PlayerName: Dylan Race: Terran
ID : 4 PlayerName: Toxicpanda Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: dancar Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Win
Public Lobby

Game Length:[29:710]
Players ammount: 8
Marine rank avg: 7,166666666666667
GrandMaster ammount: 3
PURCHASES: 
[00:588] Ninjapilot Unlocked AssaultRifle
[00:726] Ninjapilot Placed/Upgraded MiningDroid
[01:426] Ninjapilot Unlocked Flamethrower
[03:840] Ninjapilot Unlocked SpecOpsFlamethrower
[08:664] Ninjapilot Unlocked Shieldsiotunlocked
[14:201] Ninjapilot Placed/Upgraded MiningDroid
[16:614] Ninjapilot Unlocked SuperHealingDrone
[17:875] Ninjapilot Unlocked CombatShield
[20:055] Ninjapilot Unlocked AdvancedShieldSuit
[22:295] Ninjapilot Unlocked SpecOpsSuperHealingDrone
[24:666] Ninjapilot Unlocked CryoFreeze
[25:744] Ninjapilot Unlocked MiningCharge
[25:771] Ninjapilot Unlocked AdvancedMiningCharge
[26:225] Ninjapilot Placed/Upgraded NukePack
[00:588] DLonRa Unlocked AssaultRifle
[00:922] DLonRa Placed/Upgraded MiningDroid
[01:235] DLonRa Unlocked IncendiaryGrenade
[03:654] DLonRa Unlocked AdvancedDroidEngines
[04:386] DLonRa Unlocked AutoTurret
[04:954] DLonRa Placed/Upgraded AutoTurret
[05:139] DLonRa Placed/Upgraded AutoTurret
[05:773] DLonRa Unlocked CloakingDevice
[06:844] DLonRa Placed/Upgraded AutoTurret
[07:055] DLonRa Placed/Upgraded AutoTurret
[08:036] DLonRa Placed/Upgraded AutoTurret
[08:262] DLonRa Placed/Upgraded AutoTurret
[08:665] DLonRa Bought ShieldSuit
[08:665] DLonRa Bought CombatSuit
[08:665] DLonRa Bought HazmatSuit
[08:665] DLonRa Bought ShieldSuit
[10:977] DLonRa Unlocked PsiDisrupter
[11:038] DLonRa Placed/Upgraded PsiIndoctrinator
[12:521] DLonRa Placed/Upgraded PsiIndoctrinator
[12:775] DLonRa Unlocked BioMechanicalRepairDrone
[14:030] DLonRa Placed/Upgraded MiningDroid
[14:909] DLonRa Placed/Upgraded HealingDrone
[15:845] DLonRa Placed/Upgraded PsiIndoctrinator
[18:517] DLonRa Unlocked MiningCharge
[18:545] DLonRa Unlocked AdvancedMiningCharge
[18:599] DLonRa Placed/Upgraded NukePack
[20:056] DLonRa Bought ShieldSuit
[21:351] DLonRa Unlocked Stimpack
[22:225] DLonRa Placed/Upgraded PsiIndoctrinator
[22:289] DLonRa Placed/Upgraded NukePack
[23:065] DLonRa Placed/Upgraded PsiIndoctrinator
[24:322] DLonRa Placed/Upgraded NukePack
[00:588] Vofoeki Unlocked AssaultRifle
[00:728] Vofoeki Placed/Upgraded MiningDroid
[00:961] Vofoeki Unlocked IncendiaryGrenade
[02:914] Vofoeki Unlocked Flamethrower
[03:463] Vofoeki Unlocked EnergySuit
[03:464] Vofoeki Unlocked EnergySuit
[05:230] Vofoeki Unlocked AdvancedEnergySuit
[05:231] Vofoeki Unlocked EnergySuit
[05:231] Vofoeki Unlocked AdvancedEnergySuit
[05:835] Vofoeki Unlocked MotionSensor
[06:698] Vofoeki Placed/Upgraded SensorTower
