Analyzed: Oh No It's Zombies Arctic Updated (599)

ID : 0 PlayerName: Toxicpanda Race: Zerg
ID : 1 PlayerName: VioletFemmes Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: GustavAldogg Race: Terran
ID : 4 PlayerName: Ascherit Race: Terran
ID : 5 PlayerName: reefing Race: Terran
ID : 6 PlayerName: TheZergKing Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Toxicpanda Zombie Win
Public Lobby

Game Length:[32:160]
Players ammount: 8
Marine rank avg: 7,833333333333333
GrandMaster ammount: 3
PURCHASES: 
[00:620] Toxicpanda Spawned MassiveCocoon
[02:060] Toxicpanda Spawned Hunter
[03:373] Toxicpanda Spawned MassiveCocoon
[04:813] Toxicpanda Spawned Hunter
[05:990] Toxicpanda Placed/Upgraded ToxicNest
[05:998] Toxicpanda Placed/Upgraded ToxicNest
[06:008] Toxicpanda Placed/Upgraded ToxicNest
[07:257] Toxicpanda Placed/Upgraded PrimalSunkenColony
[07:258] Toxicpanda Bought SunkenColony
[08:739] Toxicpanda Spawned MassiveCocoon
[09:009] Toxicpanda Bought AdvancedPowerInfestation
[10:179] Toxicpanda Spawned PrimalTownHallUprooted
[10:445] Toxicpanda Bought BuildExtractorProcessingFacilities
[10:445] Toxicpanda Placed/Upgraded AutomatedExtractor
[11:521] Toxicpanda Placed/Upgraded ToxicNest
[11:544] Toxicpanda Placed/Upgraded ToxicNest
[11:555] Toxicpanda Placed/Upgraded ToxicNest
[12:522] Toxicpanda Placed/Upgraded Virophage
[12:995] Toxicpanda Placed/Upgraded ToxicNest
[13:001] Toxicpanda Placed/Upgraded ToxicNest
[13:642] Toxicpanda Spawned MassiveCocoon
[14:165] Toxicpanda Bought CreepSpeed
[14:722] Toxicpanda Spawned Underseer
[15:326] Toxicpanda Spawned MassiveCocoon
[15:959] Toxicpanda Placed/Upgraded ToxicNest
[15:963] Toxicpanda Placed/Upgraded ToxicNest
[15:973] Toxicpanda Placed/Upgraded ToxicNest
[16:196] Toxicpanda Bought VirulentCreep
[16:766] Toxicpanda Spawned Anubalisk
[16:887] Toxicpanda Bought ExtractorCostReductionProcessingFacilities
[16:887] Toxicpanda Bought BuildExtractorProcessingFacilities
[18:115] Toxicpanda Bought UnlockDropPods
[18:885] Toxicpanda Bought EvolveDropPods
[18:922] Toxicpanda Bought EvolveDropPods
[18:926] Toxicpanda Bought EvolveDropPods
[19:286] Toxicpanda Bought SunkenColony
[19:286] Toxicpanda Placed/Upgraded PrimalSunkenColony
[19:698] Toxicpanda Bought AdvancedInfestationContainment
[20:447] Toxicpanda Placed/Upgraded NydusCanalCreeper
[21:031] Toxicpanda Placed/Upgraded NydusCanalCreeper
[21:387] Toxicpanda Spawned MassiveCocoon
[22:467] Toxicpanda Spawned Underseer
[23:435] Toxicpanda Bought CreepSpeed
[25:416] Toxicpanda Placed/Upgraded ToxicNest
[25:416] Toxicpanda Placed/Upgraded ToxicNest
[25:421] Toxicpanda Placed/Upgraded ToxicNest
[25:506] Toxicpanda Bought EvolveDropPods
[25:545] Toxicpanda Placed/Upgraded Virophage
[25:931] Toxicpanda Bought BuildExtractorScienceLabs
[25:931] Toxicpanda Placed/Upgraded AutomatedExtractor
[26:228] Toxicpanda Placed/Upgraded NydusCanalCreeper
[27:010] Toxicpanda Bought BuildExtractorManufacturingSector
[27:010] Toxicpanda Placed/Upgraded AutomatedExtractor
[27:028] Toxicpanda Bought BuildExtractorProcessingFacilities
[27:028] Toxicpanda Placed/Upgraded AutomatedExtractor
[27:595] Toxicpanda Placed/Upgraded PrimalSunkenColony
[27:596] Toxicpanda Bought SunkenColony
[27:837] Toxicpanda Spawned MassiveCocoon
[28:247] Toxicpanda Bought StrainDamage
[28:250] Toxicpanda Bought PureStrainDamage
[28:696] Toxicpanda Placed/Upgraded NydusCanalCreeper
[28:748] Toxicpanda Bought DropshipsFueled
[28:917] Toxicpanda Spawned Underseer
[29:113] Toxicpanda Spawned RoyalCocoon
[29:113] Toxicpanda Bought SpawnHiveQueen
[29:113] Toxicpanda Bought UltimateInfestationResearched
[29:832] Toxicpanda Spawned QueenCoop
[29:932] Toxicpanda Bought ExtractorCostReductionManufacturingSector
[29:932] Toxicpanda Bought BuildExtractorManufacturingSector
[29:966] Toxicpanda Bought SpawnNydusWorm
[29:986] Toxicpanda Placed/Upgraded GreaterNydusWorm
[30:270] Toxicpanda Placed/Upgraded NydusCanalCreeper
[30:612] Toxicpanda Bought EvolveDropPods
[30:631] Toxicpanda Bought StrainVolatile
[30:639] Toxicpanda Bought StrainVolatile
[00:588] VioletFemmes Unlocked AssaultRifle
[00:669] VioletFemmes Placed/Upgraded MiningDroid
[00:726] VioletFemmes Unlocked AdvancedDroidEngines
[02:589] VioletFemmes Unlocked Shotgun
[04:861] VioletFemmes Placed/Upgraded MiningDroid
[07:154] VioletFemmes Unlocked SuperStimpack
[07:390] VioletFemmes Unlocked SpecOpsShotgun
[07:994] VioletFemmes Unlocked Stimpack
[13:882] VioletFemmes Unlocked HighPrecisionBeams
[14:100] VioletFemmes Unlocked HazmatSuit
[14:101] VioletFemmes Unlocked ShieldSuit
[14:101] VioletFemmes Unlocked AdvancedShieldSuit
[14:101] VioletFemmes Unlocked CombatSuit
[14:101] VioletFemmes Unlocked AdvancedCombatSuit
[14:101] VioletFemmes Unlocked HazmatSuit
[14:101] VioletFemmes Unlocked AdvancedHazmatSuit
[14:101] VioletFemmes Unlocked HazmatSuit
[14:105] VioletFemmes Unlocked AdvancedHazmatSuit
[14:106] VioletFemmes Unlocked HazmatSuit
[14:106] VioletFemmes Unlocked AdvancedHazmatSuit
[14:498] VioletFemmes Unlocked CombatShield
[14:518] VioletFemmes Unlocked OpticalVisor
[15:391] VioletFemmes Placed/Upgraded MiningDroid
[20:397] VioletFemmes Unlocked BioMechanicalRepairDrone
[21:801] VioletFemmes Placed/Upgraded HealingDrone
[22:414] VioletFemmes Placed/Upgraded HealingDrone
[23:025] VioletFemmes Placed/Upgraded HealingDrone
[27:461] VioletFemmes Placed/Upgraded HealingDrone
[31:889] VioletFemmes Placed/Upgraded HealingDrone
