Analyzed: Oh No It's Zombies Arctic Updated (6)

ID : 0 PlayerName: DerUberLor Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: FireFurry Race: Terran
ID : 3 PlayerName: Kaedin Race: Terran
ID : 4 PlayerName: Splattyy Race: Terran
ID : 5 PlayerName: WildGoat Race: Terran
ID : 6 PlayerName: BuckNasty Race: Zerg
ID : 7 PlayerName: Security Race: Primal Zerg
BuckNasty Zombie Win
Public Lobby

Game Length:[34:774]
Players ammount: 8
Marine rank avg: 2,3333333333333335
GrandMaster ammount: 1
PURCHASES: 
[00:588] DerUberLor Unlocked AssaultRifle
[01:079] DerUberLor Placed/Upgraded MiningDroid
[01:744] DerUberLor Unlocked AdvancedDroidEngines
[04:168] DerUberLor Unlocked SpecOpsAssaultRifle
[06:025] DerUberLor Unlocked CombatSuit
[12:313] DerUberLor Unlocked AdvancedCombatSuit
[12:426] DerUberLor Unlocked MedicShield
[12:477] DerUberLor Unlocked EnergyPack
[12:491] DerUberLor Unlocked AIAssistant
[12:695] DerUberLor Unlocked ForceFieldGrenade
[12:754] DerUberLor Unlocked SpecOpsForcefieldGrenade
[12:860] DerUberLor Unlocked OverloadWeapon
[14:318] DerUberLor Unlocked AutoTurret
[15:507] DerUberLor Unlocked PowerConverter
[21:986] DerUberLor Placed/Upgraded MiningDroid
[00:588] Frosky Unlocked AssaultRifle
[00:677] Frosky Placed/Upgraded MiningDroid
[01:032] Frosky Unlocked BeamRifle
[03:277] Frosky Unlocked AdvancedDroidEngines
[06:026] Frosky Bought ShieldSuit
[06:026] Frosky Bought CombatSuit
[06:026] Frosky Bought HazmatSuit
[06:026] Frosky Bought CombatSuit
[06:083] Frosky Unlocked TurboDroidEngines
[08:265] Frosky Unlocked Stimpack
[12:314] Frosky Bought CombatSuit
[15:163] Frosky Unlocked Teleporter
[18:159] Frosky Placed/Upgraded MiningDroid
[00:588] FireFurry Unlocked AssaultRifle
[00:800] FireFurry Placed/Upgraded MiningDroid
[01:043] FireFurry Unlocked Shotgun
[03:322] FireFurry Unlocked AdvancedDroidEngines
[06:052] FireFurry Unlocked BioMechanicalRepairDrone
[06:181] FireFurry Placed/Upgraded HealingDrone
[07:440] FireFurry Unlocked SpecOpsShotgun
[11:279] FireFurry Placed/Upgraded HealingDrone
[12:068] FireFurry Placed/Upgraded HealingDrone
[12:868] FireFurry Unlocked HellfireRocketLauncher
[12:898] FireFurry Unlocked SpecOpsHellfireRocketLauncher
[13:168] FireFurry Unlocked RocketLauncherMod1
[13:443] FireFurry Unlocked Stimpack
[15:366] FireFurry Unlocked CombatSuit
[16:061] FireFurry Placed/Upgraded HealingDrone
[17:191] FireFurry Unlocked ShockwaveMissiles
[17:610] FireFurry Unlocked AdvancedCombatSuit
[19:865] FireFurry Unlocked SuperHealingDrone
[20:987] FireFurry Unlocked PsiDisrupter
[21:129] FireFurry Placed/Upgraded PsiIndoctrinator
[21:283] FireFurry Unlocked SpecOpsPsiDisruptor
[21:462] FireFurry Placed/Upgraded HealingDrone
[24:461] FireFurry Placed/Upgraded MiningDroid
[25:792] FireFurry Placed/Upgraded HealingDrone
[26:783] FireFurry Unlocked MedicShield
[27:725] FireFurry Unlocked OpticalVisor
[29:497] FireFurry Placed/Upgraded PsiIndoctrinator
[30:439] FireFurry Placed/Upgraded SuperHealingDrone
[31:685] FireFurry Placed/Upgraded PsiIndoctrinator
[31:888] FireFurry Placed/Upgraded SuperHealingDrone
[33:460] FireFurry Placed/Upgraded SuperHealingDrone
[00:588] Kaedin Unlocked AssaultRifle
[00:777] Kaedin Unlocked ArcWelder
[01:445] Kaedin Placed/Upgraded MiningDroid
[02:503] Kaedin Unlocked AdvancedDroidEngines
[04:292] Kaedin Unlocked TurboDroidEngines
[04:459] Kaedin Unlocked BioMechanicalRepairDrone
[05:464] Kaedin Unlocked CombatAccelerationDrone
[05:513] Kaedin Placed/Upgraded HealingDrone
[05:667] Kaedin Placed/Upgraded HealingDrone
[05:798] Kaedin Placed/Upgraded HealingDrone
[06:326] Kaedin Placed/Upgraded HealingDrone
[07:051] Kaedin Unlocked Stimpack
[07:852] Kaedin Unlocked QuantumBackpack
[07:885] Kaedin Unlocked AIAssistant
[09:297] Kaedin Unlocked EnergySuit
[09:298] Kaedin Unlocked EnergySuit
[09:303] Kaedin Unlocked AdvancedEnergySuit
[09:304] Kaedin Unlocked EnergySuit
[09:304] Kaedin Unlocked AdvancedEnergySuit
[10:034] Kaedin Unlocked AutoTurret
[10:051] Kaedin Unlocked FlameTurret
[10:605] Kaedin Placed/Upgraded AutoTurret
[10:906] Kaedin Unlocked SpecOpsBioMechanicalRepairDrone
[11:019] Kaedin Placed/Upgraded HealingDrone
[11:328] Kaedin Placed/Upgraded HealingDrone
[11:510] Kaedin Placed/Upgraded AutoTurret
[11:872] Kaedin Placed/Upgraded AutoTurret
[12:005] Kaedin Placed/Upgraded AutoTurret
[13:029] Kaedin Unlocked MedicShield
[13:385] Kaedin Unlocked SpecOpsTurret
[13:477] Kaedin Placed/Upgraded AutoTurret
[13:693] Kaedin Placed/Upgraded AutoTurret
[14:420] Kaedin Placed/Upgraded HealingDrone
[14:608] Kaedin Placed/Upgraded AutoTurret
[15:367] Kaedin Bought ShieldSuit
[15:367] Kaedin Bought CombatSuit
[15:367] Kaedin Bought HazmatSuit
[15:367] Kaedin Bought CombatSuit
[15:573] Kaedin Unlocked SpecOpsArcWelder
[16:313] Kaedin Unlocked PsiDisrupter
[16:893] Kaedin Unlocked MotionSensor
[17:034] Kaedin Placed/Upgraded SensorTower
[17:459] Kaedin Unlocked PsiDepressor
[17:611] Kaedin Bought CombatSuit
[18:119] Kaedin Placed/Upgraded HealingDrone
[19:123] Kaedin Unlocked ArcWelderMod3
[19:865] Kaedin Unlocked FlashBang
[19:875] Kaedin Unlocked SpecOpsFlashbang
[20:769] Kaedin Placed/Upgraded AutoTurret
[21:325] Kaedin Placed/Upgraded AutoTurret
[21:426] Kaedin Placed/Upgraded AutoTurret
[21:558] Kaedin Placed/Upgraded AutoTurret
[22:248] Kaedin Placed/Upgraded AutoTurret
[22:783] Kaedin Placed/Upgraded AutoTurret
[23:072] Kaedin Placed/Upgraded AutoTurret
[24:138] Kaedin Placed/Upgraded AutoTurret
[24:552] Kaedin Placed/Upgraded HealingDrone
