Analyzed: Oh No It's Zombies Arctic Updated (601)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: ZehN Race: Zerg
ID : 2 PlayerName: Cereal Race: Terran
ID : 3 PlayerName: Chickenkub Race: Terran
ID : 4 PlayerName: Yello Race: Terran
ID : 5 PlayerName: megarobot Race: Terran
ID : 6 PlayerName: Miguelox Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
ZehN Zombie Loss
Public Lobby

Game Length:[32:985]
Players ammount: 8
Marine rank avg: 2,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:680] Frosky Placed MiningDroid
[00:865] Frosky Unlocked Shotgun
[02:624] Frosky Unlocked AdvancedDroidEngines
[03:808] Frosky Unlocked ExplorationDroid
[03:857] Frosky Placed ExplorationDroid
[03:862] Frosky Placed ExplorationDroid
[03:961] Frosky Placed ExplorationDroid
[05:582] Frosky Unlocked SpecOpsShotgun
[07:673] Frosky Unlocked Stimpack
[08:556] Frosky Unlocked HighPrecisionBeams
[08:976] Frosky Unlocked BioMechanicalRepairDrone
[10:053] Frosky Placed HealingDrone
[10:318] Frosky Unlocked CombatSuit
[11:129] Frosky Unlocked AdvancedCombatSuit
[12:333] Frosky Unlocked CombatShield
[12:338] Frosky Unlocked AIAssistant
[13:509] Frosky Unlocked SuperStimpack
[14:184] Frosky Placed HealingDrone
[15:109] Frosky Unlocked HazmatSuit
[15:115] Frosky Unlocked AdvancedHazmatSuit
[15:862] Frosky Placed HealingDrone
[19:264] Frosky Unlocked TurboDroidEngines
[19:943] Frosky Placed HealingDrone
[20:089] Frosky Unlocked FlashBang
[20:224] Frosky Unlocked SpecOpsFlashbang
[21:282] Frosky Placed HealingDrone
[22:436] Frosky Placed HealingDrone
[22:488] Frosky Unlocked AutoTurret
[22:498] Frosky Unlocked HeavyTurret
[22:608] Frosky Placed AutoTurret
[22:788] Frosky Placed AutoTurret
[23:611] Frosky Placed AutoTurret
[24:459] Frosky Unlocked SpecOpsSuperStimpack
[25:275] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
