Analyzed: Oh No It's Zombies Arctic Updated (603)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Toxicpanda Race: Terran
ID : 2 PlayerName: Ahanax Race: Terran
ID : 3 PlayerName: Arknights Race: Terran
ID : 4 PlayerName: Basik Race: Terran
ID : 5 PlayerName: hellfire Race: Terran
ID : 6 PlayerName: BrainlessKiw Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Frosky Zombie Loss
Public Lobby

Game Length:[38:180]
Players ammount: 8
Marine rank avg: 1,8333333333333333
GrandMaster ammount: 3
PURCHASES: 
[01:360] Frosky Spawned MassiveCocoon
[02:800] Frosky Spawned Hunter
[03:904] Frosky Spawned MassiveCocoon
[05:058] Frosky Placed/Upgraded ToxicNest
[05:061] Frosky Placed/Upgraded ToxicNest
[05:073] Frosky Placed/Upgraded ToxicNest
[05:344] Frosky Spawned Hunter
[05:809] Frosky Placed/Upgraded ToxicNest
[05:908] Frosky Spawned MassiveCocoon
[06:072] Frosky Bought SunkenColony
[06:072] Frosky Placed/Upgraded PrimalSunkenColony
[07:348] Frosky Spawned PrimalTownHallUprooted
[07:900] Frosky Bought SunkenColony
[11:513] Frosky Bought CreepSpeed
[13:465] Frosky Bought StrainVolatile
[13:485] Frosky Bought PureStrainVolatile
[15:337] Frosky Spawned MassiveCocoon
[16:417] Frosky Spawned Underseer
[16:665] Frosky Bought CreepSpeed
[18:293] Frosky Bought UnlockDropPods
[18:297] Frosky Bought EvolveDropPods
[18:302] Frosky Bought EvolveDropPods
[18:994] Frosky Bought StrainHealth
[21:730] Frosky Bought PureStrainHealth
[21:916] Frosky Bought EvolveDropPods
[23:114] Frosky Placed/Upgraded Virophage
[24:868] Frosky Placed/Upgraded Virophage
[25:617] Frosky Placed/Upgraded PrimalSunkenColony
[25:618] Frosky Bought SunkenColony
[26:836] Frosky Bought EvolveDropPods
[27:792] Frosky Bought EvolveDropPods
[28:588] Frosky Bought DropshipsFueled
[28:684] Frosky Bought UltimateInfestationResearched
[28:985] Frosky Bought SpawnNydusWorm
[29:237] Frosky Bought TankStrain
[29:249] Frosky Bought KaboomerStrain
[29:486] Frosky Spawned MassiveCocoon
[29:644] Frosky Placed/Upgraded GreaterNydusWorm
[29:697] Frosky Placed/Upgraded NydusCanalCreeper
[30:720] Frosky Placed/Upgraded NydusCanalCreeper
[30:926] Frosky Spawned Anubalisk
[31:580] Frosky Spawned MassiveCocoon
[32:227] Frosky Placed/Upgraded NydusCanalCreeper
[32:660] Frosky Spawned Underseer
[33:005] Frosky Placed/Upgraded NydusCanalCreeper
[33:510] Frosky Bought VirulentCreep
[34:379] Frosky Bought EvolveDropPods
[34:515] Frosky Placed/Upgraded NydusCanalCreeper
[00:588] Toxicpanda Unlocked AssaultRifle
[00:668] Toxicpanda Placed/Upgraded MiningDroid
[00:685] Toxicpanda Unlocked AdvancedDroidEngines
[03:135] Toxicpanda Unlocked Stimpack
[04:789] Toxicpanda Unlocked Flamethrower
[05:606] Toxicpanda Unlocked SpecOpsFlamethrower
[06:617] Toxicpanda Unlocked BioMechanicalRepairDrone
[07:966] Toxicpanda Placed/Upgraded HealingDrone
[09:428] Toxicpanda Unlocked Teleporter
[10:833] Toxicpanda Placed/Upgraded HealingDrone
[11:495] Toxicpanda Unlocked HazmatSuit
[11:496] Toxicpanda Unlocked ShieldSuit
[11:496] Toxicpanda Unlocked AdvancedShieldSuit
[11:496] Toxicpanda Unlocked CombatSuit
[11:496] Toxicpanda Unlocked AdvancedCombatSuit
[11:496] Toxicpanda Unlocked HazmatSuit
[11:496] Toxicpanda Unlocked AdvancedHazmatSuit
[11:496] Toxicpanda Unlocked HazmatSuit
[11:570] Toxicpanda Unlocked AdvancedHazmatSuit
[11:573] Toxicpanda Unlocked HazmatSuit
[11:573] Toxicpanda Unlocked AdvancedHazmatSuit
[13:484] Toxicpanda Placed/Upgraded MiningDroid
[14:571] Toxicpanda Placed/Upgraded HealingDrone
[15:030] Toxicpanda Placed/Upgraded HealingDrone
[15:325] Toxicpanda Placed/Upgraded HealingDrone
[16:154] Toxicpanda Unlocked ThermiteFilaments
[16:848] Toxicpanda Unlocked CombatShield
[18:204] Toxicpanda Placed/Upgraded HealingDrone
[18:731] Toxicpanda Unlocked AIAssistant
[23:617] Toxicpanda Placed/Upgraded HealingDrone
[25:779] Toxicpanda Placed/Upgraded HealingDrone
[26:467] Toxicpanda Placed/Upgraded HealingDrone
[26:560] Toxicpanda Unlocked OverloadWeapon
[26:860] Toxicpanda Placed/Upgraded HealingDrone
[30:135] Toxicpanda Placed/Upgraded HealingDrone
[31:988] Toxicpanda Placed/Upgraded HealingDrone
[32:681] Toxicpanda Placed/Upgraded HealingDrone
[33:334] Toxicpanda Placed/Upgraded HealingDrone
[00:588] Ahanax Unlocked AssaultRifle
[00:845] Ahanax Placed/Upgraded MiningDroid
[00:875] Ahanax Unlocked AdvancedDroidEngines
[03:575] Ahanax Unlocked TurboDroidEngines
[04:314] Ahanax Unlocked Shotgun
[05:868] Ahanax Unlocked SpecOpsShotgun
[07:424] Ahanax Unlocked Stimpack
[08:808] Ahanax Unlocked BioMechanicalRepairDrone
[09:949] Ahanax Unlocked SuperStimpack
[11:813] Ahanax Placed/Upgraded HealingDrone
[13:316] Ahanax Unlocked HighPrecisionBeams
[13:850] Ahanax Placed/Upgraded HealingDrone
[15:558] Ahanax Placed/Upgraded HealingDrone
[15:865] Ahanax Placed/Upgraded HealingDrone
[16:301] Ahanax Unlocked HazmatSuit
[16:302] Ahanax Unlocked ShieldSuit
[16:302] Ahanax Unlocked AdvancedShieldSuit
[16:302] Ahanax Unlocked CombatSuit
[16:302] Ahanax Unlocked AdvancedCombatSuit
[16:302] Ahanax Unlocked HazmatSuit
[16:302] Ahanax Unlocked AdvancedHazmatSuit
[16:302] Ahanax Unlocked HazmatSuit
[17:349] Ahanax Unlocked CombatShield
[21:894] Ahanax Unlocked AdvancedHazmatSuit
[21:895] Ahanax Unlocked HazmatSuit
[21:895] Ahanax Unlocked AdvancedHazmatSuit
[24:518] Ahanax Placed/Upgraded HealingDrone
[31:922] Ahanax Placed/Upgraded HealingDrone
[32:111] Ahanax Placed/Upgraded HealingDrone
[32:668] Ahanax Placed/Upgraded HealingDrone
[00:588] Arknights Unlocked AssaultRifle
[00:783] Arknights Placed/Upgraded MiningDroid
[01:393] Arknights Unlocked Shotgun
[04:624] Arknights Unlocked OpticalVisor
[04:682] Arknights Unlocked AIAssistant
[04:707] Arknights Unlocked CombatShield
[07:300] Arknights Unlocked SpecOpsShotgun
[10:647] Arknights Unlocked IncendiaryBullets
[14:695] Arknights Unlocked CombatSuit
[14:696] Arknights Unlocked ShieldSuit
[14:696] Arknights Unlocked AdvancedShieldSuit
[14:696] Arknights Unlocked CombatSuit
[14:696] Arknights Unlocked AdvancedCombatSuit
[14:696] Arknights Unlocked HazmatSuit
[14:696] Arknights Unlocked AdvancedHazmatSuit
[14:696] Arknights Unlocked CombatSuit
[14:721] Arknights Unlocked AdvancedCombatSuit
[14:722] Arknights Unlocked CombatSuit
[14:722] Arknights Unlocked AdvancedCombatSuit
[14:814] Arknights Unlocked Stimpack
[23:044] Arknights Placed/Upgraded MiningDroid
[00:588] Basik Unlocked AssaultRifle
[00:733] Basik Placed/Upgraded MiningDroid
[00:775] Basik Unlocked FragGrenade
[00:778] Basik Unlocked SpecOpsFragGrenade
[03:208] Basik Unlocked Stimpack
[05:855] Basik Unlocked AdvancedDroidEngines
[07:313] Basik Unlocked BeamRifle
[09:367] Basik Unlocked SpecOpsPlasmaRifle
[11:171] Basik Unlocked CloakingDevice
[13:237] Basik Unlocked SpecOpsCloakingDevice
[15:443] Basik Unlocked BioMechanicalRepairDrone
[15:539] Basik Placed/Upgraded HealingDrone
[16:021] Basik Unlocked CorrosivePlasma
[17:605] Basik Unlocked HazmatSuit
[17:606] Basik Unlocked ShieldSuit
[17:606] Basik Unlocked AdvancedShieldSuit
[17:606] Basik Unlocked CombatSuit
[17:606] Basik Unlocked AdvancedCombatSuit
[17:606] Basik Unlocked HazmatSuit
[17:606] Basik Unlocked AdvancedHazmatSuit
[17:606] Basik Unlocked HazmatSuit
[17:620] Basik Unlocked AdvancedHazmatSuit
[17:621] Basik Unlocked HazmatSuit
[17:621] Basik Unlocked AdvancedHazmatSuit
[24:737] Basik Unlocked ExplorationDroid
[24:791] Basik Placed/Upgraded ExplorationDroid
[26:464] Basik Placed/Upgraded HealingDrone
