Analyzed: Oh No It's Zombies Arctic Updated (64)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: JayKGames Race: Terran
ID : 2 PlayerName: fernando Race: Terran
ID : 3 PlayerName: BarcodesOP Race: Terran
ID : 4 PlayerName: Leviathan Race: Terran
ID : 5 PlayerName: cheese Race: Terran
ID : 6 PlayerName: BenAssflex Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Frosky Zombie Win
Public Lobby

Game Length:[34:341]
Players ammount: 8
Marine rank avg: 3,6666666666666665
GrandMaster ammount: 1
PURCHASES: 
[01:785] Frosky Bought CreepSpeed
[03:155] Frosky Spawned MassiveCocoon
[08:526] Frosky Bought CreepSpeed
[10:039] Frosky Bought StrainSpeed
[12:144] Frosky Bought StrainSpeed
[12:401] Frosky Bought StrainSpeed
[14:329] Frosky Bought PureStrainSpeed
[16:605] Frosky Bought PureStrainSpeed
[17:477] Frosky Bought PureStrainSpeed
[19:291] Frosky Bought StrainSpeed
[21:086] Frosky Bought PureStrainSpeed
[22:305] Frosky Bought StrainSpeed
[23:422] Frosky Bought PureStrainSpeed
[24:383] Frosky Bought HunterlingStrain
[25:084] Frosky Bought DropshipsFueled
[26:226] Frosky Bought SweepingInfestation
[26:226] Frosky Bought UltimateInfestationResearched
[26:294] Frosky Bought HunterlingStrain
[28:087] Frosky Bought HunterlingStrain
[28:741] Frosky Bought HunterlingStrain
[30:289] Frosky Bought HunterlingStrain
[00:588] JayKGames Unlocked AssaultRifle
[00:773] JayKGames Placed/Upgraded MiningDroid
[01:020] JayKGames Unlocked AdvancedDroidEngines
[00:588] fernando Unlocked AssaultRifle
[01:354] fernando Unlocked BeamRifle
[01:858] fernando Placed/Upgraded MiningDroid
[04:108] fernando Unlocked EnergySuit
[04:109] fernando Unlocked ShieldSuit
[04:109] fernando Unlocked AdvancedShieldSuit
[04:109] fernando Unlocked CombatSuit
[04:109] fernando Unlocked AdvancedCombatSuit
[04:109] fernando Unlocked HazmatSuit
[04:109] fernando Unlocked AdvancedHazmatSuit
[04:109] fernando Unlocked EnergySuit
[04:217] fernando Unlocked SpecOpsPlasmaRifle
[04:335] fernando Unlocked CombatShield
[06:201] fernando Unlocked OverloadWeapon
[09:349] fernando Unlocked PsiDisrupter
[10:627] fernando Placed/Upgraded PsiIndoctrinator
[10:813] fernando Unlocked AutoTurret
[10:889] fernando Unlocked HeavyTurret
[11:283] fernando Placed/Upgraded AutoTurret
[11:515] fernando Placed/Upgraded AutoTurret
[13:301] fernando Placed/Upgraded AutoTurret
[14:509] fernando Placed/Upgraded PsiIndoctrinator
[29:110] fernando Unlocked IncendiaryGrenade
[29:267] fernando Placed/Upgraded AutoTurret
[29:511] fernando Placed/Upgraded AutoTurret
[29:806] fernando Placed/Upgraded AutoTurret
[30:261] fernando Placed/Upgraded AutoTurret
[00:588] BarcodesOP Unlocked AssaultRifle
[00:797] BarcodesOP Placed/Upgraded MiningDroid
[01:176] BarcodesOP Unlocked ArcWelder
[02:369] BarcodesOP Unlocked AdvancedDroidEngines
[03:346] BarcodesOP Unlocked AutoTurret
[03:379] BarcodesOP Unlocked SpecOpsTurret
[03:856] BarcodesOP Placed/Upgraded AutoTurret
[04:014] BarcodesOP Placed/Upgraded AutoTurret
[04:203] BarcodesOP Placed/Upgraded AutoTurret
[05:108] BarcodesOP Unlocked SpecOpsArcWelder
[05:992] BarcodesOP Placed/Upgraded AutoTurret
[06:278] BarcodesOP Unlocked TurboDroidEngines
[09:556] BarcodesOP Unlocked EnergySuit
[09:557] BarcodesOP Unlocked ShieldSuit
[09:557] BarcodesOP Unlocked AdvancedShieldSuit
[09:557] BarcodesOP Unlocked CombatSuit
[09:557] BarcodesOP Unlocked AdvancedCombatSuit
[09:557] BarcodesOP Unlocked HazmatSuit
[09:557] BarcodesOP Unlocked AdvancedHazmatSuit
[09:557] BarcodesOP Unlocked EnergySuit
[09:566] BarcodesOP Unlocked AdvancedEnergySuit
[09:567] BarcodesOP Unlocked EnergySuit
[09:567] BarcodesOP Unlocked AdvancedEnergySuit
[09:707] BarcodesOP Unlocked ArcWelderMod1
[09:933] BarcodesOP Unlocked CombatShield
[09:986] BarcodesOP Unlocked QuantumBackpack
[10:099] BarcodesOP Unlocked OpticalVisor
[10:194] BarcodesOP Unlocked Stimpack
[10:456] BarcodesOP Placed/Upgraded AutoTurret
[10:567] BarcodesOP Placed/Upgraded AutoTurret
[10:736] BarcodesOP Placed/Upgraded AutoTurret
[11:312] BarcodesOP Placed/Upgraded AutoTurret
[12:512] BarcodesOP Placed/Upgraded AutoTurret
[12:762] BarcodesOP Placed/Upgraded AutoTurret
[13:000] BarcodesOP Placed/Upgraded AutoTurret
[13:304] BarcodesOP Unlocked MiningCharge
[13:319] BarcodesOP Unlocked AdvancedMiningCharge
[13:543] BarcodesOP Placed/Upgraded AutoTurret
[14:501] BarcodesOP Placed/Upgraded AutoTurret
[15:024] BarcodesOP Placed/Upgraded AutoTurret
[15:170] BarcodesOP Placed/Upgraded AutoTurret
[15:296] BarcodesOP Placed/Upgraded AutoTurret
[15:446] BarcodesOP Placed/Upgraded AutoTurret
[16:782] BarcodesOP Unlocked IncendiaryGrenade
[16:791] BarcodesOP Unlocked SpecOpsIncendiaryGrenade
[17:588] BarcodesOP Placed/Upgraded AutoTurret
[17:713] BarcodesOP Placed/Upgraded AutoTurret
[17:929] BarcodesOP Placed/Upgraded NukePack
[18:252] BarcodesOP Placed/Upgraded AutoTurret
[18:843] BarcodesOP Placed/Upgraded AutoTurret
[18:952] BarcodesOP Placed/Upgraded AutoTurret
[19:061] BarcodesOP Placed/Upgraded AutoTurret
[20:566] BarcodesOP Placed/Upgraded NukePack
[20:624] BarcodesOP Placed/Upgraded NukePack
[21:076] BarcodesOP Unlocked BioMechanicalRepairDrone
[22:079] BarcodesOP Unlocked SpecOpsBioMechanicalRepairDrone
[23:061] BarcodesOP Placed/Upgraded NukePack
[23:077] BarcodesOP Placed/Upgraded HealingDrone
[23:343] BarcodesOP Placed/Upgraded HealingDrone
[23:504] BarcodesOP Placed/Upgraded HealingDrone
[24:537] BarcodesOP Placed/Upgraded AutoTurret
[31:600] BarcodesOP Placed/Upgraded AutoTurret
[31:866] BarcodesOP Placed/Upgraded AutoTurret
[32:045] BarcodesOP Placed/Upgraded AutoTurret
[00:588] Leviathan Unlocked AssaultRifle
[02:891] Leviathan Unlocked BeamRifle
[03:499] Leviathan Unlocked AIAssistant
[04:325] Leviathan Unlocked CombatSuit
[04:326] Leviathan Unlocked ShieldSuit
[04:326] Leviathan Unlocked AdvancedShieldSuit
[04:326] Leviathan Unlocked CombatSuit
[04:326] Leviathan Unlocked AdvancedCombatSuit
[04:326] Leviathan Unlocked HazmatSuit
[04:326] Leviathan Unlocked AdvancedHazmatSuit
[04:326] Leviathan Unlocked CombatSuit
[06:506] Leviathan Unlocked CloakingDevice
[06:604] Leviathan Unlocked SpecOpsCloakingDevice
[12:923] Leviathan Unlocked SpecOpsPlasmaRifle
[13:159] Leviathan Unlocked LongRangeScope
[13:322] Leviathan Unlocked PlasmaRifleMod3
[13:346] Leviathan Unlocked CorrosivePlasma
[13:713] Leviathan Unlocked AutoTurret
[13:825] Leviathan Unlocked FlameTurret
[14:850] Leviathan Placed/Upgraded AutoTurret
[15:056] Leviathan Placed/Upgraded AutoTurret
[17:974] Leviathan Unlocked Shieldsiotunlocked
[17:975] Leviathan Unlocked ShieldSuit
[17:975] Leviathan Unlocked AdvancedShieldSuit
[17:975] Leviathan Unlocked CombatSuit
[17:975] Leviathan Unlocked AdvancedCombatSuit
[17:975] Leviathan Unlocked HazmatSuit
[17:975] Leviathan Unlocked AdvancedHazmatSuit
[17:975] Leviathan Unlocked ShieldSuit
[18:039] Leviathan Unlocked HazmatSuit
[18:040] Leviathan Unlocked ShieldSuit
[18:040] Leviathan Unlocked AdvancedShieldSuit
[18:040] Leviathan Unlocked CombatSuit
[18:040] Leviathan Unlocked AdvancedCombatSuit
[18:040] Leviathan Unlocked HazmatSuit
