Analyzed: Oh No It's Zombies Arctic Updated (69)

ID : 0 PlayerName: StunLancer Race: Zerg
ID : 1 PlayerName: GenerousPot Race: Terran
ID : 2 PlayerName: yoloLife Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: iliketerran Race: Terran
ID : 5 PlayerName: KelthuzadxD Race: Terran
ID : 6 PlayerName: sanadel Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
StunLancer Zombie Loss
Public Lobby

Game Length:[41:438]
Players ammount: 8
Marine rank avg: 9,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[01:447] StunLancer Spawned MassiveCocoon
[02:887] StunLancer Spawned Hunter
[05:072] StunLancer Bought StrainVolatile
[07:702] StunLancer Bought VirulentCreep
[08:712] StunLancer Bought CreepSpeed
[08:980] StunLancer Placed/Upgraded ToxicNest
[09:004] StunLancer Placed/Upgraded ToxicNest
[09:061] StunLancer Placed/Upgraded ToxicNest
[09:652] StunLancer Placed/Upgraded ToxicNest
[10:015] StunLancer Placed/Upgraded ToxicNest
[10:601] StunLancer Placed/Upgraded ToxicNest
[11:118] StunLancer Spawned MassiveCocoon
[11:751] StunLancer Placed/Upgraded ToxicNest
[11:770] StunLancer Placed/Upgraded ToxicNest
[12:802] StunLancer Placed/Upgraded NydusCanalCreeper
[14:489] StunLancer Placed/Upgraded LesserNydusWorm
[14:490] StunLancer Bought GreaterNydus
[15:231] StunLancer Bought AdvancedPowerInfestation
[15:755] StunLancer Bought GreaterNydus
[16:095] StunLancer Spawned MassiveCocoon
[17:535] StunLancer Spawned Anubalisk
[18:919] StunLancer Bought CreepSpeed
[21:344] StunLancer Placed/Upgraded NydusCanalCreeper
[21:935] StunLancer Placed/Upgraded LesserNydusWorm
[21:936] StunLancer Bought GreaterNydus
[24:293] StunLancer Bought UnlockDropPods
[24:301] StunLancer Bought EvolveDropPods
[24:306] StunLancer Bought EvolveDropPods
[24:309] StunLancer Bought EvolveDropPods
[25:677] StunLancer Bought SiphonFuel
[28:591] StunLancer Bought BuildExtractorProcessingFacilities
[28:591] StunLancer Placed/Upgraded AutomatedExtractor
[28:624] StunLancer Bought BuildExtractorExcavationZone
[28:624] StunLancer Placed/Upgraded AutomatedExtractor
[28:656] StunLancer Bought SiphonFuel
[28:725] StunLancer Bought BuildExtractorScienceLabs
[28:725] StunLancer Placed/Upgraded AutomatedExtractor
[28:853] StunLancer Placed/Upgraded NydusCanalCreeper
[29:572] StunLancer Spawned MassiveCocoon
[31:012] StunLancer Spawned Hunter
[31:414] StunLancer Bought BuildExtractorManufacturingSector
[31:414] StunLancer Placed/Upgraded AutomatedExtractor
[31:466] StunLancer Bought EvolveDropPods
[31:470] StunLancer Bought EvolveDropPods
[31:534] StunLancer Bought DropshipsFueled
[32:604] StunLancer Bought BuildExtractorExcavationZone
[32:611] StunLancer Bought UltimateInfestationResearched
[33:124] StunLancer Bought GreaterNydus
[33:180] StunLancer Bought StrainDamage
[33:194] StunLancer Bought PureStrainDamage
[33:206] StunLancer Bought PureStrainVolatile
[33:236] StunLancer Bought StrainSpeed
[33:249] StunLancer Bought PureStrainSpeed
[33:362] StunLancer Placed/Upgraded NydusCanalCreeper
[33:819] StunLancer Spawned MassiveCocoon
[34:016] StunLancer Bought ExtractorCostReductionProcessingFacilities
[34:016] StunLancer Bought BuildExtractorProcessingFacilities
[34:181] StunLancer Bought GreaterNydus
[34:526] StunLancer Bought EvolveDropPods
[35:015] StunLancer Bought GreaterNydus
[35:259] StunLancer Spawned Hunter
[35:476] StunLancer Bought GreaterNydus
[36:924] StunLancer Placed/Upgraded NydusCanalCreeper
[37:778] StunLancer Bought AdvancedInfestationSecurity
[37:798] StunLancer Bought TrackHumans
[39:517] StunLancer Placed/Upgraded NydusCanalCreeper
[40:117] StunLancer Bought HunterlingStrain
[40:130] StunLancer Bought DefilerStrain
[40:143] StunLancer Bought KaboomerStrain
[40:197] StunLancer Bought StrainHealth
[40:209] StunLancer Bought PureStrainHealth
[40:220] StunLancer Bought TankStrain
[00:588] GenerousPot Unlocked AssaultRifle
[00:683] GenerousPot Placed/Upgraded MiningDroid
[00:709] GenerousPot Unlocked AdvancedDroidEngines
[03:791] GenerousPot Unlocked TurboDroidEngines
[05:042] GenerousPot Unlocked MotionSensor
[05:383] GenerousPot Placed/Upgraded SensorTower
[07:043] GenerousPot Placed/Upgraded SensorTower
[07:276] GenerousPot Unlocked SuperStimpack
[08:256] GenerousPot Unlocked Stimpack
[09:005] GenerousPot Unlocked MedicShield
[10:488] GenerousPot Placed/Upgraded SensorTower
[11:285] GenerousPot Unlocked SpecOpsAssaultRifle
[12:844] GenerousPot Unlocked AutoTargetingSystem
[14:954] GenerousPot Unlocked HazmatSuit
[14:955] GenerousPot Unlocked ShieldSuit
[14:955] GenerousPot Unlocked AdvancedShieldSuit
[14:955] GenerousPot Unlocked CombatSuit
[14:955] GenerousPot Unlocked AdvancedCombatSuit
[14:955] GenerousPot Unlocked HazmatSuit
[14:955] GenerousPot Unlocked AdvancedHazmatSuit
[14:955] GenerousPot Unlocked HazmatSuit
[14:965] GenerousPot Unlocked AdvancedHazmatSuit
[14:966] GenerousPot Unlocked HazmatSuit
[14:966] GenerousPot Unlocked AdvancedHazmatSuit
[19:244] GenerousPot Placed/Upgraded MiningDroid
[20:827] GenerousPot Unlocked PsiDisrupter
[20:866] GenerousPot Placed/Upgraded PsiIndoctrinator
[21:109] GenerousPot Placed/Upgraded PsiIndoctrinator
[21:645] GenerousPot Placed/Upgraded MiningDroid
[22:466] GenerousPot Unlocked PsiDepressor
[23:179] GenerousPot Placed/Upgraded SensorTower
[24:086] GenerousPot Placed/Upgraded PsiIndoctrinator
[31:226] GenerousPot Placed/Upgraded PsiIndoctrinator
[31:262] GenerousPot Placed/Upgraded SensorTower
