Analyzed: Oh No It's Zombies Arctic Updated (70)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: KelthuzadxD Race: Zerg
ID : 2 PlayerName: iliketerran Race: Terran
ID : 3 PlayerName: mari Race: Terran
ID : 4 PlayerName: menshin Race: Terran
ID : 5 PlayerName: RyK Race: Terran
ID : 6 PlayerName: Gafe Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
KelthuzadxD Zombie Loss
Public Lobby

Game Length:[33:916]
Players ammount: 8
Marine rank avg: 14,333333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:790] Frosky Unlocked AdvancedDroidEngines
[01:021] Frosky Placed MiningDroid
[04:172] Frosky Unlocked SpecOpsAssaultRifle
[05:963] Frosky Unlocked Stimpack
[07:924] Frosky Unlocked TurboDroidEngines
[09:496] Frosky Unlocked TitaniumBulletCasings
[11:789] Frosky Unlocked CombatSuit
[17:201] Frosky Unlocked AdvancedCombatSuit
[19:272] Frosky Placed MiningDroid
[21:666] Frosky Unlocked CombatShield
[28:453] Frosky Unlocked Teleporter
[30:985] Frosky Unlocked AutoTurret
[31:038] Frosky Unlocked FlameTurret
[31:870] Frosky Placed AutoTurret
[00:552] KelthuzadxD Bought PlayerNumber
[00:713] KelthuzadxD Spawned MassiveCocoon
[02:152] KelthuzadxD Spawned PrimalTownHallUprooted
[03:715] KelthuzadxD Spawned MassiveCocoon
[05:155] KelthuzadxD Spawned PrimalTownHallUprooted
[06:686] KelthuzadxD Spawned MassiveCocoon
[08:126] KelthuzadxD Spawned Anubalisk
[08:799] KelthuzadxD Spawned MassiveCocoon
[11:307] KelthuzadxD Bought SpawnNydusWorm
[11:429] KelthuzadxD Placed/Upgraded GreaterNydusWorm
[11:790] KelthuzadxD Bought ShieldSuit
[11:790] KelthuzadxD Bought CombatSuit
[11:790] KelthuzadxD Bought HazmatSuit
[11:790] KelthuzadxD Bought CombatSuit
[13:576] KelthuzadxD Spawned MassiveCocoon
[14:149] KelthuzadxD Bought BuildExtractorScienceLabs
[14:149] KelthuzadxD Placed/Upgraded AutomatedExtractor
[14:259] KelthuzadxD Bought SunkenColony
[14:259] KelthuzadxD Placed/Upgraded PrimalSunkenColony
[14:660] KelthuzadxD Placed/Upgraded PrimalSunkenColony
[14:661] KelthuzadxD Bought SunkenColony
[15:016] KelthuzadxD Spawned Hunter
[15:777] KelthuzadxD Bought BuildExtractorScienceLabs
[16:487] KelthuzadxD Placed/Upgraded PrimalSunkenColony
[16:488] KelthuzadxD Bought SunkenColony
[16:534] KelthuzadxD Bought SunkenColony
[16:543] KelthuzadxD Bought SunkenColony
[16:946] KelthuzadxD Bought SunkenColony
[17:202] KelthuzadxD Bought CombatSuit
[17:441] KelthuzadxD Bought CreepSpeed
[18:118] KelthuzadxD Placed/Upgraded ToxicNest
[18:787] KelthuzadxD Placed/Upgraded PrimalSunkenColony
[18:788] KelthuzadxD Bought SunkenColony
[19:409] KelthuzadxD Placed/Upgraded ToxicNest
[19:655] KelthuzadxD Bought CreepSpeed
[20:325] KelthuzadxD Placed/Upgraded GreaterNydusWorm
[20:801] KelthuzadxD Bought AdvancedInfestationContainment
[22:136] KelthuzadxD Bought AdvancedPowerInfestation
[23:675] KelthuzadxD Bought VirulentCreep
[23:675] KelthuzadxD Bought VirulentCreep
[23:822] KelthuzadxD Bought BuildExtractorProcessingFacilities
[23:822] KelthuzadxD Placed/Upgraded AutomatedExtractor
[23:854] KelthuzadxD Bought BuildExtractorScienceLabs
[23:854] KelthuzadxD Placed/Upgraded AutomatedExtractor
[24:545] KelthuzadxD Bought DropshipsFueled
[24:562] KelthuzadxD Bought BuildExtractorManufacturingSector
[24:562] KelthuzadxD Placed/Upgraded AutomatedExtractor
[24:669] KelthuzadxD Placed/Upgraded LesserNydusWorm
[24:670] KelthuzadxD Bought GreaterNydus
[25:115] KelthuzadxD Bought StrainVolatile
[26:102] KelthuzadxD Bought PureStrainVolatile
[26:491] KelthuzadxD Placed/Upgraded NydusCanalCreeper
[26:869] KelthuzadxD Spawned RoyalCocoon
