Analyzed: Oh No It's Zombies Arctic Updated (75)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Salem Race: Zerg
ID : 2 PlayerName: NVDAPuckU Race: Terran
ID : 3 PlayerName: Rio Race: Terran
ID : 4 PlayerName: Westy Race: Terran
ID : 5 PlayerName: Lantz Race: Terran
ID : 6 PlayerName: zhuthepig Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Salem Zombie Loss
Public Lobby

Game Length:[34:582]
Players ammount: 8
Marine rank avg: 5,333333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[00:891] Frosky Unlocked AdvancedDroidEngines
[03:503] Frosky Unlocked TurboDroidEngines
[05:415] Frosky Unlocked SpecOpsAssaultRifle
[11:610] Frosky Unlocked Stimpack
[16:235] Frosky Unlocked CombatSuit
[18:856] Frosky Unlocked Teleporter
[26:062] Frosky Unlocked AutoTurret
[27:170] Frosky Placed AutoTurret
[28:003] Frosky Placed AutoTurret
[32:257] Frosky Placed AutoTurret
[00:552] Salem Bought PlayerNumber
[01:178] Salem Bought UnlockDropPods
[02:445] Salem Bought EvolveDropPods
[03:039] Salem Bought EvolveDropPods
[03:385] Salem Bought EvolveDropPods
[04:578] Salem Bought EvolveDropPods
[04:581] Salem Bought EvolveDropPods
[04:585] Salem Bought EvolveDropPods
[06:619] Salem Bought StrainVolatile
[09:361] Salem Bought PureStrainVolatile
[12:021] Salem Spawned MassiveCocoon
[12:266] Salem Bought StrainSpeed
[13:422] Salem Bought PureStrainSpeed
[16:236] Salem Bought ShieldSuit
[16:236] Salem Bought CombatSuit
[16:236] Salem Bought HazmatSuit
[16:236] Salem Bought CombatSuit
[16:844] Salem Bought AdvancedInfestationContainment
[19:648] Salem Bought SpawnNydusWorm
[21:271] Salem Bought SiphonFuel
[21:354] Salem Placed/Upgraded GreaterNydusWorm
[24:206] Salem Bought SiphonFuel
[24:275] Salem Bought BuildExtractorScienceLabs
[24:275] Salem Placed/Upgraded AutomatedExtractor
[25:134] Salem Bought DropshipsFueled
[25:333] Salem Spawned RoyalCocoon
