Analyzed: Oh No It's Zombies Arctic Updated (78)

ID : 0 PlayerName: vicVinegar Race: Terran
ID : 1 PlayerName: Cruel Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: Destroyer Race: Terran
ID : 4 PlayerName: HornyHumplar Race: Terran
ID : 5 PlayerName: lman Race: Zerg
ID : 6 PlayerName: MarFly Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
lman Zombie Loss
Private Lobby

Game Length:[30:638]
Players ammount: 8
Marine rank avg: 6,166666666666667
GrandMaster ammount: 4
PURCHASES: 
[00:588] vicVinegar Unlocked AssaultRifle
[01:604] vicVinegar Unlocked Shieldsiotunlocked
[01:858] vicVinegar Placed/Upgraded MiningDroid
[02:929] vicVinegar Unlocked SuperStimpack
[04:171] vicVinegar Unlocked AIAssistant
[06:651] vicVinegar Unlocked SpecOpsAssaultRifle
[08:476] vicVinegar Unlocked AutoTargetingSystem
[08:697] vicVinegar Unlocked AdvancedShieldSuit
[09:111] vicVinegar Unlocked IncendiaryGrenade
[10:745] vicVinegar Unlocked TitaniumBulletCasings
[11:983] vicVinegar Unlocked SpecOpsSuperStimpack
[13:447] vicVinegar Unlocked MedicShield
[16:336] vicVinegar Unlocked AutoTurret
[16:661] vicVinegar Unlocked SpecOpsTurret
[16:891] vicVinegar Placed/Upgraded AutoTurret
[17:087] vicVinegar Placed/Upgraded AutoTurret
[18:006] vicVinegar Placed/Upgraded AutoTurret
[19:926] vicVinegar Unlocked FlameTurret
[21:269] vicVinegar Unlocked BioMechanicalRepairDrone
[21:479] vicVinegar Unlocked RechargeDrone
[25:289] vicVinegar Unlocked DefensiveMatrix
[25:914] vicVinegar Unlocked QuantumBackpack
[26:075] vicVinegar Unlocked Shotgun
[26:085] vicVinegar Unlocked Flamethrower
[26:110] vicVinegar Unlocked HellfireRocketLauncher
[26:124] vicVinegar Unlocked BeamRifle
[26:205] vicVinegar Unlocked SpecOpsPlasmaRifle
[26:215] vicVinegar Unlocked SpecOpsHellfireRocketLauncher
[00:588] Cruel Unlocked AssaultRifle
[00:885] Cruel Placed/Upgraded MiningDroid
[00:898] Cruel Unlocked AdvancedDroidEngines
[01:605] Cruel Bought ShieldSuit
[01:605] Cruel Bought CombatSuit
[01:605] Cruel Bought HazmatSuit
[01:605] Cruel Bought ShieldSuit
[03:307] Cruel Unlocked OverloadWeapon
[04:802] Cruel Unlocked SpecOpsAssaultRifle
[06:490] Cruel Unlocked TitaniumBulletCasings
[06:537] Cruel Unlocked CombatSuit
[06:900] Cruel Unlocked MedicShield
[08:698] Cruel Bought ShieldSuit
[08:871] Cruel Unlocked AutoTurret
[08:890] Cruel Unlocked SpecOpsTurret
[08:969] Cruel Unlocked PowerConverter
[09:189] Cruel Placed/Upgraded AutoTurret
[09:513] Cruel Placed/Upgraded AutoTurret
[09:924] Cruel Placed/Upgraded AutoTurret
[10:123] Cruel Placed/Upgraded AutoTurret
[11:200] Cruel Placed/Upgraded AutoTurret
[12:389] Cruel Unlocked SpecOpsPowerConverter
[12:489] Cruel Placed/Upgraded AutoTurret
[12:818] Cruel Unlocked ExplorationDroid
[12:851] Cruel Placed/Upgraded ExplorationDroid
[12:910] Cruel Placed/Upgraded ExplorationDroid
[13:044] Cruel Placed/Upgraded ExplorationDroid
[13:486] Cruel Unlocked AdvancedCombatSuit
[13:566] Cruel Placed/Upgraded AutoTurret
[15:099] Cruel Unlocked MiningCharge
[15:104] Cruel Unlocked AdvancedMiningCharge
[15:285] Cruel Placed/Upgraded NukePack
[15:577] Cruel Unlocked PsiDisrupter
[15:744] Cruel Placed/Upgraded PsiIndoctrinator
[15:761] Cruel Placed/Upgraded NukePack
[16:521] Cruel Placed/Upgraded AutoTurret
[16:776] Cruel Placed/Upgraded AutoTurret
[17:639] Cruel Placed/Upgraded AutoTurret
[18:365] Cruel Placed/Upgraded PsiIndoctrinator
[18:486] Cruel Unlocked PsiDepressor
[20:887] Cruel Placed/Upgraded NukePack
[21:760] Cruel Unlocked TurboDroidEngines
[21:823] Cruel Placed/Upgraded MiningDroid
[22:636] Cruel Placed/Upgraded PsiIndoctrinator
[23:480] Cruel Placed/Upgraded AutoTurret
[23:656] Cruel Placed/Upgraded AutoTurret
[23:834] Cruel Placed/Upgraded AutoTurret
[24:476] Cruel Unlocked BioMechanicalRepairDrone
[24:496] Cruel Unlocked SpecOpsBioMechanicalRepairDrone
[24:544] Cruel Placed/Upgraded NukePack
[24:827] Cruel Placed/Upgraded HealingDrone
[25:002] Cruel Placed/Upgraded HealingDrone
[25:829] Cruel Placed/Upgraded HealingDrone
[26:156] Cruel Unlocked MotionSensor
[26:170] Cruel Unlocked AdvancedMotionSensor
[26:389] Cruel Placed/Upgraded SensorTower
[26:406] Cruel Placed/Upgraded SensorTower
[26:805] Cruel Placed/Upgraded SensorTower
[26:805] Cruel Placed/Upgraded SensorTower
[27:189] Cruel Placed/Upgraded SensorTower
[27:215] Cruel Placed/Upgraded SensorTower
[27:321] Cruel Placed/Upgraded SensorTower
[27:337] Cruel Placed/Upgraded SensorTower
[27:736] Cruel Placed/Upgraded HealingDrone
[27:905] Cruel Placed/Upgraded HealingDrone
[28:080] Cruel Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:901] Frosky Unlocked Shotgun
[04:240] Frosky Unlocked AdvancedDroidEngines
[05:638] Frosky Unlocked TurboDroidEngines
[06:538] Frosky Bought ShieldSuit
[06:538] Frosky Bought CombatSuit
[06:538] Frosky Bought HazmatSuit
