Date: 2021.08.18  07:11:23

ID : 0 PlayerName: Kaedin Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: FireFurry Race: Terran
ID : 3 PlayerName: Gafe Race: Zerg
ID : 4 PlayerName: FanaticFoe Race: Terran
ID : 5 PlayerName: Chronos Race: Terran
ID : 6 PlayerName: robotcop Race: Terran
ID : 7 PlayerName: Security Race: Terran
Gafe  Loss
Public Lobby

Game Length:[35:268]
Players ammount: 7
Marine rank avg: 0
GrandMaster ammount: 0

Kaedin First Gun ArcWelder
robotcop First Gun SpecOpsAssaultRifle
Chronos First Gun SpecOpsAssaultRifle
FanaticFoe First Gun SpecOpsAssaultRifle
FireFurry First Gun BeamRifle

PURCHASES: 
[00:588] Kaedin Unlocked AssaultRifle
[00:696] Kaedin Unlocked ArcWelder
[00:975] Kaedin Placed/Upgraded MiningDroid
[01:830] Kaedin Unlocked AdvancedDroidEngines
[03:519] Kaedin Unlocked TurboDroidEngines
[04:262] Kaedin Unlocked BioMechanicalRepairDrone
[04:745] Kaedin Unlocked CombatAccelerationDrone
[04:825] Kaedin Placed/Upgraded HealingDrone
[05:018] Kaedin Placed/Upgraded HealingDrone
[05:360] Kaedin Placed/Upgraded HealingDrone
[07:741] Kaedin Unlocked QuantumBackpack
[07:878] Kaedin Unlocked Stimpack
[08:081] Kaedin Unlocked AutoTurret
[09:280] Kaedin Placed/Upgraded AutoTurret
[09:634] Kaedin Placed/Upgraded MiningDroid
[09:939] Kaedin Unlocked MedicShield
[10:614] Kaedin Placed/Upgraded HealingDrone
[10:788] Kaedin Unlocked FlameTurret
[10:859] Kaedin Placed/Upgraded HealingDrone
[11:000] Kaedin Placed/Upgraded HealingDrone
[11:307] Kaedin Placed/Upgraded HealingDrone
[11:625] Kaedin Unlocked SpecOpsBioMechanicalRepairDrone
[12:172] Kaedin Placed/Upgraded HealingDrone
[12:327] Kaedin Placed/Upgraded AutoTurret
[13:227] Kaedin Unlocked SpecOpsTurret
[13:327] Kaedin Unlocked MotionSensor
[14:067] Kaedin Unlocked PsiDisrupter
[14:245] Kaedin Placed/Upgraded PsiIndoctrinator
[14:857] Kaedin Placed/Upgraded PsiIndoctrinator
[15:430] Kaedin Placed/Upgraded HealingDrone
[15:891] Kaedin Placed/Upgraded AutoTurret
[16:251] Kaedin Unlocked PsiDepressor
[17:126] Kaedin Placed/Upgraded SensorTower
[17:456] Kaedin Placed/Upgraded SensorTower
[18:218] Kaedin Placed/Upgraded SensorTower
[18:462] Kaedin Unlocked AdvancedMotionSensor
[19:470] Kaedin Unlocked SpecOpsPsiDisruptor
[19:592] Kaedin Placed/Upgraded PsiIndoctrinator
[20:075] Kaedin Placed/Upgraded AutoTurret
[20:220] Kaedin Placed/Upgraded AutoTurret
[20:402] Kaedin Placed/Upgraded AutoTurret
[21:170] Kaedin Placed/Upgraded PsiIndoctrinator
[21:711] Kaedin Placed/Upgraded AutoTurret
[21:890] Kaedin Placed/Upgraded AutoTurret
[22:034] Kaedin Placed/Upgraded AutoTurret
[23:239] Kaedin Placed/Upgraded HealingDrone
[24:811] Kaedin Placed/Upgraded HealingDrone
[25:617] Kaedin Unlocked SpecOpsArcWelder
[26:441] Kaedin Unlocked ArcWelderMod3
[28:737] Kaedin Placed/Upgraded AutoTurret
[28:865] Kaedin Placed/Upgraded AutoTurret
[28:958] Kaedin Placed/Upgraded AutoTurret
[29:077] Kaedin Placed/Upgraded HealingDrone
[29:184] Kaedin Placed/Upgraded AutoTurret
[29:459] Kaedin Placed/Upgraded PsiIndoctrinator
[30:257] Kaedin Placed/Upgraded AutoTurret
[30:489] Kaedin Placed/Upgraded AutoTurret
[32:299] Kaedin Placed/Upgraded AutoTurret
[32:636] Kaedin Placed/Upgraded AutoTurret
[33:823] Kaedin Placed/Upgraded AutoTurret
[34:087] Kaedin Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
