Analyzed: Oh No It's Zombies Arctic Updated (81)

ID : 0 PlayerName: RyK Race: Terran
ID : 1 PlayerName: MarFly Race: Terran
ID : 2 PlayerName: FireFurry Race: Terran
ID : 3 PlayerName: Iridium Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: treename Race: Terran
ID : 6 PlayerName: Cruel Race: Zerg
ID : 7 PlayerName: Security Race: Terran
Cruel Zombie Win
Public Lobby

Game Length:[37:674]
Players ammount: 8
Marine rank avg: 12,333333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] RyK Unlocked AssaultRifle
[00:709] RyK Placed/Upgraded MiningDroid
[00:790] RyK Unlocked AdvancedDroidEngines
[02:182] RyK Unlocked FragGrenade
[03:892] RyK Unlocked BeamRifle
[05:727] RyK Unlocked Stimpack
[06:866] RyK Unlocked ExplorationDroid
[06:905] RyK Placed/Upgraded ExplorationDroid
[06:913] RyK Placed/Upgraded ExplorationDroid
[08:848] RyK Unlocked SpecOpsPlasmaRifle
[10:705] RyK Placed/Upgraded ExplorationDroid
[10:908] RyK Unlocked CombatSuit
[11:635] RyK Unlocked Teleporter
[13:510] RyK Placed/Upgraded MiningDroid
[13:615] RyK Placed/Upgraded ExplorationDroid
[15:356] RyK Unlocked CorrosivePlasma
[16:114] RyK Placed/Upgraded ExplorationDroid
[16:547] RyK Unlocked AdvancedExplorationDroid
[17:166] RyK Unlocked AdvancedCombatSuit
[18:213] RyK Unlocked PlasmaRifleMod3
[19:591] RyK Placed/Upgraded ExplorationDroid
[23:103] RyK Placed/Upgraded ExplorationDroid
[23:539] RyK Unlocked MedicShield
[24:181] RyK Unlocked BioMechanicalRepairDrone
[24:679] RyK Placed/Upgraded HealingDrone
[24:870] RyK Placed/Upgraded HealingDrone
[27:015] RyK Placed/Upgraded HealingDrone
[32:512] RyK Placed/Upgraded ExplorationDroid
[00:588] MarFly Unlocked AssaultRifle
[00:667] MarFly Placed/Upgraded MiningDroid
[00:804] MarFly Unlocked Stimpack
[03:135] MarFly Unlocked MedicShield
[06:595] MarFly Unlocked FragGrenade
[06:604] MarFly Unlocked SpecOpsFragGrenade
[08:577] MarFly Unlocked HellfireRocketLauncher
[08:607] MarFly Unlocked SpecOpsHellfireRocketLauncher
[10:361] MarFly Unlocked ShockwaveMissiles
[10:909] MarFly Bought ShieldSuit
[10:909] MarFly Bought CombatSuit
[10:909] MarFly Bought HazmatSuit
[10:909] MarFly Bought CombatSuit
[12:245] MarFly Unlocked BioMechanicalRepairDrone
[12:344] MarFly Placed/Upgraded HealingDrone
[13:031] MarFly Placed/Upgraded HealingDrone
[15:582] MarFly Placed/Upgraded MiningDroid
[16:021] MarFly Unlocked CombatSuit
[17:167] MarFly Bought CombatSuit
[18:738] MarFly Placed/Upgraded HealingDrone
[21:575] MarFly Unlocked MiningCharge
[21:647] MarFly Unlocked Teleporter
[23:409] MarFly Placed/Upgraded NukePack
[27:844] MarFly Placed/Upgraded NukePack
[00:588] FireFurry Unlocked AssaultRifle
[01:027] FireFurry Placed/Upgraded MiningDroid
[01:206] FireFurry Unlocked FragGrenade
[01:223] FireFurry Unlocked SpecOpsFragGrenade
[06:008] FireFurry Unlocked AdvancedDroidEngines
[08:308] FireFurry Unlocked Stimpack
[10:880] FireFurry Unlocked PowerConverter
[11:406] FireFurry Unlocked MedicShield
[12:871] FireFurry Unlocked SpecOpsAssaultRifle
[14:441] FireFurry Placed/Upgraded MiningDroid
[16:022] FireFurry Bought ShieldSuit
[16:022] FireFurry Bought CombatSuit
[16:022] FireFurry Bought HazmatSuit
[16:022] FireFurry Bought CombatSuit
[16:605] FireFurry Unlocked AutoTargetingSystem
[18:806] FireFurry Unlocked EnergySuit
[18:807] FireFurry Unlocked EnergySuit
[18:819] FireFurry Unlocked AdvancedEnergySuit
[18:820] FireFurry Unlocked EnergySuit
[18:820] FireFurry Unlocked AdvancedEnergySuit
[22:848] FireFurry Unlocked EnergyPack
[00:588] Iridium Unlocked AssaultRifle
[01:029] Iridium Unlocked SpecOpsAssaultRifle
[05:901] Iridium Placed/Upgraded MiningDroid
[10:175] Iridium Unlocked AutoTargetingSystem
[12:043] Iridium Unlocked CombatSuit
[14:519] Iridium Unlocked AutoTurret
[14:637] Iridium Unlocked FlameTurret
[15:138] Iridium Placed/Upgraded AutoTurret
[16:241] Iridium Placed/Upgraded AutoTurret
[18:807] Iridium Bought ShieldSuit
[18:807] Iridium Bought CombatSuit
[18:807] Iridium Bought HazmatSuit
[19:853] Iridium Placed/Upgraded AutoTurret
[20:085] Iridium Placed/Upgraded MiningDroid
[21:768] Iridium Unlocked AdvancedCombatSuit
[21:929] Iridium Placed/Upgraded AutoTurret
[22:691] Iridium Placed/Upgraded AutoTurret
[28:147] Iridium Placed/Upgraded AutoTurret
[30:023] Iridium Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:823] Frosky Unlocked Shotgun
[04:024] Frosky Unlocked AdvancedDroidEngines
[08:196] Frosky Unlocked SpecOpsShotgun
[10:351] Frosky Unlocked TurboDroidEngines
[12:044] Frosky Bought ShieldSuit
[12:044] Frosky Bought CombatSuit
[12:044] Frosky Bought HazmatSuit
[12:044] Frosky Bought CombatSuit
[12:654] Frosky Unlocked Stimpack
[16:594] Frosky Unlocked CombatSuit
[16:601] Frosky Unlocked AdvancedCombatSuit
[21:769] Frosky Bought CombatSuit
[00:588] treename Unlocked AssaultRifle
[00:676] treename Placed/Upgraded MiningDroid
[00:768] treename Unlocked AdvancedDroidEngines
[03:454] treename Unlocked Stimpack
[05:763] treename Unlocked SpecOpsAssaultRifle
[07:136] treename Unlocked FragGrenade
[09:678] treename Unlocked TitaniumBulletCasings
[09:730] treename Unlocked SuperStimpack
[11:292] treename Unlocked MotionSensor
[11:710] treename Placed/Upgraded SensorTower
[16:595] treename Bought ShieldSuit
[16:595] treename Bought CombatSuit
[16:595] treename Bought HazmatSuit
[16:595] treename Bought CombatSuit
[16:602] treename Bought CombatSuit
[16:642] treename Unlocked EnergySuit
[16:643] treename Unlocked EnergySuit
[16:647] treename Unlocked AdvancedEnergySuit
[16:648] treename Unlocked EnergySuit
[16:648] treename Unlocked AdvancedEnergySuit
[16:703] treename Unlocked SpecOpsFragGrenade
[17:469] treename Placed/Upgraded MiningDroid
[23:532] treename Unlocked BioMechanicalRepairDrone
[23:543] treename Unlocked SpecOpsBioMechanicalRepairDrone
[23:575] treename Placed/Upgraded HealingDrone
[23:853] treename Placed/Upgraded HealingDrone
[25:228] treename Placed/Upgraded HealingDrone
[29:690] treename Unlocked PsiDisrupter
[30:484] treename Placed/Upgraded PsiIndoctrinator
[36:208] treename Placed/Upgraded PsiIndoctrinator
[00:552] Cruel Bought PlayerNumber
[00:659] Cruel Spawned MassiveCocoon
[02:099] Cruel Spawned InfestedAbomination
[02:872] Cruel Bought SunkenColony
[04:742] Cruel Bought SunkenColony
[05:063] Cruel Bought CreepSpeed
[05:766] Cruel Bought SunkenColony
[05:766] Cruel Bought SunkenColony
[05:817] Cruel Bought SunkenColony
[08:408] Cruel Spawned MassiveCocoon
[08:452] Cruel Bought SunkenColony
[08:899] Cruel Bought StrainSpeed
[08:965] Cruel Bought PureStrainSpeed
[09:848] Cruel Spawned InfestedAbomination
[10:737] Cruel Bought SunkenColony
[10:976] Cruel Bought SunkenColony
[11:864] Cruel Bought SunkenColony
[11:936] Cruel Bought SunkenColony
[12:694] Cruel Bought SunkenColony
[13:029] Cruel Bought SunkenColony
[13:324] Cruel Bought CreepSpeed
[14:782] Cruel Bought SunkenColony
[15:022] Cruel Spawned MassiveCocoon
[15:110] Cruel Bought SunkenColony
[16:462] Cruel Spawned Hunter
[16:643] Cruel Bought ShieldSuit
[16:643] Cruel Bought CombatSuit
[16:643] Cruel Bought HazmatSuit
[17:379] Cruel Bought HunterlingStrain
[17:388] Cruel Bought StrainSpeed
[17:792] Cruel Bought SunkenColony
[18:032] Cruel Bought SunkenColony
[18:325] Cruel Bought SunkenColony
[18:348] Cruel Bought SunkenColony
[18:405] Cruel Bought PureStrainSpeed
[19:770] Cruel Bought SunkenColony
[19:933] Cruel Bought BuildExtractorProcessingFacilities
[20:113] Cruel Bought SunkenColony
[21:394] Cruel Bought BuildExtractorScienceLabs
[21:408] Cruel Bought BuildExtractorManufacturingSector
[23:273] Cruel Bought SunkenColony
[23:570] Cruel Bought SunkenColony
[23:619] Cruel Bought SunkenColony
[25:663] Cruel Bought SunkenColony
[26:066] Cruel Bought SunkenColony
[27:187] Cruel Bought VirulentCreep
[27:187] Cruel Bought VirulentCreep
[27:208] Cruel Bought RegenerativeCreep
[27:301] Cruel Bought SpawnNydusWorm
[27:424] Cruel Bought SunkenColony
[27:533] Cruel Bought SunkenColony
[27:683] Cruel Bought BuildExtractorScienceLabs
[29:547] Cruel Bought ExtractorCostReductionManufacturingSector
[29:547] Cruel Bought BuildExtractorManufacturingSector
[29:753] Cruel Bought AdvancedPowerInfestation
[30:131] Cruel Bought SunkenColony
[30:370] Cruel Bought SunkenColony
[30:523] Cruel Bought AdvancedInfestationContainment
[31:468] Cruel Bought DropshipsFueled
[31:529] Cruel Spawned RoyalCocoon
[31:529] Cruel Bought SpawnHiveQueen
[31:529] Cruel Bought UltimateInfestationResearched
[32:119] Cruel Bought SunkenColony
[32:248] Cruel Spawned QueenCoop
[32:259] Cruel Bought BuildExtractorScienceLabs
[32:273] Cruel Bought BuildExtractorManufacturingSector
[32:860] Cruel Bought ExtractorCostReductionManufacturingSector
[32:860] Cruel Bought BuildExtractorManufacturingSector
[33:069] Cruel Spawned MassiveCocoon
[33:073] Cruel Spawned MassiveCocoon
[33:077] Cruel Spawned MassiveCocoon
[33:080] Cruel Spawned MassiveCocoon
[33:089] Cruel Spawned MassiveCocoon
[33:197] Cruel Spawned MassiveCocoon
[33:202] Cruel Spawned MassiveCocoon
[33:207] Cruel Spawned MassiveCocoon
[33:309] Cruel Bought SunkenColony
[33:340] Cruel Bought SunkenColony
[34:736] Cruel Spawned MassiveCocoon
[34:743] Cruel Spawned MassiveCocoon
[34:747] Cruel Spawned MassiveCocoon
[34:751] Cruel Spawned MassiveCocoon
[34:755] Cruel Spawned MassiveCocoon
[34:760] Cruel Spawned MassiveCocoon
[35:889] Cruel Bought SunkenColony
Cruel First Alpha InfestedAbomination |  Win

Cruel Placed 0 Greaters.
--------------------------------
