Analyzed: Oh No It's Zombies Arctic Updated (83)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: JMM Race: Terran
ID : 2 PlayerName: Markuun Race: Terran
ID : 3 PlayerName: Stagmender Race: Zerg
ID : 4 PlayerName: NVDAPuckU Race: Terran
ID : 5 PlayerName: SkyFireYZ Race: Terran
ID : 6 PlayerName: Zepherd Race: Terran
ID : 7 PlayerName: Security Race: 
Stagmender Zombie Loss
Public Lobby

Game Length:[32:318]
Players ammount: 8
Marine rank avg: 13,833333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:683] Frosky Placed/Upgraded MiningDroid
[02:513] Frosky Unlocked AdvancedDroidEngines
[04:848] Frosky Unlocked TurboDroidEngines
[06:559] Frosky Unlocked SpecOpsAssaultRifle
[08:628] Frosky Unlocked Stimpack
[11:393] Frosky Unlocked CombatSuit
[14:391] Frosky Unlocked AdvancedCombatSuit
[18:106] Frosky Unlocked TitaniumBulletCasings
[23:477] Frosky Unlocked AutoTurret
[23:506] Frosky Unlocked HeavyTurret
[23:589] Frosky Placed/Upgraded AutoTurret
[23:763] Frosky Placed/Upgraded AutoTurret
[24:810] Frosky Unlocked FlashBang
[24:827] Frosky Unlocked SpecOpsFlashbang
[26:684] Frosky Unlocked CombatShield
[26:949] Frosky Unlocked QuantumBackpack
[27:231] Frosky Unlocked BioMechanicalRepairDrone
[00:588] JMM Unlocked AssaultRifle
[00:762] JMM Placed/Upgraded MiningDroid
[02:137] JMM Unlocked Stimpack
[05:540] JMM Unlocked FragGrenade
[05:547] JMM Unlocked SpecOpsFragGrenade
[07:267] JMM Unlocked PowerConverter
[08:107] JMM Placed/Upgraded MiningDroid
[11:394] JMM Bought ShieldSuit
[11:394] JMM Bought CombatSuit
[11:394] JMM Bought HazmatSuit
[11:394] JMM Bought CombatSuit
[11:426] JMM Unlocked EnergySuit
[11:427] JMM Unlocked EnergySuit
[13:123] JMM Unlocked AdvancedEnergySuit
[13:124] JMM Unlocked EnergySuit
[13:124] JMM Unlocked AdvancedEnergySuit
