Date: 2021.08.18  07:48:57

ID : 0 PlayerName: Kaedin Race: Terran
ID : 1 PlayerName: potatoLORD Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: FireFurry Race: Terran
ID : 4 PlayerName: Grom Race: Zerg
ID : 5 PlayerName: BuckNasty Race: Terran
ID : 6 PlayerName: NBDY Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Grom Zombie Loss
Public Lobby

Game Length:[43:975]
Players ammount: 7
Marine rank avg: 0
GrandMaster ammount: 0

Kaedin First Gun ArcWelder
potatoLORD First Gun Shotgun
FireFurry First Gun Flamethrower
Frosky First Gun SpecOpsAssaultRifle
NBDY First Gun BeamRifle
BuckNasty First Gun HellfireRocketLauncher

PURCHASES: 
[00:588] Kaedin Unlocked AssaultRifle
[01:016] Kaedin Placed/Upgraded MiningDroid
[01:092] Kaedin Unlocked AdvancedDroidEngines
[02:888] Kaedin Unlocked ArcWelder
[05:176] Kaedin Unlocked TurboDroidEngines
[05:226] Kaedin Unlocked MotionSensor
[05:910] Kaedin Placed/Upgraded SensorTower
[06:552] Kaedin Unlocked Stimpack
[07:558] Kaedin Placed/Upgraded SensorTower
[07:764] Kaedin Placed/Upgraded SensorTower
[08:059] Kaedin Unlocked PsiDisrupter
[09:464] Kaedin Unlocked BioMechanicalRepairDrone
[09:480] Kaedin Unlocked CombatAccelerationDrone
[09:612] Kaedin Placed/Upgraded HealingDrone
[10:362] Kaedin Placed/Upgraded HealingDrone
[10:495] Kaedin Placed/Upgraded HealingDrone
[11:090] Kaedin Placed/Upgraded HealingDrone
[11:283] Kaedin Unlocked SpecOpsPsiDisruptor
[11:716] Kaedin Placed/Upgraded PsiIndoctrinator
[11:796] Kaedin Unlocked AdvancedMotionSensor
[12:452] Kaedin Unlocked QuantumBackpack
[12:956] Kaedin Unlocked AutoTurret
[14:394] Kaedin Unlocked FlameTurret
[14:581] Kaedin Placed/Upgraded AutoTurret
[14:795] Kaedin Placed/Upgraded AutoTurret
[14:940] Kaedin Placed/Upgraded AutoTurret
[15:476] Kaedin Placed/Upgraded AutoTurret
[15:999] Kaedin Unlocked SpecOpsTurret
[16:727] Kaedin Placed/Upgraded AutoTurret
[17:115] Kaedin Unlocked SpecOpsBioMechanicalRepairDrone
[17:281] Kaedin Placed/Upgraded HealingDrone
[18:077] Kaedin Placed/Upgraded AutoTurret
[18:602] Kaedin Placed/Upgraded PsiIndoctrinator
[19:233] Kaedin Placed/Upgraded AutoTurret
[19:628] Kaedin Unlocked SpecOpsArcWelder
[19:908] Kaedin Placed/Upgraded AutoTurret
[20:060] Kaedin Placed/Upgraded HealingDrone
[22:813] Kaedin Placed/Upgraded AutoTurret
[23:049] Kaedin Unlocked ArcWelderMod1
[23:126] Kaedin Unlocked EnergySuit
[23:127] Kaedin Unlocked EnergySuit
[23:132] Kaedin Unlocked AdvancedEnergySuit
[23:133] Kaedin Unlocked EnergySuit
[23:133] Kaedin Unlocked AdvancedEnergySuit
[25:482] Kaedin Placed/Upgraded AutoTurret
[27:287] Kaedin Placed/Upgraded MiningDroid
[28:082] Kaedin Unlocked FlashBang
[28:096] Kaedin Unlocked SpecOpsFlashbang
[28:174] Kaedin Unlocked MedicShield
[28:193] Kaedin Unlocked OpticalVisor
[28:367] Kaedin Unlocked PsiDepressor
[29:346] Kaedin Placed/Upgraded HealingDrone
[29:459] Kaedin Placed/Upgraded HealingDrone
[30:054] Kaedin Unlocked MiningCharge
[30:061] Kaedin Unlocked AdvancedMiningCharge
[30:935] Kaedin Placed/Upgraded HealingDrone
[32:207] Kaedin Placed/Upgraded AutoTurret
[34:464] Kaedin Placed/Upgraded NukePack
[34:514] Kaedin Placed/Upgraded NukePack
[34:634] Kaedin Placed/Upgraded AutoTurret
[34:725] Kaedin Placed/Upgraded AutoTurret
[34:908] Kaedin Placed/Upgraded AutoTurret
[35:006] Kaedin Placed/Upgraded AutoTurret
