Analyzed: Oh No It's Zombies Arctic Updated (92)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Dalas Race: Terran
ID : 2 PlayerName: Krizzex Race: Terran
ID : 3 PlayerName: JMM Race: Terran
ID : 4 PlayerName: zhuthepig Race: Terran
ID : 5 PlayerName: Monke Race: Terran
ID : 6 PlayerName: Decar Race: Zerg
ID : 7 PlayerName: Security Race: Primal Zerg
Decar Zombie Loss
Public Lobby

Game Length:[36:494]
Players ammount: 8
Marine rank avg: 10,833333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:918] Frosky Unlocked Shotgun
[04:311] Frosky Unlocked AdvancedDroidEngines
[07:270] Frosky Unlocked TurboDroidEngines
[08:151] Frosky Unlocked SpecOpsShotgun
[09:585] Frosky Unlocked HighPrecisionBeams
[10:947] Frosky Unlocked Stimpack
[13:404] Frosky Unlocked CombatSuit
[13:414] Frosky Unlocked AdvancedCombatSuit
[17:122] Frosky Unlocked Teleporter
[17:270] Frosky Unlocked AutoTurret
[18:472] Frosky Placed/Upgraded AutoTurret
[18:645] Frosky Placed/Upgraded AutoTurret
[20:258] Frosky Unlocked MedicShield
[20:343] Frosky Unlocked BioMechanicalRepairDrone
[23:648] Frosky Placed/Upgraded HealingDrone
[24:213] Frosky Placed/Upgraded HealingDrone
[26:198] Frosky Unlocked FlameTurret
[30:110] Frosky Placed/Upgraded HealingDrone
[30:296] Frosky Placed/Upgraded HealingDrone
[30:684] Frosky Unlocked QuantumBackpack
[31:857] Frosky Placed/Upgraded AutoTurret
[34:990] Frosky Placed/Upgraded AutoTurret
[00:588] Dalas Unlocked AssaultRifle
[01:370] Dalas Unlocked Shotgun
[02:814] Dalas Unlocked Shieldsiotunlocked
[06:029] Dalas Placed/Upgraded MiningDroid
[10:260] Dalas Unlocked SuperStimpack
[12:579] Dalas Unlocked SpecOpsAssaultRifle
[13:405] Dalas Bought ShieldSuit
[13:405] Dalas Bought CombatSuit
[13:405] Dalas Bought HazmatSuit
[13:405] Dalas Bought CombatSuit
[13:415] Dalas Bought CombatSuit
[14:200] Dalas Unlocked SpecOpsShotgun
[00:588] Krizzex Unlocked AssaultRifle
[00:746] Krizzex Placed/Upgraded MiningDroid
[00:967] Krizzex Unlocked AdvancedDroidEngines
[02:815] Krizzex Bought ShieldSuit
[02:815] Krizzex Bought CombatSuit
[02:815] Krizzex Bought HazmatSuit
[02:815] Krizzex Bought ShieldSuit
[05:269] Krizzex Unlocked TurboDroidEngines
[13:433] Krizzex Placed/Upgraded MiningDroid
[18:037] Krizzex Unlocked Teleporter
[18:047] Krizzex Unlocked SpecOpsTeleporter
[18:163] Krizzex Unlocked EnergySuit
[18:164] Krizzex Unlocked EnergySuit
[18:186] Krizzex Unlocked AdvancedEnergySuit
[18:187] Krizzex Unlocked EnergySuit
[18:187] Krizzex Unlocked AdvancedEnergySuit
[19:677] Krizzex Unlocked ForceFieldGrenade
[19:720] Krizzex Unlocked SpecOpsForcefieldGrenade
[22:074] Krizzex Unlocked Shotgun
[22:097] Krizzex Unlocked SpecOpsShotgun
[22:582] Krizzex Unlocked HighPrecisionBeams
[00:588] JMM Unlocked AssaultRifle
[00:677] JMM Placed/Upgraded MiningDroid
[05:907] JMM Unlocked SpecOpsAssaultRifle
[05:960] JMM Unlocked TitaniumBulletCasings
[06:123] JMM Unlocked OverloadWeapon
[07:388] JMM Unlocked MedicShield
[10:451] JMM Unlocked PowerConverter
[10:738] JMM Unlocked AIAssistant
[10:811] JMM Unlocked MiningCharge
[13:146] JMM Placed/Upgraded MiningDroid
[13:232] JMM Unlocked AdvancedMiningCharge
