Analyzed: Oh No It's Zombies Arctic Map (103)

Date: 2022.09.22

ID : 0 PlayerName: ProDem Race: Zerg
ID : 1 PlayerName: Katyusha Race: Terran
ID : 2 PlayerName: Toxicpanda Race: Terran
ID : 3 PlayerName: dathong Race: Terran
ID : 4 PlayerName: MarFly Race: Terran
ID : 5 PlayerName: Ahanax Race: Terran
ID : 6 PlayerName: DeATH Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
ProDem Zombie Loss
Private Lobby

Game Length:[36:323]
Players ammount: 8
Marine rank avg: 17,666666666666668
Marine GrandMaster ammount: 6

dathong First Gun ArcWelder
DeATH First Gun BeamRifle
Katyusha First Gun HellfireRocketLauncher
Ahanax First Gun HellfireRocketLauncher
Toxicpanda First Gun Flamethrower
MarFly First Gun Flamethrower

PURCHASES: 
[00:805] ProDem Spawned MassiveCocoon 
[01:233] ProDem Placed/Upgraded PrimalSunkenColony 
[01:234] ProDem Bought SunkenColony 
[02:245] ProDem Spawned Anubalisk 
[03:327] ProDem Bought SunkenColony 
[03:543] ProDem Placed/Upgraded LocustNest 
[05:105] ProDem Placed/Upgraded NydusCanalCreeper 
[06:078] ProDem Placed/Upgraded LocustNest 
[06:614] ProDem Placed/Upgraded LocustNest 
[07:271] ProDem Bought SpawnNydusWorm 
[07:328] ProDem Placed/Upgraded GreaterNydusWorm 
[09:566] ProDem Placed/Upgraded LesserNydusWorm 
[09:567] ProDem Bought GreaterNydus 
[10:235] ProDem Bought GreaterNydus 
[11:068] ProDem Spawned MassiveCocoon 
[11:101] ProDem Spawned MassiveCocoon 
[11:577] ProDem Placed/Upgraded NydusCanalCreeper 
[12:402] ProDem Spawned MassiveCocoon 
[12:508] ProDem Spawned PrimalTownHallUprooted 
[12:541] ProDem Spawned InfestedAbomination 
[12:645] ProDem Placed/Upgraded LocustNest 
[13:322] ProDem Placed/Upgraded LocustNest 
[13:842] ProDem Spawned InfestedAbomination 
[14:007] ProDem Spawned MassiveCocoon 
[15:042] ProDem Spawned MassiveCocoon 
[15:308] ProDem Placed/Upgraded GreaterNydusWorm 
[15:479] ProDem Bought StrainVolatile 
[15:485] ProDem Bought PureStrainVolatile 
[15:563] ProDem Placed/Upgraded LocustNest 
[16:122] ProDem Spawned Underseer 
[16:601] ProDem Spawned MassiveCocoon 
[17:179] ProDem Placed/Upgraded LesserNydusWorm 
[17:180] ProDem Bought GreaterNydus 
[17:792] ProDem Bought AdvancedInfestationContainment 
[17:927] ProDem Bought GreaterNydus 
[18:942] ProDem Spawned MassiveCocoon 
[18:997] ProDem Placed/Upgraded PrimalSunkenColony 
[18:998] ProDem Bought SunkenColony 
[19:199] ProDem Bought SunkenColony 
[19:200] ProDem Bought SunkenColony 
[19:200] ProDem Placed/Upgraded PrimalSunkenColony 
[19:529] ProDem Placed/Upgraded LocustNest 
[20:017] ProDem Spawned MassiveCocoon 
[20:382] ProDem Spawned Anubalisk 
[20:435] ProDem Bought BuildExtractorExcavationZone 
[20:435] ProDem Placed/Upgraded AutomatedExtractor 
[21:097] ProDem Spawned Underseer 
[22:440] ProDem Spawned MassiveCocoon 
[22:713] ProDem Placed/Upgraded GreaterNydusWorm 
[22:843] ProDem Spawned MassiveCocoon 
[22:851] ProDem Spawned MassiveCocoon 
[22:859] ProDem Spawned MassiveCocoon 
[22:902] ProDem Bought BuildExtractorManufacturingSector 
[22:902] ProDem Placed/Upgraded AutomatedExtractor 
[23:193] ProDem Placed/Upgraded PrimalSunkenColony 
[23:194] ProDem Bought SunkenColony 
[23:226] ProDem Placed/Upgraded Virophage 
[23:520] ProDem Spawned Underseer 
[23:886] ProDem Placed/Upgraded NydusCanalCreeper 
[24:283] ProDem Spawned Anubalisk 
[24:291] ProDem Spawned Anubalisk 
[24:299] ProDem Spawned Anubalisk 
[24:351] ProDem Bought ExtractorCostReductionManufacturingSector 
[24:351] ProDem Bought BuildExtractorManufacturingSector 
[25:161] ProDem Placed/Upgraded Virophage 
[26:654] ProDem Bought DropshipsFueled 
[26:711] ProDem Bought UltimateInfestationResearched 
[27:071] ProDem Bought CreepSpeed 
[27:219] ProDem Spawned MassiveCocoon 
