Analyzed: Oh No It's Zombies Arctic Map (145)

Date: 2022.08.26

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Pandameme Race: Terran
ID : 2 PlayerName: Ascherit Race: Terran
ID : 3 PlayerName: csiz Race: Zerg
ID : 4 PlayerName: SkyJio Race: Terran
ID : 5 PlayerName: ReturnOffer Race: Terran
ID : 6 PlayerName: Happyfeet Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
csiz  Loss
Private Lobby

Game Length:[40:590]
Players ammount: 8
Marine rank avg: 44,833333333333336
Marine GrandMaster ammount: 11

ReturnOffer First Gun BeamRifle
Frosky First Gun Flamethrower
Pandameme First Gun Flamethrower
Happyfeet First Gun SpecOpsAssaultRifle
Ascherit First Gun SpecOpsAssaultRifle
SkyJio First Gun BeamRifle

PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle 
[00:663] Frosky Placed/Upgraded MiningDroid 
[01:183] Frosky Unlocked Flamethrower 
[03:007] Frosky Unlocked SpecOpsFlamethrower 
[04:303] Frosky Unlocked BioMechanicalRepairDrone 
[05:726] Frosky Placed/Upgraded HealingDrone 
[06:797] Frosky Unlocked CombatShield 
[08:615] Frosky Unlocked Stimpack 
[11:338] Frosky Unlocked CryoFreeze 
[11:423] Frosky Placed/Upgraded HealingDrone 
[13:526] Frosky Unlocked HazmatSuit 
[13:840] Frosky Unlocked AdvancedDroidEngines 
[16:418] Frosky Unlocked AdvancedHazmatSuit 
[16:465] Frosky Placed/Upgraded HealingDrone 
[16:831] Frosky Placed/Upgraded HealingDrone 
[18:190] Frosky Placed/Upgraded MiningDroid 
[19:019] Frosky Placed/Upgraded HealingDrone 
[19:809] Frosky Unlocked AIAssistant 
[21:331] Frosky Unlocked AutoTurret 
[21:352] Frosky Unlocked FlameTurret 
[21:482] Frosky Placed/Upgraded AutoTurret 
[22:918] Frosky Unlocked Teleporter 
[28:852] Frosky Placed/Upgraded HealingDrone 
[29:185] Frosky Placed/Upgraded HealingDrone 
[29:318] Frosky Unlocked FlashBang 
[29:689] Frosky Placed/Upgraded HealingDrone 
[30:346] Frosky Placed/Upgraded AutoTurret 
[30:601] Frosky Placed/Upgraded AutoTurret 
[31:110] Frosky Placed/Upgraded HealingDrone 
[31:900] Frosky Placed/Upgraded AutoTurret 
[32:081] Frosky Placed/Upgraded AutoTurret 
[38:669] Frosky Placed/Upgraded HealingDrone 
[39:097] Frosky Placed/Upgraded HealingDrone 
[39:624] Frosky Placed/Upgraded HealingDrone 

[00:572] Pandameme Unlocked AssaultRifle 
[00:651] Pandameme Placed/Upgraded MiningDroid 
[01:259] Pandameme Unlocked Flamethrower 
[04:063] Pandameme Unlocked SpecOpsFlamethrower 
[06:392] Pandameme Unlocked Stimpack 
[07:850] Pandameme Unlocked BioMechanicalRepairDrone 
[07:886] Pandameme Unlocked CombatShield 
