Analyzed: Oh No It's Zombies Arctic Map (306)

Date: 2022.11.23

ID : 0 PlayerName: ReturnOffer Race: Terran
ID : 1 PlayerName: dathong Race: Terran
ID : 2 PlayerName: csiz Race: Terran
ID : 3 PlayerName: BurtMacklin Race: Terran
ID : 4 PlayerName: MarFly Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: Toxicpanda Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Private Lobby

Game Length:[37:512]
Players ammount: 8
Marine rank avg: 19,333333333333332
GrandMaster ammount: 6

BurtMacklin First Gun HellfireRocketLauncher
dathong First Gun ArcWelder
MarFly First Gun BeamRifle
ReturnOffer First Gun Shotgun
Toxicpanda First Gun Flamethrower
csiz First Gun BeamRifle

PURCHASES: 
[00:572] ReturnOffer Unlocked AssaultRifle 
[00:656] ReturnOffer Placed/Upgraded MiningDroid 
[00:888] ReturnOffer Unlocked AdvancedDroidEngines 
[04:057] ReturnOffer Unlocked Shotgun 
[05:118] ReturnOffer Unlocked CloakingDevice 
[06:943] ReturnOffer Unlocked SpecOpsShotgun 
[10:271] ReturnOffer Unlocked SpecOpsCloakingDevice 
[15:322] ReturnOffer Unlocked Stimpack 
[15:389] ReturnOffer Unlocked CombatSuit 
[15:393] ReturnOffer Unlocked AdvancedCombatSuit 
[19:631] ReturnOffer Unlocked DoubleBarrel 
[22:345] ReturnOffer Placed/Upgraded MiningDroid 
[22:849] ReturnOffer Unlocked BioMechanicalRepairDrone 
[24:460] ReturnOffer Placed/Upgraded HealingDrone 
[25:390] ReturnOffer Placed/Upgraded HealingDrone 
[26:032] ReturnOffer Placed/Upgraded HealingDrone 
[26:670] ReturnOffer Unlocked ForceFieldGrenade 
[26:674] ReturnOffer Unlocked SpecOpsForcefieldGrenade 
[26:717] ReturnOffer Unlocked PsiDisrupter 
[27:156] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[28:509] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[28:737] ReturnOffer Placed/Upgraded HealingDrone 
[30:513] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[31:845] ReturnOffer Placed/Upgraded MiningDroid 
[32:620] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[32:818] ReturnOffer Placed/Upgraded HealingDrone 
[35:021] ReturnOffer Placed/Upgraded HealingDrone 
[35:188] ReturnOffer Placed/Upgraded HealingDrone 
[35:269] ReturnOffer Unlocked MotionSensor 
[35:316] ReturnOffer Placed/Upgraded SensorTower 

[00:572] dathong Unlocked AssaultRifle 
[00:721] dathong Placed/Upgraded MiningDroid 
[00:800] dathong Unlocked ArcWelder 
[02:713] dathong Unlocked BioMechanicalRepairDrone 
[02:724] dathong Unlocked CombatAccelerationDrone 
[02:870] dathong Placed/Upgraded HealingDrone 
[03:343] dathong Placed/Upgraded HealingDrone 
[04:060] dathong Placed/Upgraded HealingDrone 
[04:711] dathong Unlocked ExplorationDroid 
[04:755] dathong Placed/Upgraded ExplorationDroid 
[04:769] dathong Placed/Upgraded ExplorationDroid 
[04:856] dathong Placed/Upgraded ExplorationDroid 
[05:665] dathong Unlocked Stimpack 
[06:821] dathong Unlocked AdvancedDroidEngines 
[06:896] dathong Unlocked AIAssistant 
[07:819] dathong Unlocked AutoTurret 
[07:832] dathong Unlocked HeavyTurret 
[08:050] dathong Placed/Upgraded ExplorationDroid 
[08:702] dathong Unlocked MotionSensor 
[08:754] dathong Placed/Upgraded SensorTower 
[08:917] dathong Placed/Upgraded SensorTower 
[09:167] dathong Placed/Upgraded SensorTower 
[09:291] dathong Placed/Upgraded SensorTower 
[09:716] dathong Placed/Upgraded SensorTower 
[09:934] dathong Placed/Upgraded SensorTower 
[10:522] dathong Placed/Upgraded SensorTower 
[11:542] dathong Unlocked TurboDroidEngines 
[12:542] dathong Placed/Upgraded HealingDrone 
[13:261] dathong Unlocked PsiDisrupter 
[13:287] dathong Placed/Upgraded PsiIndoctrinator 
[13:418] dathong Placed/Upgraded HealingDrone 
[13:566] dathong Placed/Upgraded AutoTurret 
[14:788] dathong Unlocked QuantumBackpack 
[14:855] dathong Unlocked EnergySuit 
[14:859] dathong Unlocked AdvancedEnergySuit 
[15:199] dathong Placed/Upgraded PsiIndoctrinator 
[15:390] dathong Bought ShieldSuit 
[15:394] dathong Bought CombatSuit 
[15:434] dathong Placed/Upgraded AutoTurret 
[15:563] dathong Placed/Upgraded AutoTurret 
[15:697] dathong Placed/Upgraded AutoTurret 
[16:153] dathong Placed/Upgraded AutoTurret 
[16:765] dathong Placed/Upgraded AutoTurret 
[16:929] dathong Placed/Upgraded AutoTurret 
[17:293] dathong Placed/Upgraded MiningDroid 
[17:462] dathong Placed/Upgraded AutoTurret 
[17:859] dathong Unlocked FragGrenade 
[18:299] dathong Placed/Upgraded AutoTurret 
[18:519] dathong Placed/Upgraded AutoTurret 
[18:655] dathong Placed/Upgraded HealingDrone 
[18:666] dathong Placed/Upgraded MiningDroid 
[19:415] dathong Placed/Upgraded PsiIndoctrinator 
[19:547] dathong Placed/Upgraded AutoTurret 
[19:694] dathong Placed/Upgraded AutoTurret 
[19:792] dathong Unlocked SpecOpsArcWelder 
[19:902] dathong Placed/Upgraded AutoTurret 
[21:496] dathong Placed/Upgraded ExplorationDroid 
[22:412] dathong Unlocked PsiDepressor 
[23:049] dathong Unlocked AdvancedMotionSensor 
[23:858] dathong Placed/Upgraded PsiIndoctrinator 
[23:973] dathong Placed/Upgraded AutoTurret 
[24:168] dathong Placed/Upgraded AutoTurret 
[24:299] dathong Placed/Upgraded AutoTurret 
[24:400] dathong Placed/Upgraded AutoTurret 
[24:757] dathong Placed/Upgraded AutoTurret 
[25:311] dathong Unlocked SpecOpsFragGrenade 
[25:402] dathong Unlocked CombatShield 
[25:834] dathong Placed/Upgraded AutoTurret 
[26:078] dathong Placed/Upgraded AutoTurret 
[26:276] dathong Placed/Upgraded AutoTurret 
[26:375] dathong Placed/Upgraded AutoTurret 
[26:649] dathong Placed/Upgraded AutoTurret 
[26:818] dathong Placed/Upgraded AutoTurret 
[26:904] dathong Placed/Upgraded AutoTurret 
[27:814] dathong Placed/Upgraded AutoTurret 
[27:885] dathong Placed/Upgraded AutoTurret 
[28:052] dathong Placed/Upgraded AutoTurret 
[28:478] dathong Placed/Upgraded AutoTurret 
[28:979] dathong Unlocked SpecOpsBioMechanicalRepairDrone 
[28:983] dathong Unlocked RechargeDrone 
[29:172] dathong Placed/Upgraded HealingDrone 
[31:250] dathong Placed/Upgraded HealingDrone 
[31:280] dathong Unlocked MiningCharge 
[31:283] dathong Unlocked AdvancedMiningCharge 
[31:432] dathong Placed/Upgraded NukePack 
[31:467] dathong Placed/Upgraded NukePack 
[31:764] dathong Unlocked FlashBang 
[31:770] dathong Unlocked SpecOpsFlashbang 
[32:670] dathong Placed/Upgraded NukePack 
[33:430] dathong Placed/Upgraded NukePack 
[33:619] dathong Placed/Upgraded NukePack 
[33:925] dathong Placed/Upgraded PsiIndoctrinator 
[34:184] dathong Placed/Upgraded AutoTurret 
[34:338] dathong Placed/Upgraded PsiIndoctrinator 
[34:522] dathong Placed/Upgraded AutoTurret 
[34:603] dathong Placed/Upgraded AutoTurret 
[34:675] dathong Placed/Upgraded AutoTurret 
[34:913] dathong Placed/Upgraded AutoTurret 
[34:990] dathong Placed/Upgraded AutoTurret 
[35:333] dathong Placed/Upgraded AutoTurret 
[35:623] dathong Placed/Upgraded AutoTurret 
[35:703] dathong Placed/Upgraded AutoTurret 
[36:307] dathong Placed/Upgraded AutoTurret 
[36:389] dathong Placed/Upgraded AutoTurret 

[00:572] csiz Unlocked AssaultRifle 
[00:657] csiz Placed/Upgraded MiningDroid 
[00:721] csiz Unlocked AdvancedDroidEngines 
[03:438] csiz Unlocked TurboDroidEngines 
[06:034] csiz Unlocked BeamRifle 
[06:532] csiz Unlocked SpecOpsPlasmaRifle 
[07:584] csiz Unlocked CombatSuit 
[08:934] csiz Unlocked OverloadWeapon 
[09:678] csiz Unlocked AdvancedCombatSuit 
[11:249] csiz Unlocked LongRangeScope 
[11:308] csiz Unlocked AIAssistant 
[12:039] csiz Unlocked BioMechanicalRepairDrone 
[13:468] csiz Placed/Upgraded HealingDrone 
[13:569] csiz Unlocked CloakingDevice 
[14:856] csiz Bought ShieldSuit 
[14:860] csiz Bought EnergySuit 
[15:620] csiz Unlocked SpecOpsCloakingDevice 
[15:844] csiz Placed/Upgraded HealingDrone 
[16:618] csiz Placed/Upgraded HealingDrone 
[17:610] csiz Unlocked QuantumBackpack 
[17:618] csiz Unlocked CombatShield 
