Analyzed: Oh No It's Zombies Arctic Map (308)

Date: 2022.11.25

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: marekow Race: Terran
ID : 3 PlayerName: IIIIIIIIIIII Race: Terran
ID : 4 PlayerName: Grim Race: Zerg
ID : 5 PlayerName: Gxz Race: Terran
ID : 6 PlayerName: Blue Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Grim Zombie Loss
Private Lobby

Game Length:[45:030]
Players ammount: 8
Marine rank avg: 31,5
Marine GrandMaster ammount: 5

Toxicpanda First Gun ArcWelder
Frosky First Gun BeamRifle
Gxz First Gun Shotgun
Blue First Gun SpecOpsAssaultRifle
IIIIIIIIIIII First Gun SpecOpsAssaultRifle
marekow First Gun HellfireRocketLauncher

PURCHASES: 
[00:572] Toxicpanda Unlocked AssaultRifle 
[02:052] Toxicpanda Unlocked ArcWelder 
[02:512] Toxicpanda Placed/Upgraded MiningDroid 
[03:125] Toxicpanda Unlocked Stimpack 
[06:028] Toxicpanda Unlocked BioMechanicalRepairDrone 
[06:035] Toxicpanda Unlocked CombatAccelerationDrone 
[06:159] Toxicpanda Placed/Upgraded HealingDrone 
[06:314] Toxicpanda Placed/Upgraded HealingDrone 
[06:460] Toxicpanda Placed/Upgraded HealingDrone 
[06:975] Toxicpanda Unlocked PsiDisrupter 
[07:107] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[07:615] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[08:365] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[09:765] Toxicpanda Unlocked SpecOpsPsiDisruptor 
[10:464] Toxicpanda Unlocked ExplorationDroid 
[10:518] Toxicpanda Placed/Upgraded ExplorationDroid 
[10:519] Toxicpanda Placed/Upgraded ExplorationDroid 
[10:590] Toxicpanda Placed/Upgraded ExplorationDroid 
[11:309] Toxicpanda Unlocked PsiDepressor 
[13:142] Toxicpanda Unlocked SpecOpsArcWelder 
[13:206] Toxicpanda Unlocked AIAssistant 
[14:239] Toxicpanda Unlocked AutoTurret 
[14:259] Toxicpanda Unlocked QuantumBackpack 
[14:359] Toxicpanda Placed/Upgraded AutoTurret 
[14:457] Toxicpanda Placed/Upgraded AutoTurret 
[15:396] Toxicpanda Placed/Upgraded HealingDrone 
[15:916] Toxicpanda Unlocked MedicShield 
[17:021] Toxicpanda Unlocked MotionSensor 
[17:066] Toxicpanda Placed/Upgraded SensorTower 
[17:117] Toxicpanda Placed/Upgraded SensorTower 
[17:245] Toxicpanda Placed/Upgraded SensorTower 
[17:282] Toxicpanda Placed/Upgraded SensorTower 
[17:826] Toxicpanda Unlocked AdvancedDroidEngines 
[19:272] Toxicpanda Unlocked TurboDroidEngines 
[21:208] Toxicpanda Unlocked FlameTurret 
[21:214] Toxicpanda Unlocked HeavyTurret 
[21:478] Toxicpanda Placed/Upgraded AutoTurret 
[21:601] Toxicpanda Placed/Upgraded AutoTurret 
[21:822] Toxicpanda Placed/Upgraded AutoTurret 
[21:962] Toxicpanda Placed/Upgraded AutoTurret 
[22:230] Toxicpanda Unlocked FlashBang 
[22:236] Toxicpanda Unlocked SpecOpsFlashbang 
[22:600] Toxicpanda Placed/Upgraded HealingDrone 
[22:910] Toxicpanda Placed/Upgraded HealingDrone 
[23:872] Toxicpanda Placed/Upgraded AutoTurret 
[23:984] Toxicpanda Placed/Upgraded AutoTurret 
[24:130] Toxicpanda Unlocked RechargeDrone 
[24:142] Toxicpanda Unlocked SpecOpsBioMechanicalRepairDrone 
[24:472] Toxicpanda Placed/Upgraded HealingDrone 
[24:576] Toxicpanda Placed/Upgraded AutoTurret 
[24:682] Toxicpanda Placed/Upgraded AutoTurret 
[24:905] Toxicpanda Placed/Upgraded AutoTurret 
[25:030] Toxicpanda Unlocked MiningCharge 
[25:036] Toxicpanda Unlocked AdvancedMiningCharge 
[25:117] Toxicpanda Placed/Upgraded NukePack 
[25:771] Toxicpanda Placed/Upgraded SensorTower 
[26:320] Toxicpanda Unlocked AdvancedMotionSensor 
[27:735] Toxicpanda Placed/Upgraded NukePack 
