Analyzed: Oh No It's Zombies Arctic Map (311)

Date: 2022.11.25

ID : 0 PlayerName: Toxicpanda Race: Zerg
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: LazyRivers Race: Terran
ID : 3 PlayerName: lalaOH Race: Terran
ID : 4 PlayerName: Westy Race: Terran
ID : 5 PlayerName: SniperDevil Race: Terran
ID : 6 PlayerName: dreamssink Race: Terran
ID : 7 PlayerName: Security Race: Terran
Toxicpanda Zombie Loss
Private Lobby

Game Length:[41:626]
Players ammount: 8
Marine rank avg: 76,5
Marine GrandMaster ammount: 13

Frosky First Gun ArcWelder
SniperDevil First Gun BeamRifle
lalaOH First Gun Shotgun
dreamssink First Gun SpecOpsAssaultRifle
LazyRivers First Gun SpecOpsAssaultRifle
Westy First Gun SpecOpsAssaultRifle

PURCHASES: 
[01:669] Toxicpanda Bought UnlockDropPods 
[01:813] Toxicpanda Bought EvolveDropPods 
[03:035] Toxicpanda Bought EvolveDropPods 
[04:738] Toxicpanda Bought StrainHealth 
[06:039] Toxicpanda Bought StrainHealth 
[06:966] Toxicpanda Bought EvolveDropPods 
[08:529] Toxicpanda Bought StrainVolatile 
[10:724] Toxicpanda Bought EvolveDropPods 
[11:320] Toxicpanda Spawned MassiveCocoon 
[12:293] Toxicpanda Bought EvolveDropPods 
[12:319] Toxicpanda Bought EvolveDropPods 
[12:400] Toxicpanda Spawned Underseer 
[12:589] Toxicpanda Placed/Upgraded PrimalSunkenColony 
[12:590] Toxicpanda Bought SunkenColony 
[13:171] Toxicpanda Bought SunkenColony 
[15:675] Toxicpanda Bought SpawnNydusWorm 
[15:687] Toxicpanda Placed/Upgraded GreaterNydusWorm 
[17:077] Toxicpanda Placed/Upgraded LesserNydusWorm 
[17:078] Toxicpanda Bought GreaterNydus 
[18:842] Toxicpanda Bought GreaterNydus 
[18:929] Toxicpanda Bought AdvancedInfestationContainment 
[21:260] Toxicpanda Bought CreepSpeed 
[22:087] Toxicpanda Bought SiphonFuel 
[23:362] Toxicpanda Placed/Upgraded GreaterNydusWorm 
[24:180] Toxicpanda Bought AdvancedPowerInfestation 
[24:994] Toxicpanda Bought SiphonFuel 
[25:322] Toxicpanda Bought StrainVolatile 
[26:435] Toxicpanda Bought BuildExtractorProcessingFacilities 
[26:435] Toxicpanda Placed/Upgraded AutomatedExtractor 
[27:955] Toxicpanda Bought SiphonFuel 
[29:151] Toxicpanda Bought ExtractorCostReductionProcessingFacilities 
[29:151] Toxicpanda Bought BuildExtractorProcessingFacilities 
[30:458] Toxicpanda Placed/Upgraded NydusCanalCreeper 
[30:839] Toxicpanda Bought SiphonFuel 
[30:918] Toxicpanda Spawned MassiveCocoon 
[31:998] Toxicpanda Spawned Underseer 
[32:450] Toxicpanda Bought DropshipsFueled 
[32:602] Toxicpanda Spawned MassiveCocoon 
[32:924] Toxicpanda Placed/Upgraded GreaterNydusWorm 
[33:040] Toxicpanda Spawned MassiveCocoon 
[34:042] Toxicpanda Spawned Anubalisk 
[34:120] Toxicpanda Spawned Underseer 
[34:500] Toxicpanda Bought SweepingInfestation 
[34:500] Toxicpanda Bought UltimateInfestationResearched 
[36:527] Toxicpanda Placed/Upgraded NydusCanalCreeper 
[37:824] Toxicpanda Placed/Upgraded LesserNydusWorm 
[37:825] Toxicpanda Bought GreaterNydus 
[38:345] Toxicpanda Bought VirulentCreep 

[00:572] Frosky Unlocked AssaultRifle 
[00:651] Frosky Placed/Upgraded MiningDroid 
[00:824] Frosky Unlocked ArcWelder 
[01:593] Frosky Unlocked BioMechanicalRepairDrone 
[01:600] Frosky Unlocked CombatAccelerationDrone 
[01:656] Frosky Placed/Upgraded HealingDrone 
[02:791] Frosky Placed/Upgraded HealingDrone 
[02:937] Frosky Placed/Upgraded HealingDrone 
[03:975] Frosky Unlocked Stimpack 
[04:800] Frosky Unlocked AutoTurret 
[05:291] Frosky Placed/Upgraded AutoTurret 
[05:847] Frosky Placed/Upgraded AutoTurret 
[06:072] Frosky Placed/Upgraded AutoTurret 
[06:636] Frosky Placed/Upgraded HealingDrone 
[06:942] Frosky Unlocked AdvancedDroidEngines 
[07:055] Frosky Placed/Upgraded HealingDrone 
[08:688] Frosky Unlocked TurboDroidEngines 
[09:733] Frosky Placed/Upgraded AutoTurret 
[09:999] Frosky Placed/Upgraded AutoTurret 
[10:274] Frosky Unlocked FlameTurret 
[10:469] Frosky Unlocked FlashBang 
[10:630] Frosky Placed/Upgraded AutoTurret 
[11:482] Frosky Unlocked MotionSensor 
[11:704] Frosky Placed/Upgraded SensorTower 
[11:776] Frosky Placed/Upgraded SensorTower 
[12:060] Frosky Placed/Upgraded SensorTower 
[12:268] Frosky Placed/Upgraded SensorTower 
[12:432] Frosky Placed/Upgraded SensorTower 
[13:267] Frosky Placed/Upgraded AutoTurret 
[14:482] Frosky Placed/Upgraded AutoTurret 
[14:591] Frosky Unlocked PsiDisrupter 
[15:194] Frosky Placed/Upgraded PsiIndoctrinator 
[15:459] Frosky Placed/Upgraded AutoTurret 
[15:642] Frosky Placed/Upgraded AutoTurret 
[15:799] Frosky Placed/Upgraded AutoTurret 
