Analyzed: Oh No It's Zombies Arctic Map (312)

Date: 2022.11.25

ID : 0 PlayerName: sam Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Static Race: Terran
ID : 3 PlayerName: UnBornDELTA Race: Zerg
ID : 4 PlayerName: Nevic Race: Terran
ID : 5 PlayerName: Alex Race: Terran
ID : 6 PlayerName: kelsoo Race: Zerg
ID : 7 PlayerName: Security Race: Terran
UnBornDELTA Zombie Loss
Private Lobby

Game Length:[37:712]
Players ammount: 8
Marine rank avg: 93,33333333333333
Marine GrandMaster ammount: 16

Frosky First Gun Flamethrower
Nevic First Gun SpecOpsAssaultRifle
sam First Gun SpecOpsAssaultRifle
Alex First Gun BeamRifle
Static First Gun Shotgun
kelsoo First Gun Flamethrower

PURCHASES: 
[00:572] sam Unlocked AssaultRifle 
[00:669] sam Placed/Upgraded MiningDroid 
[02:329] sam Unlocked AdvancedDroidEngines 
[04:758] sam Unlocked TurboDroidEngines 
[05:777] sam Unlocked MotionSensor 
[06:011] sam Placed/Upgraded SensorTower 
[06:811] sam Placed/Upgraded SensorTower 
[08:612] sam Unlocked SpecOpsAssaultRifle 
[09:297] sam Unlocked OverloadWeapon 
[09:553] sam Placed/Upgraded SensorTower 
[11:059] sam Unlocked AutoTargetingSystem 
[12:053] sam Placed/Upgraded SensorTower 
[14:015] sam Unlocked EnergySuit 
[14:018] sam Unlocked AdvancedEnergySuit 
[14:056] sam Unlocked ForceFieldGrenade 
[15:389] sam Unlocked SpecOpsForcefieldGrenade 
[16:626] sam Placed/Upgraded SensorTower 
[16:925] sam Unlocked MedicShield 
[17:037] sam Unlocked EnergyPack 
[17:073] sam Unlocked OpticalVisor 
[18:099] sam Unlocked AdvancedMotionSensor 
[22:285] sam Unlocked PsiDisrupter 
[22:330] sam Unlocked SpecOpsPsiDisruptor 
[22:377] sam Unlocked PsiDepressor 
[24:930] sam Placed/Upgraded PsiIndoctrinator 
[25:564] sam Unlocked ExplorationDroid 
[25:569] sam Unlocked AdvancedExplorationDroid 
[25:630] sam Placed/Upgraded ExplorationDroid 
[25:652] sam Placed/Upgraded ExplorationDroid 
[25:678] sam Placed/Upgraded ExplorationDroid 
[27:443] sam Unlocked MiningCharge 
[27:447] sam Unlocked AdvancedMiningCharge 
[27:682] sam Placed/Upgraded NukePack 
[29:689] sam Placed/Upgraded NukePack 
[29:770] sam Unlocked Teleporter 
[29:942] sam Placed/Upgraded NukePack 
[31:272] sam Placed/Upgraded NukePack 
[31:624] sam Placed/Upgraded PsiIndoctrinator 
[32:408] sam Placed/Upgraded NukePack 
[35:043] sam Placed/Upgraded NukePack 
[35:241] sam Placed/Upgraded NukePack 
[35:444] sam Placed/Upgraded NukePack 
[35:540] sam Unlocked AutoTurret 
[35:574] sam Unlocked FlameTurret 
[35:593] sam Unlocked BioMechanicalRepairDrone 
[35:607] sam Unlocked SpecOpsBioMechanicalRepairDrone 
[35:672] sam Placed/Upgraded AutoTurret 
[37:409] sam Unlocked Stimpack 
[37:564] sam Placed/Upgraded MiningDroid 
[37:604] sam Placed/Upgraded HealingDrone 

[00:572] Frosky Unlocked AssaultRifle 
[00:651] Frosky Placed/Upgraded MiningDroid 
[00:718] Frosky Unlocked IncendiaryGrenade 
[03:574] Frosky Unlocked Flamethrower 
[04:861] Frosky Unlocked SpecOpsFlamethrower 
[07:334] Frosky Unlocked CryoFreeze 
[09:601] Frosky Unlocked AdvancedDroidEngines 
[11:049] Frosky Unlocked BioMechanicalRepairDrone 
[12:760] Frosky Unlocked AutoTurret 
[12:983] Frosky Placed/Upgraded AutoTurret 
[13:815] Frosky Placed/Upgraded HealingDrone 
[13:907] Frosky Unlocked CombatShield 
[14:016] Frosky Bought ShieldSuit 
[14:019] Frosky Bought EnergySuit 
[15:203] Frosky Unlocked HazmatSuit 
[16:804] Frosky Unlocked Stimpack 
[16:892] Frosky Placed/Upgraded HealingDrone 
[17:857] Frosky Unlocked AdvancedHazmatSuit 
[18:975] Frosky Placed/Upgraded HealingDrone 
[19:158] Frosky Placed/Upgraded HealingDrone 
[22:081] Frosky Unlocked PsiDisrupter 
[22:185] Frosky Placed/Upgraded PsiIndoctrinator 
[22:646] Frosky Placed/Upgraded PsiIndoctrinator 
[23:417] Frosky Placed/Upgraded PsiIndoctrinator 
[24:205] Frosky Unlocked FlameTurret 
[24:477] Frosky Placed/Upgraded AutoTurret 
[24:763] Frosky Placed/Upgraded AutoTurret 
[25:108] Frosky Placed/Upgraded AutoTurret 
[25:455] Frosky Unlocked QuantumBackpack 
[25:823] Frosky Placed/Upgraded AutoTurret 
[26:291] Frosky Placed/Upgraded AutoTurret 
[26:553] Frosky Placed/Upgraded AutoTurret 
[26:785] Frosky Placed/Upgraded HealingDrone 
[26:989] Frosky Placed/Upgraded HealingDrone 
[27:948] Frosky Placed/Upgraded HealingDrone 
[28:770] Frosky Unlocked FlashBang 
[29:084] Frosky Unlocked ArcWelder 
[30:028] Frosky Placed/Upgraded AutoTurret 
[30:227] Frosky Placed/Upgraded AutoTurret 
[30:320] Frosky Unlocked SpecOpsBioMechanicalRepairDrone 
[30:363] Frosky Placed/Upgraded HealingDrone 
[30:798] Frosky Placed/Upgraded HealingDrone 
[31:859] Frosky Placed/Upgraded AutoTurret 
[32:289] Frosky Placed/Upgraded HealingDrone 
[32:688] Frosky Placed/Upgraded AutoTurret 
[32:990] Frosky Placed/Upgraded HealingDrone 
[33:186] Frosky Placed/Upgraded HealingDrone 
[33:621] Frosky Placed/Upgraded AutoTurret 
[33:919] Frosky Placed/Upgraded HealingDrone 
[34:261] Frosky Placed/Upgraded HealingDrone 
[34:729] Frosky Placed/Upgraded HealingDrone 

[00:572] Static Unlocked AssaultRifle 
[00:665] Static Placed MiningDroid 
[03:277] Static Unlocked AdvancedDroidEngines 
[05:625] Static Unlocked TurboDroidEngines 
[06:281] Static Unlocked BioMechanicalRepairDrone 
[06:381] Static Placed HealingDrone 
[06:988] Static Placed HealingDrone 
[08:642] Static Unlocked Stimpack 
[09:310] Static Placed HealingDrone 
[10:240] Static Unlocked Shotgun 
[11:193] Static Placed HealingDrone 
[11:744] Static Unlocked SpecOpsShotgun 
[13:075] Static Unlocked Shieldsiotunlocked 
[13:385] Static Unlocked HighPrecisionBeams 
[14:904] Static Unlocked CloakingDevice 
[15:204] Static Bought ShieldSuit 
[15:816] Static Placed HealingDrone 
[16:047] Static Placed HealingDrone 
[17:139] Static Placed HealingDrone 
[17:858] Static Bought HazmatSuit 
[20:974] Static Unlocked AdvancedShieldSuit 
[21:001] Static Unlocked CombatShield 
[21:010] Static Unlocked EnergyPack 
[21:049] Static Unlocked FragGrenade 
[23:546] Static Unlocked SpecOpsFragGrenade 
[23:807] Static Unlocked SpecOpsBioMechanicalRepairDrone 
[23:863] Static Placed HealingDrone 
[24:592] Static Placed HealingDrone 
[24:891] Static Unlocked SpecOpsCloakingDevice 
[25:440] Static Placed HealingDrone 
[26:046] Static Placed HealingDrone 
[28:992] Static Placed HealingDrone 
