Analyzed: Oh No It's Zombies Arctic Map (313)

Date: 2022.11.25

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Alex Race: Terran
ID : 2 PlayerName: Risotto Race: Zerg
ID : 3 PlayerName: marekow Race: Terran
ID : 4 PlayerName: Static Race: Terran
ID : 5 PlayerName: KoraKane Race: Terran
ID : 6 PlayerName: Astral Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Risotto  Loss
Private Lobby

Game Length:[36:231]
Players ammount: 8
Marine rank avg: 109,5
Marine GrandMaster ammount: 19

Frosky First Gun ArcWelder
Alex First Gun Flamethrower
KoraKane First Gun Shotgun
Static First Gun Shotgun
marekow First Gun SpecOpsAssaultRifle
Astral First Gun SpecOpsAssaultRifle

PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle 
[00:847] Frosky Unlocked ArcWelder 
[02:078] Frosky Unlocked BioMechanicalRepairDrone 
[02:973] Frosky Placed/Upgraded MiningDroid 
[04:645] Frosky Unlocked AutoTurret 
[06:772] Frosky Placed/Upgraded HealingDrone 
[07:102] Frosky Placed/Upgraded HealingDrone 
[09:139] Frosky Placed/Upgraded MiningDroid 
[10:126] Frosky Unlocked CombatAccelerationDrone 
[11:128] Frosky Placed/Upgraded HealingDrone 
[11:357] Frosky Placed/Upgraded HealingDrone 
[13:178] Frosky Placed/Upgraded HealingDrone 
[13:389] Frosky Placed/Upgraded HealingDrone 
[13:743] Frosky Placed/Upgraded HealingDrone 
[14:633] Frosky Placed/Upgraded HealingDrone 
[15:108] Frosky Placed/Upgraded HealingDrone 
[15:635] Frosky Unlocked AdvancedDroidEngines 
[16:097] Frosky Placed/Upgraded HealingDrone 
[16:933] Frosky Placed/Upgraded AutoTurret 
[18:127] Frosky Unlocked PsiDisrupter 
[18:323] Frosky Placed/Upgraded PsiIndoctrinator 
[19:091] Frosky Placed/Upgraded HealingDrone 
[19:130] Frosky Unlocked FlameTurret 
[19:936] Frosky Placed/Upgraded HealingDrone 
[21:364] Frosky Unlocked Stimpack 
[21:701] Frosky Placed/Upgraded AutoTurret 
[22:707] Frosky Unlocked ForceFieldGrenade 
[22:864] Frosky Placed/Upgraded AutoTurret 
[23:280] Frosky Placed/Upgraded HealingDrone 
[23:827] Frosky Unlocked FlashBang 
[24:267] Frosky Placed/Upgraded HealingDrone 
[24:558] Frosky Unlocked PsiDepressor 
[25:351] Frosky Placed/Upgraded PsiIndoctrinator 
[26:320] Frosky Placed/Upgraded AutoTurret 
[26:454] Frosky Placed/Upgraded AutoTurret 
[26:727] Frosky Placed/Upgraded HealingDrone 
[26:886] Frosky Placed/Upgraded HealingDrone 
[30:313] Frosky Unlocked MedicShield 
[30:774] Frosky Placed/Upgraded HealingDrone 

[00:572] Alex Unlocked AssaultRifle 
[00:709] Alex Placed MiningDroid 
[01:448] Alex Unlocked FragGrenade 
[02:644] Alex Unlocked SpecOpsFragGrenade 
[04:623] Alex Unlocked Flamethrower 
[07:038] Alex Unlocked AdvancedDroidEngines 
[08:908] Alex Unlocked EnergySuit 
[08:914] Alex Unlocked AdvancedEnergySuit 
[10:509] Alex Unlocked EnergyPack 
[13:391] Alex Unlocked MiningCharge 
[13:404] Alex Unlocked TurboDroidEngines 
[15:022] Alex Placed NukePack 
[15:272] Alex Placed NukePack 
[16:615] Alex Placed NukePack 
[16:981] Alex Unlocked ExplorationDroid 
[17:202] Alex Placed ExplorationDroid 
[17:305] Alex Placed ExplorationDroid 
[18:928] Alex Placed ExplorationDroid 
[20:368] Alex Unlocked SpecOpsAssaultRifle 
[21:963] Alex Unlocked Stimpack 
[22:013] Alex Unlocked MedicShield 
[28:793] Alex Unlocked TitaniumBulletCasings 
[30:578] Alex Placed NukePack 
[34:814] Alex Placed NukePack 

[00:568] Risotto Bought PlayerNumber 
[01:066] Risotto Bought UnlockDropPods 
[01:087] Risotto Bought EvolveDropPods 
[01:575] Risotto Bought EvolveDropPods 
[01:880] Risotto Bought EvolveDropPods 
[02:685] Risotto Bought EvolveDropPods 
[03:563] Risotto Bought EvolveDropPods 
[04:123] Risotto Bought EvolveDropPods 
[04:699] Risotto Bought StrainVolatile 
[08:762] Risotto Bought SpawnNydusWorm 
[08:909] Risotto Bought ShieldSuit 
[08:915] Risotto Bought EnergySuit 
[10:165] Risotto Placed/Upgraded NydusCanalCreeper 
[11:584] Risotto Placed/Upgraded GreaterNydusWorm 
[12:897] Risotto Placed/Upgraded LesserNydusWorm 
[12:898] Risotto Bought GreaterNydus 
[14:821] Risotto Bought StrainHealth 
[14:902] Risotto Bought StrainVolatile 
[15:023] Risotto Bought GreaterNydus 
[16:057] Risotto Placed/Upgraded NydusCanalCreeper 
[18:175] Risotto Bought CreepSpeed 
[18:496] Risotto Placed/Upgraded GreaterNydusWorm 
[18:896] Risotto Bought StrainVolatile 
[19:425] Risotto Placed/Upgraded LesserNydusWorm 
[19:426] Risotto Bought GreaterNydus 
[21:422] Risotto Bought GreaterNydus 
[22:150] Risotto Spawned MassiveCocoon 
[23:590] Risotto Spawned Anubalisk 
[24:019] Risotto Bought VirulentCreep 
[24:019] Risotto Bought VirulentCreep 
[24:767] Risotto Placed/Upgraded NydusCanalCreeper 
[25:622] Risotto Placed/Upgraded GreaterNydusWorm 
[26:122] Risotto Bought AdvancedInfestationContainment 
[27:343] Risotto Bought StrainHealth 
[27:746] Risotto Placed/Upgraded LesserNydusWorm 
[27:747] Risotto Bought GreaterNydus 
[28:574] Risotto Bought DropshipsFueled 
[29:043] Risotto Spawned RoyalCocoon 
[29:043] Risotto Bought SpawnHiveQueen 
[29:043] Risotto Bought UltimateInfestationResearched 
[29:605] Risotto Placed/Upgraded NydusCanalCreeper 
[29:762] Risotto Spawned QueenCoop 
[30:776] Risotto Bought CreepSpeed 
[30:835] Risotto Bought ConstructiveCreep 
[30:897] Risotto Placed/Upgraded NydusCanalCreeper 
[31:058] Risotto Placed/Upgraded LocustNest 
