Analyzed: Oh No It's Zombies Arctic Map (315)

Date: 2022.11.26

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Nevic Race: Terran
ID : 2 PlayerName: LazyRivers Race: Terran
ID : 3 PlayerName: FanaticFoe Race: Zerg
ID : 4 PlayerName: Toto Race: Terran
ID : 5 PlayerName: Kel Race: Terran
ID : 6 PlayerName: ECOax Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
FanaticFoe Zombie Loss
Public Lobby

Game Length:[41:919]
Players ammount: 8
Marine rank avg: 7,833333333333333
Marine GrandMaster ammount: 1

Frosky First Gun ArcWelder
ECOax First Gun HellfireRocketLauncher
LazyRivers First Gun SpecOpsAssaultRifle
Toto First Gun BeamRifle
Kel First Gun BeamRifle
Nevic First Gun SpecOpsAssaultRifle

PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle 
[00:693] Frosky Unlocked ArcWelder 
[01:213] Frosky Placed/Upgraded MiningDroid 
[01:785] Frosky Unlocked BioMechanicalRepairDrone 
[02:305] Frosky Placed/Upgraded HealingDrone 
[02:413] Frosky Unlocked CombatAccelerationDrone 
[02:920] Frosky Placed/Upgraded HealingDrone 
[03:562] Frosky Placed/Upgraded HealingDrone 
[04:454] Frosky Unlocked AdvancedDroidEngines 
[05:217] Frosky Unlocked Stimpack 
[06:053] Frosky Unlocked AutoTurret 
[07:427] Frosky Unlocked TurboDroidEngines 
[08:058] Frosky Unlocked HazmatSuit 
[08:657] Frosky Unlocked AdvancedHazmatSuit 
[09:459] Frosky Unlocked ExplorationDroid 
[09:482] Frosky Placed/Upgraded ExplorationDroid 
[09:488] Frosky Placed/Upgraded ExplorationDroid 
[09:642] Frosky Placed/Upgraded ExplorationDroid 
[10:227] Frosky Placed/Upgraded ExplorationDroid 
[10:409] Frosky Unlocked PsiDisrupter 
[11:311] Frosky Placed/Upgraded PsiIndoctrinator 
[11:844] Frosky Unlocked FlameTurret 
[12:725] Frosky Unlocked HeavyTurret 
[13:247] Frosky Placed/Upgraded AutoTurret 
[13:536] Frosky Placed/Upgraded PsiIndoctrinator 
[14:506] Frosky Unlocked ForceFieldGrenade 
[15:175] Frosky Placed/Upgraded AutoTurret 
[15:309] Frosky Placed/Upgraded AutoTurret 
[15:609] Frosky Placed/Upgraded PsiIndoctrinator 
[15:804] Frosky Unlocked SpecOpsForcefieldGrenade 
[16:896] Frosky Placed/Upgraded AutoTurret 
[17:557] Frosky Unlocked SpecOpsPsiDisruptor 
[17:801] Frosky Placed/Upgraded AutoTurret 
[17:936] Frosky Placed/Upgraded HealingDrone 
[18:470] Frosky Placed/Upgraded AutoTurret 
[19:018] Frosky Placed/Upgraded PsiIndoctrinator 
[19:030] Frosky Placed/Upgraded ExplorationDroid 
[19:116] Frosky Placed/Upgraded ExplorationDroid 
[21:057] Frosky Placed/Upgraded ExplorationDroid 
[21:478] Frosky Unlocked FlashBang 
[21:512] Frosky Unlocked SpecOpsFlashbang 
[23:938] Frosky Placed/Upgraded PsiIndoctrinator 
[24:828] Frosky Placed/Upgraded AutoTurret 
[24:969] Frosky Placed/Upgraded AutoTurret 
[25:510] Frosky Placed/Upgraded AutoTurret 
[25:806] Frosky Placed/Upgraded PsiIndoctrinator 
[26:508] Frosky Unlocked MotionSensor 
[26:762] Frosky Placed/Upgraded SensorTower 
[26:863] Frosky Placed/Upgraded SensorTower 
[27:166] Frosky Placed/Upgraded SensorTower 
[27:249] Frosky Placed/Upgraded SensorTower 
[28:183] Frosky Placed/Upgraded AutoTurret 
[30:308] Frosky Placed/Upgraded PsiIndoctrinator 
[30:816] Frosky Placed/Upgraded AutoTurret 
[31:397] Frosky Placed/Upgraded AutoTurret 
