Analyzed: Oh No It's Zombies Arctic Map (316)

Date: 2022.11.26

ID : 0 PlayerName: WildMutant Race: Zerg
ID : 1 PlayerName: Hurtmemore Race: Terran
ID : 2 PlayerName: Toxicpanda Race: Terran
ID : 3 PlayerName: Ascherit Race: Terran
ID : 4 PlayerName: DeATH Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: ReturnOffer Race: Terran
ID : 7 PlayerName: Security Race: Terran
WildMutant Zombie Loss
Private Lobby

Game Length:[42:233]
Players ammount: 8
Marine rank avg: 27,5
Marine GrandMaster ammount: 6

Toxicpanda First Gun ArcWelder
Frosky First Gun BeamRifle
ReturnOffer First Gun HellfireRocketLauncher
Ascherit First Gun Shotgun
Hurtmemore First Gun HellfireRocketLauncher
DeATH First Gun BeamRifle

PURCHASES: 
[00:728] WildMutant Spawned MassiveCocoon 
[02:168] WildMutant Spawned Hunter 
[02:785] WildMutant Spawned MassiveCocoon 
[04:225] WildMutant Spawned InfestedAbomination 
[05:164] WildMutant Placed/Upgraded LesserNydusWorm 
[05:165] WildMutant Bought GreaterNydus 
[07:136] WildMutant Placed/Upgraded LocustNest 
[08:305] WildMutant Placed/Upgraded NydusCanalCreeper 
[09:154] WildMutant Placed/Upgraded LesserNydusWorm 
[09:155] WildMutant Bought GreaterNydus 
[09:732] WildMutant Placed/Upgraded ToxicNest 
[09:744] WildMutant Placed/Upgraded ToxicNest 
[09:754] WildMutant Placed/Upgraded ToxicNest 
[10:077] WildMutant Bought GreaterNydus 
[10:246] WildMutant Bought GreaterNydus 
[10:520] WildMutant Placed/Upgraded NydusCanalCreeper 
[10:862] WildMutant Spawned MassiveCocoon 
[11:942] WildMutant Spawned Underseer 
[12:702] WildMutant Spawned MassiveCocoon 
[12:715] WildMutant Spawned MassiveCocoon 
[12:812] WildMutant Placed/Upgraded Virophage 
[14:142] WildMutant Spawned InfestedAbomination 
[14:155] WildMutant Spawned InfestedAbomination 
[15:237] WildMutant Spawned MassiveCocoon 
[15:819] WildMutant Bought UnlockDropPods 
[15:830] WildMutant Bought EvolveDropPods 
[16:263] WildMutant Bought BuildExtractorScienceLabs 
[16:263] WildMutant Placed/Upgraded AutomatedExtractor 
[16:677] WildMutant Spawned Hunter 
[18:268] WildMutant Spawned MassiveCocoon 
[18:359] WildMutant Bought BuildExtractorProcessingFacilities 
[18:359] WildMutant Placed/Upgraded AutomatedExtractor 
[18:394] WildMutant Bought BuildExtractorExcavationZone 
[18:394] WildMutant Placed/Upgraded AutomatedExtractor 
[19:424] WildMutant Placed/Upgraded Virophage 
[19:707] WildMutant Bought AdvancedPowerInfestation 
[19:708] WildMutant Spawned Hunter 
[20:840] WildMutant Bought BuildExtractorExcavationZone 
[21:210] WildMutant Placed/Upgraded PrimalSunkenColony 
[21:211] WildMutant Bought SunkenColony 
[23:297] WildMutant Bought EvolveDropPods 
[23:301] WildMutant Bought EvolveDropPods 
[23:304] WildMutant Bought EvolveDropPods 
[23:307] WildMutant Bought EvolveDropPods 
[23:311] WildMutant Bought EvolveDropPods 
[24:377] WildMutant Bought BuildExtractorScienceLabs 
[27:803] WildMutant Bought SunkenColony 
[29:490] WildMutant Bought ExtractorCostReductionProcessingFacilities 
[29:490] WildMutant Bought BuildExtractorProcessingFacilities 
[31:517] WildMutant Bought DropshipsFueled 

[00:572] Hurtmemore Unlocked AssaultRifle 
[00:848] Hurtmemore Placed/Upgraded MiningDroid 
[02:382] Hurtmemore Unlocked AdvancedDroidEngines 
[05:082] Hurtmemore Unlocked TurboDroidEngines 
[06:101] Hurtmemore Unlocked BioMechanicalRepairDrone 
[06:425] Hurtmemore Unlocked CombatAccelerationDrone 
[06:645] Hurtmemore Placed/Upgraded HealingDrone 
[08:682] Hurtmemore Placed/Upgraded HealingDrone 
[08:921] Hurtmemore Placed/Upgraded HealingDrone 
[09:368] Hurtmemore Placed/Upgraded HealingDrone 
[10:497] Hurtmemore Unlocked HellfireRocketLauncher 
[11:895] Hurtmemore Placed/Upgraded MiningDroid 
[16:536] Hurtmemore Placed/Upgraded MiningDroid 
[17:132] Hurtmemore Unlocked OpticalVisor 
[17:175] Hurtmemore Unlocked CombatShield 
[19:252] Hurtmemore Unlocked CombatSuit 
[19:291] Hurtmemore Unlocked AdvancedCombatSuit 
[21:544] Hurtmemore Unlocked SpecOpsHellfireRocketLauncher 
[21:764] Hurtmemore Placed/Upgraded HealingDrone 
[27:044] Hurtmemore Unlocked Teleporter 
[27:162] Hurtmemore Unlocked OverloadWeapon 
[29:272] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[29:272] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[29:272] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[29:652] Hurtmemore Unlocked PsiDisrupter 
[29:727] Hurtmemore Unlocked SpecOpsPsiDisruptor 
[30:111] Hurtmemore Placed/Upgraded PsiIndoctrinator 
[30:310] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[30:310] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:310] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:417] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[30:417] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:417] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:506] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[30:506] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:506] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:685] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[30:685] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:685] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:814] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[30:814] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:814] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:856] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[30:856] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:856] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:993] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[30:993] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[30:993] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[31:142] Hurtmemore Unlocked RocketLauncherLockOnUpgrade 
[31:142] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 
[31:142] Hurtmemore Unlocked RocketLauncherLockOnUpgradeRemove 

[00:572] Toxicpanda Unlocked AssaultRifle 
[01:319] Toxicpanda Unlocked ArcWelder 
[01:789] Toxicpanda Placed/Upgraded MiningDroid 
[02:510] Toxicpanda Unlocked Stimpack 
[03:883] Toxicpanda Unlocked BioMechanicalRepairDrone 
[03:887] Toxicpanda Unlocked CombatAccelerationDrone 
[04:030] Toxicpanda Placed/Upgraded HealingDrone 
[04:786] Toxicpanda Placed/Upgraded HealingDrone 
[05:186] Toxicpanda Placed/Upgraded HealingDrone 
[05:521] Toxicpanda Unlocked AdvancedDroidEngines 
[06:846] Toxicpanda Unlocked TurboDroidEngines 
[08:700] Toxicpanda Unlocked PsiDisrupter 
[08:808] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[09:314] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[10:018] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[10:198] Toxicpanda Unlocked ExplorationDroid 
[10:211] Toxicpanda Placed/Upgraded ExplorationDroid 
[10:214] Toxicpanda Placed/Upgraded ExplorationDroid 
[10:292] Toxicpanda Placed/Upgraded ExplorationDroid 
[10:941] Toxicpanda Unlocked SpecOpsPsiDisruptor 
[10:980] Toxicpanda Unlocked PsiDepressor 
[12:085] Toxicpanda Unlocked AutoTurret 
[12:835] Toxicpanda Placed/Upgraded AutoTurret 
[13:704] Toxicpanda Placed/Upgraded AutoTurret 
[13:885] Toxicpanda Placed/Upgraded AutoTurret 
[14:015] Toxicpanda Placed/Upgraded AutoTurret 
[15:867] Toxicpanda Unlocked SpecOpsArcWelder 
[15:930] Toxicpanda Unlocked FlameTurret 
[16:606] Toxicpanda Unlocked FlashBang 
[16:824] Toxicpanda Placed/Upgraded AutoTurret 
[17:464] Toxicpanda Unlocked SpecOpsBioMechanicalRepairDrone 
[17:470] Toxicpanda Unlocked RechargeDrone 
[17:748] Toxicpanda Placed/Upgraded HealingDrone 
[18:435] Toxicpanda Unlocked QuantumBackpack 
[18:504] Toxicpanda Unlocked MedicShield 
[18:576] Toxicpanda Unlocked AIAssistant 
[19:137] Toxicpanda Unlocked EnergySuit 
[19:253] Toxicpanda Bought ShieldSuit 
[19:292] Toxicpanda Bought CombatSuit 
[20:433] Toxicpanda Placed/Upgraded ExplorationDroid 
[21:036] Toxicpanda Unlocked MotionSensor 
[21:043] Toxicpanda Unlocked AdvancedMotionSensor 
[21:185] Toxicpanda Placed/Upgraded SensorTower 
[21:311] Toxicpanda Placed/Upgraded SensorTower 
[21:345] Toxicpanda Placed/Upgraded SensorTower 
[21:503] Toxicpanda Placed/Upgraded SensorTower 
[21:539] Toxicpanda Placed/Upgraded SensorTower 
[22:313] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[23:003] Toxicpanda Placed/Upgraded AutoTurret 
[24:159] Toxicpanda Placed/Upgraded AutoTurret 
[24:384] Toxicpanda Placed/Upgraded AutoTurret 
[24:518] Toxicpanda Placed/Upgraded HealingDrone 
[30:083] Toxicpanda Placed/Upgraded SensorTower 
[30:163] Toxicpanda Placed/Upgraded SensorTower 
[30:265] Toxicpanda Placed/Upgraded SensorTower 
[32:583] Toxicpanda Unlocked AdvancedEnergySuit 
[33:028] Toxicpanda Placed/Upgraded HealingDrone 
[33:075] Toxicpanda Unlocked SpecOpsTurret 
[33:127] Toxicpanda Placed/Upgraded AutoTurret 
[33:239] Toxicpanda Placed/Upgraded AutoTurret 
[33:336] Toxicpanda Placed/Upgraded AutoTurret 
[33:781] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[34:456] Toxicpanda Unlocked MiningCharge 
[34:460] Toxicpanda Unlocked AdvancedMiningCharge 
[34:521] Toxicpanda Placed/Upgraded NukePack 
[34:525] Toxicpanda Placed/Upgraded NukePack 
[34:977] Toxicpanda Placed/Upgraded SensorTower 
[35:049] Toxicpanda Placed/Upgraded SensorTower 
[35:281] Toxicpanda Placed/Upgraded SensorTower 
[36:009] Toxicpanda Placed/Upgraded SensorTower 
[36:140] Toxicpanda Placed/Upgraded SensorTower 
[36:151] Toxicpanda Placed/Upgraded SensorTower 
[36:433] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[36:921] Toxicpanda Placed/Upgraded SensorTower 
[36:921] Toxicpanda Placed/Upgraded SensorTower 
[37:125] Toxicpanda Placed/Upgraded SensorTower 
[37:136] Toxicpanda Placed/Upgraded SensorTower 
[37:143] Toxicpanda Placed/Upgraded SensorTower 
[38:109] Toxicpanda Placed/Upgraded HealingDrone 
[38:203] Toxicpanda Placed/Upgraded HealingDrone 
[39:232] Toxicpanda Unlocked ForceFieldGrenade 
[39:239] Toxicpanda Unlocked SpecOpsForcefieldGrenade 
[39:899] Toxicpanda Placed/Upgraded NukePack 
[39:915] Toxicpanda Placed/Upgraded NukePack 
[40:638] Toxicpanda Unlocked Shotgun 
[40:645] Toxicpanda Unlocked SpecOpsShotgun 

[00:572] Ascherit Unlocked AssaultRifle 
[00:652] Ascherit Placed/Upgraded MiningDroid 
[01:577] Ascherit Unlocked AdvancedDroidEngines 
[02:926] Ascherit Unlocked IncendiaryGrenade 
[06:356] Ascherit Unlocked ExplorationDroid 
[06:366] Ascherit Placed/Upgraded ExplorationDroid 
[06:371] Ascherit Placed/Upgraded ExplorationDroid 
[06:514] Ascherit Placed/Upgraded ExplorationDroid 
[09:257] Ascherit Placed/Upgraded MiningDroid 
[09:383] Ascherit Unlocked Shotgun 
[09:409] Ascherit Unlocked SpecOpsShotgun 
[11:812] Ascherit Unlocked BioMechanicalRepairDrone 
[12:494] Ascherit Unlocked Stimpack 
[14:024] Ascherit Placed/Upgraded MiningDroid 
[16:195] Ascherit Unlocked ConcussiveShot 
[16:267] Ascherit Unlocked EnergyPack 
[17:988] Ascherit Unlocked TurboDroidEngines 
[19:138] Ascherit Bought ShieldSuit 
[19:351] Ascherit Placed/Upgraded HealingDrone 
[20:657] Ascherit Unlocked SuperStimpack 
[20:715] Ascherit Unlocked HazmatSuit 
[22:197] Ascherit Unlocked AdvancedHazmatSuit 
[22:496] Ascherit Placed/Upgraded HealingDrone 
[22:844] Ascherit Placed/Upgraded HealingDrone 
[23:070] Ascherit Unlocked AIAssistant 
[23:075] Ascherit Unlocked MedicShield 
[24:071] Ascherit Unlocked AdvancedExplorationDroid 
[24:333] Ascherit Placed/Upgraded ExplorationDroid 
[26:952] Ascherit Unlocked AutoTurret 
[27:155] Ascherit Placed/Upgraded AutoTurret 
[27:381] Ascherit Placed/Upgraded AutoTurret 
[27:621] Ascherit Placed/Upgraded AutoTurret 
[27:846] Ascherit Unlocked RechargeDrone 
[27:869] Ascherit Unlocked SpecOpsTurret 
[28:007] Ascherit Placed/Upgraded HealingDrone 
[28:583] Ascherit Placed/Upgraded HealingDrone 
[28:892] Ascherit Placed/Upgraded HealingDrone 
[29:470] Ascherit Placed/Upgraded AutoTurret 
[29:699] Ascherit Placed/Upgraded AutoTurret 
[29:909] Ascherit Placed/Upgraded AutoTurret 
[32:584] Ascherit Bought EnergySuit 
[33:324] Ascherit Placed/Upgraded HealingDrone 
[34:335] Ascherit Unlocked Flamethrower 
[34:343] Ascherit Unlocked SpecOpsFlamethrower 
[34:407] Ascherit Unlocked ThermiteFilaments 
[34:443] Ascherit Unlocked CombatShield 
[36:311] Ascherit Placed/Upgraded HealingDrone 
[39:288] Ascherit Unlocked ForceFieldGrenade 
[39:301] Ascherit Unlocked SpecOpsForcefieldGrenade 
[39:351] Ascherit Unlocked EnergySuit 
[39:363] Ascherit Unlocked AdvancedEnergySuit 
[39:616] Ascherit Unlocked HighPrecisionBeams 
[40:015] Ascherit Placed/Upgraded HealingDrone 

[00:572] DeATH Unlocked AssaultRifle 
[00:651] DeATH Placed/Upgraded MiningDroid 
[01:735] DeATH Unlocked FragGrenade 
[02:428] DeATH Unlocked SpecOpsFragGrenade 
[04:476] DeATH Unlocked ExplorationDroid 
[04:499] DeATH Placed/Upgraded ExplorationDroid 
[04:509] DeATH Placed/Upgraded ExplorationDroid 
[05:806] DeATH Placed/Upgraded ExplorationDroid 
[06:900] DeATH Unlocked AdvancedDroidEngines 
[09:136] DeATH Unlocked Stimpack 
[10:813] DeATH Unlocked BeamRifle 
[15:238] DeATH Unlocked TurboDroidEngines 
[16:222] DeATH Unlocked CombatSuit 
[17:365] DeATH Unlocked SpecOpsPlasmaRifle 
[18:319] DeATH Unlocked LongRangeScope 
[18:858] DeATH Unlocked AdvancedCombatSuit 
[19:543] DeATH Placed/Upgraded ExplorationDroid 
[20:716] DeATH Bought ShieldSuit 
[20:736] DeATH Unlocked MotionSensor 
[20:746] DeATH Unlocked AdvancedMotionSensor 
[21:147] DeATH Placed/Upgraded SensorTower 
[22:200] DeATH Bought HazmatSuit 
[22:517] DeATH Unlocked HazmatSuit 
[23:404] DeATH Placed/Upgraded SensorTower 
[23:555] DeATH Unlocked OverloadWeapon 
[24:518] DeATH Unlocked AdvancedHazmatSuit 
[25:672] DeATH Unlocked PowerConverter 
[26:100] DeATH Placed/Upgraded SensorTower 
[27:273] DeATH Unlocked SpecOpsPowerConverter 
[27:415] DeATH Unlocked BioMechanicalRepairDrone 
[29:495] DeATH Unlocked CombatShield 
[29:526] DeATH Unlocked EnergyPack 
[29:577] DeATH Unlocked OpticalVisor 
[30:709] DeATH Unlocked SpecOpsBioMechanicalRepairDrone 
[31:341] DeATH Unlocked PsiDisrupter 
[31:548] DeATH Placed/Upgraded PsiIndoctrinator 
[31:817] DeATH Unlocked PsiDepressor 
[32:276] DeATH Placed/Upgraded PsiIndoctrinator 
[32:503] DeATH Placed/Upgraded SensorTower 
[32:515] DeATH Placed/Upgraded SensorTower 
[34:389] DeATH Unlocked CombatAccelerationDrone 
[34:490] DeATH Unlocked RechargeDrone 
[34:603] DeATH Placed/Upgraded HealingDrone 
[35:434] DeATH Placed/Upgraded HealingDrone 
[35:947] DeATH Placed/Upgraded SensorTower 
[35:960] DeATH Placed/Upgraded SensorTower 
[36:241] DeATH Placed/Upgraded HealingDrone 
[36:453] DeATH Placed/Upgraded HealingDrone 
[37:271] DeATH Placed/Upgraded HealingDrone 
[37:454] DeATH Placed/Upgraded SensorTower 
[37:680] DeATH Placed/Upgraded SensorTower 
[37:832] DeATH Placed/Upgraded HealingDrone 
[39:352] DeATH Bought ShieldSuit 
[39:364] DeATH Bought EnergySuit 
[39:448] DeATH Unlocked ForceFieldGrenade 
[39:459] DeATH Unlocked SpecOpsForcefieldGrenade 

[00:572] Frosky Unlocked AssaultRifle 
[00:651] Frosky Placed/Upgraded MiningDroid 
[00:712] Frosky Unlocked IncendiaryGrenade 
[03:366] Frosky Unlocked BeamRifle 
[04:968] Frosky Unlocked AdvancedDroidEngines 
