Analyzed: Oh No It's Zombies Arctic Map (320)

Date: 2022.11.27 02:17:30

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: ReturnOffer Race: Terran
ID : 2 PlayerName: Wooky Race: Terran
ID : 3 PlayerName: treename Race: Terran
ID : 4 PlayerName: csiz Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Roxadar Race: Zerg
ID : 7 PlayerName: Security Race: Infested Terran
Roxadar Zombie Loss
Private Lobby

Game Length:[45:947]
Players ammount: 8
Marine rank avg: 23
Marine GrandMaster ammount: 5

Toxicpanda First Gun ArcWelder
ReturnOffer First Gun SpecOpsAssaultRifle
Frosky First Gun BeamRifle
csiz First Gun Shotgun
Wooky First Gun SpecOpsAssaultRifle
treename First Gun Shotgun

PURCHASES: 
[00:572] Toxicpanda Unlocked AssaultRifle 
[01:099] Toxicpanda Unlocked ArcWelder 
[01:570] Toxicpanda Placed/Upgraded MiningDroid 
[02:313] Toxicpanda Unlocked Stimpack 
[05:986] Toxicpanda Unlocked BioMechanicalRepairDrone 
[05:991] Toxicpanda Unlocked CombatAccelerationDrone 
[06:035] Toxicpanda Placed/Upgraded HealingDrone 
[06:812] Toxicpanda Placed/Upgraded HealingDrone 
[07:025] Toxicpanda Placed/Upgraded HealingDrone 
[08:322] Toxicpanda Unlocked AutoTurret 
[08:380] Toxicpanda Placed/Upgraded AutoTurret 
[08:571] Toxicpanda Placed/Upgraded AutoTurret 
[08:709] Toxicpanda Placed/Upgraded AutoTurret 
[09:102] Toxicpanda Placed/Upgraded HealingDrone 
[10:523] Toxicpanda Placed/Upgraded AutoTurret 
[10:658] Toxicpanda Placed/Upgraded AutoTurret 
[11:308] Toxicpanda Unlocked PsiDisrupter 
[11:474] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[11:650] Toxicpanda Placed/Upgraded HealingDrone 
[12:222] Toxicpanda Placed/Upgraded AutoTurret 
[12:365] Toxicpanda Placed/Upgraded AutoTurret 
[12:534] Toxicpanda Placed/Upgraded AutoTurret 
[13:060] Toxicpanda Placed/Upgraded AutoTurret 
[13:611] Toxicpanda Unlocked SpecOpsTurret 
[13:777] Toxicpanda Placed/Upgraded AutoTurret 
[13:913] Toxicpanda Placed/Upgraded AutoTurret 
[14:416] Toxicpanda Placed/Upgraded MiningDroid 
[14:482] Toxicpanda Unlocked FlameTurret 
[14:551] Toxicpanda Placed/Upgraded AutoTurret 
[14:728] Toxicpanda Placed/Upgraded AutoTurret 
[15:964] Toxicpanda Unlocked AdvancedDroidEngines 
[17:591] Toxicpanda Unlocked SpecOpsBioMechanicalRepairDrone 
[17:597] Toxicpanda Unlocked RechargeDrone 
[17:669] Toxicpanda Placed/Upgraded HealingDrone 
[17:798] Toxicpanda Placed/Upgraded HealingDrone 
[18:585] Toxicpanda Placed/Upgraded HealingDrone 
[18:989] Toxicpanda Unlocked HeavyTurret 
[19:020] Toxicpanda Unlocked QuantumBackpack 
[19:098] Toxicpanda Placed/Upgraded AutoTurret 
[19:243] Toxicpanda Placed/Upgraded AutoTurret 
[20:506] Toxicpanda Placed/Upgraded HealingDrone 
[20:684] Toxicpanda Placed/Upgraded HealingDrone 
[20:822] Toxicpanda Placed/Upgraded HealingDrone 
[20:925] Toxicpanda Unlocked SpecOpsArcWelder 
[21:114] Toxicpanda Placed/Upgraded AutoTurret 
[21:206] Toxicpanda Placed/Upgraded AutoTurret 
[21:319] Toxicpanda Placed/Upgraded AutoTurret 
[21:440] Toxicpanda Placed/Upgraded HealingDrone 
[22:369] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[22:903] Toxicpanda Unlocked EnergySuit 
[22:980] Toxicpanda Unlocked FlashBang 
[23:200] Toxicpanda Placed/Upgraded AutoTurret 
[23:326] Toxicpanda Placed/Upgraded AutoTurret 
[23:491] Toxicpanda Placed/Upgraded AutoTurret 
[23:589] Toxicpanda Placed/Upgraded HealingDrone 
[23:720] Toxicpanda Placed/Upgraded AutoTurret 
[23:896] Toxicpanda Placed/Upgraded AutoTurret 
[24:050] Toxicpanda Placed/Upgraded AutoTurret 
[24:505] Toxicpanda Placed/Upgraded AutoTurret 
[24:866] Toxicpanda Placed/Upgraded AutoTurret 
[25:246] Toxicpanda Placed/Upgraded AutoTurret 
[25:540] Toxicpanda Placed/Upgraded AutoTurret 
[26:464] Toxicpanda Unlocked AdvancedEnergySuit 
[26:709] Toxicpanda Placed/Upgraded AutoTurret 
[28:589] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[28:744] Toxicpanda Placed/Upgraded AutoTurret 
[28:859] Toxicpanda Placed/Upgraded AutoTurret 
[29:495] Toxicpanda Placed/Upgraded HealingDrone 
[29:612] Toxicpanda Placed/Upgraded HealingDrone 
[31:023] Toxicpanda Unlocked MedicShield 
[31:213] Toxicpanda Placed/Upgraded AutoTurret 
[31:343] Toxicpanda Placed/Upgraded AutoTurret 
[31:409] Toxicpanda Placed/Upgraded AutoTurret 
[31:475] Toxicpanda Placed/Upgraded AutoTurret 
[31:516] Toxicpanda Unlocked PsiDepressor 
[31:607] Toxicpanda Placed/Upgraded AutoTurret 
[31:742] Toxicpanda Placed/Upgraded AutoTurret 
[32:575] Toxicpanda Placed/Upgraded AutoTurret 
[32:641] Toxicpanda Placed/Upgraded AutoTurret 
[32:750] Toxicpanda Placed/Upgraded AutoTurret 
[32:844] Toxicpanda Placed/Upgraded AutoTurret 
[32:976] Toxicpanda Placed/Upgraded AutoTurret 
[33:063] Toxicpanda Placed/Upgraded AutoTurret 
[33:250] Toxicpanda Placed/Upgraded AutoTurret 
[33:321] Toxicpanda Placed/Upgraded AutoTurret 
[33:755] Toxicpanda Placed/Upgraded PsiIndoctrinator 
[33:945] Toxicpanda Unlocked MiningCharge 
[33:986] Toxicpanda Placed/Upgraded NukePack 
[34:062] Toxicpanda Placed/Upgraded NukePack 
[34:388] Toxicpanda Placed/Upgraded HealingDrone 
[35:557] Toxicpanda Placed/Upgraded HealingDrone 
[36:228] Toxicpanda Placed/Upgraded HealingDrone 
[36:432] Toxicpanda Placed/Upgraded AutoTurret 
[37:196] Toxicpanda Placed/Upgraded NukePack 
[37:467] Toxicpanda Placed/Upgraded HealingDrone 
[38:761] Toxicpanda Placed/Upgraded HealingDrone 
[40:877] Toxicpanda Placed/Upgraded HealingDrone 

[00:572] ReturnOffer Unlocked AssaultRifle 
[00:656] ReturnOffer Placed/Upgraded MiningDroid 
[02:783] ReturnOffer Unlocked SpecOpsAssaultRifle 
[04:348] ReturnOffer Unlocked OverloadWeapon 
[06:817] ReturnOffer Placed/Upgraded MiningDroid 
[07:223] ReturnOffer Unlocked AutoTargetingSystem 
[09:435] ReturnOffer Placed/Upgraded MiningDroid 
[09:880] ReturnOffer Unlocked ShieldSuit 
[11:648] ReturnOffer Unlocked AdvancedShieldSuit 
[11:707] ReturnOffer Unlocked AIAssistant 
[13:689] ReturnOffer Unlocked Bayonette 
[14:512] ReturnOffer Unlocked CombatShield 
[14:623] ReturnOffer Unlocked PowerConverter 
[16:215] ReturnOffer Unlocked FlashBang 
[16:218] ReturnOffer Unlocked SpecOpsFlashbang 
[16:402] ReturnOffer Unlocked BioMechanicalRepairDrone 
[21:136] ReturnOffer Placed/Upgraded HealingDrone 
[21:256] ReturnOffer Unlocked PsiDisrupter 
[21:375] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[22:904] ReturnOffer Bought ShieldSuit 
[23:644] ReturnOffer Placed/Upgraded HealingDrone 
[23:876] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[24:082] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[25:993] ReturnOffer Unlocked FragGrenade 
[25:997] ReturnOffer Unlocked SpecOpsFragGrenade 
[26:465] ReturnOffer Bought EnergySuit 
[30:530] ReturnOffer Placed/Upgraded HealingDrone 
[31:277] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[32:999] ReturnOffer Placed/Upgraded PsiIndoctrinator 
[34:631] ReturnOffer Unlocked AutoTurret 
[35:950] ReturnOffer Placed/Upgraded AutoTurret 
[36:135] ReturnOffer Placed/Upgraded AutoTurret 
[36:537] ReturnOffer Placed/Upgraded AutoTurret 
[37:276] ReturnOffer Placed/Upgraded AutoTurret 
[37:751] ReturnOffer Placed/Upgraded AutoTurret 
[38:178] ReturnOffer Placed/Upgraded AutoTurret 
[39:139] ReturnOffer Placed/Upgraded AutoTurret 
[42:971] ReturnOffer Placed/Upgraded AutoTurret 
[43:098] ReturnOffer Placed/Upgraded MiningDroid 
[43:318] ReturnOffer Placed/Upgraded AutoTurret 

[00:572] Wooky Unlocked AssaultRifle 
[01:298] Wooky Placed/Upgraded MiningDroid 
[01:557] Wooky Unlocked AdvancedDroidEngines 
[04:590] Wooky Unlocked TurboDroidEngines 
[09:044] Wooky Unlocked SpecOpsAssaultRifle 
[09:062] Wooky Unlocked AutoTargetingSystem 
[09:881] Wooky Bought ShieldSuit 
[10:903] Wooky Unlocked ShieldSuit 
[10:938] Wooky Unlocked Stimpack 
[11:476] Wooky Unlocked FragGrenade 
[11:649] Wooky Bought ShieldSuit 
[11:794] Wooky Unlocked SpecOpsFragGrenade 
[13:206] Wooky Unlocked PowerConverter 
[13:271] Wooky Unlocked EnergyPack 
[13:353] Wooky Unlocked OpticalVisor 
[14:581] Wooky Placed/Upgraded MiningDroid 
[15:632] Wooky Unlocked SpecOpsPowerConverter 
[16:693] Wooky Unlocked MiningCharge 
[16:850] Wooky Placed/Upgraded NukePack 
[17:179] Wooky Unlocked CombatShield 
[17:873] Wooky Placed/Upgraded NukePack 
[17:934] Wooky Unlocked AutoTurret 
[18:058] Wooky Placed/Upgraded AutoTurret 
[18:534] Wooky Placed/Upgraded AutoTurret 
[18:980] Wooky Placed/Upgraded AutoTurret 
[19:209] Wooky Unlocked AdvancedShieldSuit 
[20:916] Wooky Unlocked FlameTurret 
[21:486] Wooky Placed/Upgraded AutoTurret 
[21:681] Wooky Placed/Upgraded AutoTurret 
[21:879] Wooky Placed/Upgraded AutoTurret 
[22:676] Wooky Placed/Upgraded AutoTurret 
[22:861] Wooky Placed/Upgraded AutoTurret 
[25:911] Wooky Placed/Upgraded NukePack 
[26:304] Wooky Placed/Upgraded AutoTurret 
[26:908] Wooky Placed/Upgraded AutoTurret 
[26:994] Wooky Unlocked AdvancedMiningCharge 
[27:254] Wooky Placed/Upgraded AutoTurret 
[28:351] Wooky Placed/Upgraded AutoTurret 
[28:653] Wooky Placed/Upgraded AutoTurret 
[29:380] Wooky Placed/Upgraded AutoTurret 
[29:685] Wooky Placed/Upgraded AutoTurret 
[30:573] Wooky Placed/Upgraded AutoTurret 
[30:931] Wooky Placed/Upgraded NukePack 
[31:289] Wooky Placed/Upgraded NukePack 
[31:532] Wooky Placed/Upgraded NukePack 
[31:649] Wooky Unlocked HeavyTurret 
[32:743] Wooky Placed/Upgraded AutoTurret 
[32:949] Wooky Placed/Upgraded AutoTurret 
[33:243] Wooky Placed/Upgraded AutoTurret 
[33:653] Wooky Placed/Upgraded AutoTurret 
[34:378] Wooky Unlocked BioMechanicalRepairDrone 
[34:412] Wooky Placed/Upgraded HealingDrone 
[36:418] Wooky Placed/Upgraded HealingDrone 
[36:484] Wooky Placed/Upgraded NukePack 
[36:757] Wooky Placed/Upgraded NukePack 
[36:903] Wooky Placed/Upgraded HealingDrone 
[37:608] Wooky Placed/Upgraded HealingDrone 
[38:814] Wooky Placed/Upgraded NukePack 
[39:171] Wooky Placed/Upgraded HealingDrone 
[39:613] Wooky Placed/Upgraded HealingDrone 
[40:006] Wooky Placed/Upgraded HealingDrone 
[43:146] Wooky Placed/Upgraded HealingDrone 
[43:900] Wooky Placed/Upgraded HealingDrone 

[00:572] treename Unlocked AssaultRifle 
[00:677] treename Placed/Upgraded MiningDroid 
[02:753] treename Unlocked AdvancedDroidEngines 
[04:420] treename Unlocked Stimpack 
[05:697] treename Unlocked MotionSensor 
[05:887] treename Placed/Upgraded SensorTower 
[06:265] treename Unlocked IncendiaryGrenade 
[08:446] treename Placed/Upgraded SensorTower 
[09:009] treename Placed/Upgraded MiningDroid 
[09:315] treename Placed/Upgraded SensorTower 
[10:904] treename Bought ShieldSuit 
[13:072] treename Placed/Upgraded SensorTower 
[13:610] treename Unlocked Shotgun 
[13:630] treename Unlocked SpecOpsShotgun 
[13:709] treename Unlocked DoubleBarrel 
[17:374] treename Unlocked SuperStimpack 
[17:713] treename Unlocked HazmatSuit 
[17:721] treename Unlocked AdvancedHazmatSuit 
