Analyzed: Oh No It's Zombies Arctic Map (322)

Date: 2022.11.28 01:16:03

ID : 0 PlayerName: marekow Race: Terran
ID : 1 PlayerName: dreamer Race: Terran
ID : 2 PlayerName: Dejae Race: Terran
ID : 3 PlayerName: Alex Race: Zerg
ID : 4 PlayerName: zava Race: Terran
ID : 5 PlayerName: Toxicpanda Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Alex Zombie Loss
Public Lobby

Game Length:[42:987]
Players ammount: 8
Marine rank avg: 16,5
Marine GrandMaster ammount: 3

Toxicpanda First Gun ArcWelder
Frosky First Gun BeamRifle
Dejae First Gun SpecOpsAssaultRifle
zava First Gun BeamRifle
dreamer First Gun Flamethrower

PURCHASES: 
[00:572] marekow Unlocked AssaultRifle 
[00:701] marekow Placed/Upgraded MiningDroid 
[02:180] marekow Unlocked AdvancedDroidEngines 
[04:014] marekow Unlocked TurboDroidEngines 
[06:784] marekow Unlocked MiningCharge 
[06:955] marekow Placed/Upgraded NukePack 
[07:594] marekow Unlocked PsiDisrupter 
[08:199] marekow Placed/Upgraded PsiIndoctrinator 
[09:137] marekow Placed/Upgraded PsiIndoctrinator 
[10:263] marekow Unlocked SpecOpsPsiDisruptor 
[12:311] marekow Placed/Upgraded NukePack 
[12:563] marekow Placed/Upgraded PsiIndoctrinator 
[13:029] marekow Placed/Upgraded NukePack 
[14:106] marekow Placed/Upgraded NukePack 
[14:524] marekow Unlocked FlashBang 
[15:060] marekow Unlocked BioMechanicalRepairDrone 
[15:489] marekow Placed/Upgraded HealingDrone 
[16:026] marekow Unlocked ExplorationDroid 
[16:055] marekow Placed/Upgraded ExplorationDroid 
[16:067] marekow Placed/Upgraded ExplorationDroid 
[16:951] marekow Placed/Upgraded HealingDrone 
[17:775] marekow Placed/Upgraded NukePack 
[18:498] marekow Unlocked SpecOpsFlashbang 
[18:708] marekow Placed/Upgraded HealingDrone 
[18:894] marekow Placed/Upgraded HealingDrone 
[19:469] marekow Placed/Upgraded HealingDrone 
[19:979] marekow Unlocked AutoTurret 
