Analyzed: Oh No It's Zombies Arctic Map (324)

Date: 2022.11.28 02:25:01

ID : 0 PlayerName: Toxicpanda Race: Zerg
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: DeATH Race: Terran
ID : 3 PlayerName: marekow Race: Terran
ID : 4 PlayerName: Gris Race: Terran
ID : 5 PlayerName: Schallert Race: Terran
ID : 6 PlayerName: ONXY Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Toxicpanda Zombie Loss
Private Lobby

Game Length:[39:403]
Players ammount: 8
Marine rank avg: 20,333333333333332
Marine GrandMaster ammount: 4

Frosky First Gun Shotgun
ONXY First Gun ArcWelder
Schallert First Gun BeamRifle
Gris First Gun SpecOpsAssaultRifle
marekow First Gun HellfireRocketLauncher

PURCHASES: 
[00:695] Toxicpanda Spawned MassiveCocoon 
[02:135] Toxicpanda Spawned InfestedAbomination 
[03:298] Toxicpanda Bought UnlockDropPods 
[05:927] Toxicpanda Bought AdvancedPowerInfestation 
[06:468] Toxicpanda Spawned MassiveCocoon 
[07:240] Toxicpanda Bought EvolveDropPods 
[07:908] Toxicpanda Spawned Hunter 
[08:868] Toxicpanda Placed/Upgraded ToxicNest 
[10:890] Toxicpanda Bought BuildExtractorScienceLabs 
[10:890] Toxicpanda Placed/Upgraded AutomatedExtractor 
[11:407] Toxicpanda Placed/Upgraded ToxicNest 
[11:415] Toxicpanda Placed/Upgraded ToxicNest 
[11:420] Toxicpanda Placed/Upgraded ToxicNest 
[12:697] Toxicpanda Placed/Upgraded ToxicNest 
[13:191] Toxicpanda Bought SunkenColony 
[13:191] Toxicpanda Placed/Upgraded PrimalSunkenColony 
[13:509] Toxicpanda Spawned MassiveCocoon 
[14:132] Toxicpanda Bought EvolveDropPods 
[14:373] Toxicpanda Placed/Upgraded ToxicNest 
[14:376] Toxicpanda Placed/Upgraded ToxicNest 
[14:382] Toxicpanda Placed/Upgraded ToxicNest 
[14:589] Toxicpanda Spawned Underseer 
[14:924] Toxicpanda Placed/Upgraded ToxicNest 
[15:570] Toxicpanda Bought StrainHealth 
[16:237] Toxicpanda Spawned MassiveCocoon 
[16:414] Toxicpanda Placed/Upgraded ToxicNest 
