Analyzed: Oh No It's Zombies Arctic Map (326)

Date: 2022.11.29 12:24:18

ID : 0 PlayerName: IIIIIIIIIIII Race: Zerg
ID : 1 PlayerName: Alex Race: Terran
ID : 2 PlayerName: Toxicpanda Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Blue Race: Terran
ID : 5 PlayerName: slayertanks Race: Terran
ID : 6 PlayerName: RedReaperz Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
IIIIIIIIIIII Zombie Loss
Private Lobby

Game Length:[44:856]
Players ammount: 8
Marine rank avg: 39,166666666666664
Marine GrandMaster ammount: 7

Toxicpanda First Gun ArcWelder
RedReaperz First Gun ArcWelder
Frosky First Gun BeamRifle
Blue First Gun SpecOpsAssaultRifle
Alex First Gun SpecOpsAssaultRifle
slayertanks First Gun BeamRifle

PURCHASES: 
[00:677] IIIIIIIIIIII Spawned MassiveCocoon 
[00:960] IIIIIIIIIIII Placed/Upgraded LocustNest 
[02:117] IIIIIIIIIIII Spawned InfestedAbomination 
[03:682] IIIIIIIIIIII Placed/Upgraded PrimalSunkenColony 
[03:683] IIIIIIIIIIII Bought SunkenColony 
[03:923] IIIIIIIIIIII Placed/Upgraded NydusCanalCreeper 
[05:558] IIIIIIIIIIII Bought SunkenColony 
[05:898] IIIIIIIIIIII Placed/Upgraded NydusCanalCreeper 
[06:138] IIIIIIIIIIII Bought GreaterNydus 
[06:138] IIIIIIIIIIII Placed/Upgraded LesserNydusWorm 
[07:039] IIIIIIIIIIII Bought CreepSpeed 
[07:618] IIIIIIIIIIII Bought VirulentCreep 
[09:373] IIIIIIIIIIII Placed/Upgraded Virophage 
[11:290] IIIIIIIIIIII Bought SpawnNydusWorm 
[13:039] IIIIIIIIIIII Bought StrainVolatile 
[13:048] IIIIIIIIIIII Bought PureStrainVolatile 
[13:822] IIIIIIIIIIII Bought KaboomerStrain 
[15:708] IIIIIIIIIIII Placed/Upgraded Virophage 
[15:930] IIIIIIIIIIII Placed/Upgraded PrimalSunkenColony 
[15:931] IIIIIIIIIIII Bought SunkenColony 
