Analyzed: Oh No It's Zombies Arctic Updated (103)

Date: 2021.12.07

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: MarFly Race: Terran
ID : 2 PlayerName: Zepherd Race: Terran
ID : 3 PlayerName: RyK Race: Terran
ID : 4 PlayerName: Ascherit Race: Terran
ID : 5 PlayerName: ZergWithHat Race: Zerg
ID : 6 PlayerName: MacNCheese Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
ZergWithHat Zombie Loss
Private Lobby

Game Length:[36:585]
Players ammount: 8
Marine rank avg: 22,666666666666668
Marine GrandMaster ammount: 6

Zepherd First Gun ArcWelder
MacNCheese First Gun SpecOpsAssaultRifle
Ascherit First Gun BeamRifle
Toxicpanda First Gun BeamRifle
MarFly First Gun HellfireRocketLauncher
RyK First Gun HellfireRocketLauncher

PURCHASES: 
[00:588] Toxicpanda Unlocked AssaultRifle 
[00:667] Toxicpanda Placed/Upgraded MiningDroid 
[00:732] Toxicpanda Unlocked IncendiaryGrenade 
[02:490] Toxicpanda Unlocked AdvancedDroidEngines 
[04:590] Toxicpanda Unlocked BeamRifle 
[09:595] Toxicpanda Unlocked SpecOpsPlasmaRifle 
[10:827] Toxicpanda Unlocked Teleporter 
[14:830] Toxicpanda Unlocked Flamethrower 
[14:835] Toxicpanda Unlocked SpecOpsFlamethrower 
[15:928] Toxicpanda Unlocked LongRangeIncinerators 
[17:309] Toxicpanda Unlocked BioMechanicalRepairDrone 
[18:377] Toxicpanda Placed/Upgraded HealingDrone 
[19:303] Toxicpanda Placed/Upgraded HealingDrone 
[20:097] Toxicpanda Unlocked SpecOpsTeleporter 
[20:599] Toxicpanda Placed/Upgraded HealingDrone 
[21:092] Toxicpanda Placed/Upgraded HealingDrone 
[21:321] Toxicpanda Placed/Upgraded HealingDrone 
[22:517] Toxicpanda Unlocked MiningCharge 
[22:606] Toxicpanda Placed/Upgraded NukePack 
[23:950] Toxicpanda Placed/Upgraded NukePack 
[25:676] Toxicpanda Unlocked HazmatSuit 
[25:992] Toxicpanda Placed/Upgraded HealingDrone 
[26:221] Toxicpanda Placed/Upgraded HealingDrone 
[26:413] Toxicpanda Placed/Upgraded HealingDrone 
[28:838] Toxicpanda Unlocked ThermiteFilaments 
[28:853] Toxicpanda Unlocked AdvancedHazmatSuit 
[28:884] Toxicpanda Unlocked CombatShield 
[29:608] Toxicpanda Placed/Upgraded HealingDrone 
[30:388] Toxicpanda Placed/Upgraded HealingDrone 
[30:687] Toxicpanda Placed/Upgraded NukePack 
[35:752] Toxicpanda Placed/Upgraded NukePack 
[35:817] Toxicpanda Placed/Upgraded HealingDrone 
[36:402] Toxicpanda Placed/Upgraded HealingDrone 

[00:588] MarFly Unlocked AssaultRifle 
[00:682] MarFly Placed/Upgraded MiningDroid 
[00:751] MarFly Unlocked AdvancedDroidEngines 
[03:781] MarFly Placed/Upgraded MiningDroid 
[03:880] MarFly Unlocked IncendiaryGrenade 
[06:787] MarFly Unlocked HellfireRocketLauncher 
[06:810] MarFly Unlocked SpecOpsHellfireRocketLauncher 
[06:894] MarFly Unlocked ShockwaveMissiles 
[10:890] MarFly Unlocked MedicShield 
[10:981] MarFly Unlocked Stimpack 
[12:186] MarFly Unlocked BioMechanicalRepairDrone 
[12:719] MarFly Placed/Upgraded HealingDrone 
[13:301] MarFly Placed/Upgraded HealingDrone 
[15:072] MarFly Placed/Upgraded MiningDroid 
[19:176] MarFly Unlocked PsiDisrupter 
[19:433] MarFly Placed/Upgraded PsiIndoctrinator 
[20:398] MarFly Unlocked MiningCharge 
[20:495] MarFly Placed/Upgraded NukePack 
[20:846] MarFly Placed/Upgraded HealingDrone 
[21:149] MarFly Unlocked SpecOpsIncendiaryGrenade 
[21:320] MarFly Placed/Upgraded HealingDrone 
[22:340] MarFly Placed/Upgraded PsiIndoctrinator 
[22:606] MarFly Placed/Upgraded NukePack 
[25:677] MarFly Bought ShieldSuit 
[26:241] MarFly Placed/Upgraded HealingDrone 
[26:478] MarFly Placed/Upgraded HealingDrone 
[26:862] MarFly Placed/Upgraded HealingDrone 
[27:857] MarFly Unlocked HazmatSuit 
[27:869] MarFly Unlocked AdvancedHazmatSuit 
[28:547] MarFly Placed/Upgraded HealingDrone 
[28:744] MarFly Placed/Upgraded PsiIndoctrinator 
[28:854] MarFly Bought HazmatSuit 
[28:930] MarFly Unlocked ForceFieldGrenade 
[30:309] MarFly Placed/Upgraded NukePack 
[31:427] MarFly Placed/Upgraded PsiIndoctrinator 
[31:698] MarFly Unlocked PsiDepressor 
[33:287] MarFly Unlocked SpecOpsForcefieldGrenade 
[34:709] MarFly Placed/Upgraded NukePack 

[00:588] Zepherd Unlocked AssaultRifle 
[00:711] Zepherd Placed/Upgraded MiningDroid 
[00:800] Zepherd Unlocked ArcWelder 
[02:539] Zepherd Unlocked BioMechanicalRepairDrone 
[02:553] Zepherd Unlocked CombatAccelerationDrone 
[02:606] Zepherd Placed/Upgraded HealingDrone 
[03:185] Zepherd Placed/Upgraded HealingDrone 
[03:328] Zepherd Placed/Upgraded HealingDrone 
[05:369] Zepherd Placed/Upgraded HealingDrone 
[05:580] Zepherd Placed/Upgraded HealingDrone 
[05:745] Zepherd Placed/Upgraded HealingDrone 
[05:926] Zepherd Placed/Upgraded HealingDrone 
[06:496] Zepherd Unlocked AdvancedDroidEngines 
[06:640] Zepherd Placed/Upgraded HealingDrone 
[06:900] Zepherd Placed/Upgraded HealingDrone 
[07:525] Zepherd Placed/Upgraded HealingDrone 
[07:912] Zepherd Unlocked TurboDroidEngines 
[08:436] Zepherd Placed/Upgraded HealingDrone 
[08:576] Zepherd Placed/Upgraded HealingDrone 
[08:738] Zepherd Placed/Upgraded HealingDrone 
[09:753] Zepherd Unlocked AutoTurret 
[09:769] Zepherd Unlocked FlameTurret 
[09:836] Zepherd Placed/Upgraded AutoTurret 
[10:028] Zepherd Placed/Upgraded AutoTurret 
[10:523] Zepherd Placed/Upgraded AutoTurret 
[10:669] Zepherd Placed/Upgraded AutoTurret 
[10:858] Zepherd Placed/Upgraded AutoTurret 
[12:619] Zepherd Placed/Upgraded AutoTurret 
[12:897] Zepherd Placed/Upgraded AutoTurret 
[15:099] Zepherd Placed/Upgraded MiningDroid 
[15:292] Zepherd Unlocked QuantumBackpack 
[15:638] Zepherd Placed/Upgraded HealingDrone 
[15:803] Zepherd Placed/Upgraded HealingDrone 
[15:979] Zepherd Placed/Upgraded HealingDrone 
[16:175] Zepherd Placed/Upgraded HealingDrone 
[16:763] Zepherd Placed/Upgraded MiningDroid 
[16:891] Zepherd Placed/Upgraded AutoTurret 
