Analyzed: Oh No It's Zombies Arctic Updated (324)

Date: 2021.11.13

ID : 0 PlayerName: Salem Race: Terran
ID : 1 PlayerName: Tin Race: Terran
ID : 2 PlayerName: Wooky Race: Terran
ID : 3 PlayerName: MarFly Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: MacNCheese Race: Zerg
ID : 6 PlayerName: Grazx Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
MacNCheese Zombie Win
Private Lobby

Game Length:[35:758]
Players ammount: 8
Marine rank avg: 16,5
GrandMaster ammount: 4

Frosky First Gun Shotgun
MarFly First Gun ArcWelder
Wooky First Gun SpecOpsAssaultRifle
Tin First Gun Shotgun
Grazx First Gun BeamRifle
Salem First Gun HellfireRocketLauncher

PURCHASES: 
[00:588] Salem Unlocked AssaultRifle 
[00:882] Salem Placed/Upgraded MiningDroid 
[01:188] Salem Unlocked OverloadWeapon 
[04:381] Salem Unlocked AdvancedDroidEngines 
[07:860] Salem Unlocked TurboDroidEngines 
[08:865] Salem Unlocked HellfireRocketLauncher 
[10:258] Salem Unlocked SpecOpsHellfireRocketLauncher 
[11:705] Salem Unlocked SuperStimpack 
[12:934] Salem Unlocked ShockwaveMissiles 
[15:618] Salem Unlocked MiningCharge 
[15:626] Salem Unlocked AdvancedMiningCharge 
[16:047] Salem Placed/Upgraded NukePack 
[17:171] Salem Placed/Upgraded NukePack 
[18:383] Salem Unlocked CombatSuit 
[18:389] Salem Unlocked AdvancedCombatSuit 
[22:178] Salem Placed/Upgraded NukePack 
[22:592] Salem Placed/Upgraded NukePack 
[25:416] Salem Placed/Upgraded NukePack 
[25:554] Salem Unlocked BioMechanicalRepairDrone 
[29:173] Salem Placed/Upgraded NukePack 
[29:309] Salem Placed/Upgraded NukePack 
[29:469] Salem Placed/Upgraded NukePack 
[30:915] Salem Placed/Upgraded HealingDrone 
[31:226] Salem Placed/Upgraded HealingDrone 
[33:048] Salem Placed/Upgraded NukePack 
[33:753] Salem Placed/Upgraded HealingDrone 
[34:189] Salem Placed/Upgraded HealingDrone 
[34:796] Salem Placed/Upgraded HealingDrone 

[00:588] Tin Unlocked AssaultRifle 
[00:754] Tin Placed/Upgraded MiningDroid 
[02:842] Tin Unlocked AdvancedDroidEngines 
[04:214] Tin Unlocked Shotgun 
[05:746] Tin Unlocked SpecOpsShotgun 
[07:807] Tin Unlocked SuperStimpack 
[11:321] Tin Unlocked MedicShield 
[11:397] Tin Unlocked BioMechanicalRepairDrone 
[11:439] Tin Unlocked EnergyPack 
[12:167] Tin Unlocked HazmatSuit 
[13:097] Tin Unlocked Stimpack 
[13:987] Tin Placed/Upgraded HealingDrone 
[15:477] Tin Unlocked HighPrecisionBeams 
[15:848] Tin Unlocked AdvancedHazmatSuit 
[16:827] Tin Placed/Upgraded HealingDrone 
[17:733] Tin Placed/Upgraded HealingDrone 
[18:226] Tin Unlocked MiningCharge 
[18:258] Tin Placed/Upgraded NukePack 
[18:384] Tin Bought ShieldSuit 
[18:390] Tin Bought CombatSuit 
[18:505] Tin Unlocked OpticalVisor 
[18:734] Tin Placed/Upgraded HealingDrone 
[19:113] Tin Placed/Upgraded HealingDrone 
[19:617] Tin Placed/Upgraded HealingDrone 
[23:265] Tin Placed/Upgraded HealingDrone 
[23:740] Tin Placed/Upgraded NukePack 
[24:575] Tin Placed/Upgraded HealingDrone 
[24:808] Tin Placed/Upgraded HealingDrone 
[30:355] Tin Placed/Upgraded HealingDrone 
[32:584] Tin Placed/Upgraded HealingDrone 
[32:800] Tin Unlocked SpecOpsSuperStimpack 
[34:261] Tin Placed/Upgraded HealingDrone 
[34:896] Tin Placed/Upgraded HealingDrone 
[35:180] Tin Placed/Upgraded HealingDrone 
[35:668] Tin Placed/Upgraded HealingDrone 

[00:588] Wooky Unlocked AssaultRifle 
[00:928] Wooky Placed/Upgraded MiningDroid 
[02:277] Wooky Unlocked AdvancedDroidEngines 
[04:196] Wooky Unlocked SpecOpsAssaultRifle 
[06:188] Wooky Unlocked AutoTargetingSystem 
[11:350] Wooky Unlocked Stimpack 
[12:168] Wooky Bought ShieldSuit 
[12:819] Wooky Placed/Upgraded MiningDroid 
[14:060] Wooky Unlocked ShieldSuit 
[15:849] Wooky Bought HazmatSuit 
[16:389] Wooky Unlocked MiningCharge 
[16:490] Wooky Placed/Upgraded NukePack 
